format,storage_bits,exponent_bits,fraction_bits,semantics,exact_fp32_intermediate,subnormal_fraction_uniform,subnormal_fraction_normal,exact_full_lut_bytes,subnormal_lut_bytes,core_load_widths,p0_strategies,p1_strategies,p2_strategies
e0m1,2,0,1,signed fixed point,yes,0,0,16,0,x1|x2|x4|x8,FIXED-CVT|WORD|FP32-BITS|FULL-G|FULL-S|WARP-LUT,PAIR-L2|PAIR-S|BYTE-QUAD-G|BYTE-QUAD-S,NONE
e1m0,2,1,0,IEEE exponent-only,yes,0,0,16,0,x1|x2|x4|x8,EXP-ONLY|WORD|FP32-BITS|FULL-G|FULL-S|WARP-LUT,PAIR-L2|PAIR-S|BYTE-QUAD-G|BYTE-QUAD-S,NONE
e0m3,4,0,3,signed fixed point,yes,0,0,64,0,x1|x2|x4|x8,FIXED-CVT|WORD|FP32-BITS|FULL-G|FULL-S|WARP-LUT,PAIR-L2|PAIR-S,NONE
e1m2,4,1,2,finite E1 uniform grid,yes,1,0.9544997361,64,16,x1|x2|x4|x8,E1-CVT|WORD|FP32-BITS|FULL-G|FULL-S|WARP-LUT,PAIR-L2|PAIR-S,NONE
fp4_e2m1,4,2,1,NVIDIA E2M1 finite,yes,1,0.6826894921,64,8,x1|x2|x4|x8,NATIVE-HALF|NATIVE-HALF2|WORD|FP32-BITS|FULL-G|FULL-S|WARP-LUT,PAIR-L2|PAIR-S,NONE
e3m0,4,3,0,IEEE exponent-only,yes,0,0,64,0,x1|x2|x4|x8,EXP-ONLY|WORD|FP32-BITS|FULL-G|FULL-S|WARP-LUT,PAIR-L2|PAIR-S,NONE
e0m7,8,0,7,signed fixed point,yes,0,0,1024,0,x1|x2|x4|x8,FIXED-CVT|WORD|FP32-BITS|LUT-HI-G|LUT-HI-S,PAIR-L2|LUT-SWZ,NONE
e1m6,8,1,6,finite E1 fixed-point-like,yes,1,0.9544997361,1024,256,x1|x2|x4|x8,REF|E1-CVT|WORD|LUT-HI-G|LUT-HI-S,FP32-BITS|SUB-LUT-S|PAIR-L2|LUT-SWZ|PACK-PRMT,WARP-LUT|CONST-LUT|x16
e2m5,8,2,5,IEEE-like,yes,1,0.6826894921,1024,128,x1|x2|x4|x8,REF|WORD-BR|WORD-MASK|L32-G|L32-S|LHW-G|LHW-S|LP-G|LP-S|SUB-G|SUB-S,PAIR-L2|LUT-SWZ|PACK-PRMT,WARP-LUT|CONST-LUT|x16
e3m4,8,3,4,IEEE-like,yes,0.25,0.1974126514,1024,64,x1|x2|x4|x8,REF|WORD-BR|WORD-MASK|L32-G|L32-S|LHW-G|LHW-S|LP-G|LP-S|SUB-G|SUB-S,PAIR-L2|LUT-SWZ|PACK-PRMT,WARP-LUT|CONST-LUT|x16
fp8_e4m3,8,4,3,NVIDIA E4M3 finite/canonical-special,yes,0.015625,0.012466439,1024,32,x1|x2|x4|x8,NATIVE-DIRECT|NATIVE-F32|NATIVE-F2|NATIVE-F4|WORD|LUT-HI-G|LUT-HI-S,NATIVE-H2|SUB-LUT-S|PAIR-L2|LUT-SWZ|PACK-PRMT,WARP-LUT|CONST-LUT|x16
fp8_e5m2,8,5,2,NVIDIA E5M2,yes,0.00006103515625,0.00004869900881,1024,16,x1|x2|x4|x8,NATIVE-DIRECT|NATIVE-F32|NATIVE-F2|NATIVE-F4|WORD|LUT-HI-G|LUT-HI-S,NATIVE-H2|SUB-LUT-S|PAIR-L2|LUT-SWZ|PACK-PRMT,WARP-LUT|CONST-LUT|x16
e6m1,8,6,1,IEEE-like,yes,9.313225746e-10,7.430e-10,1024,8,x1|x2|x4|x8,WORD-BR|WORD-MASK|FP32-BITS|LUT-HI-G|LUT-HI-S|SUB-LUT|PREFIX-LUT,PAIR-L2|LUT-SWZ,NONE
e7m0,8,7,0,IEEE exponent-only,yes,0,0,1024,0,x1|x2|x4|x8,EXP-ONLY|WORD|FP32-BITS|LUT-HI-G|LUT-HI-S,PAIR-L2|LUT-SWZ,NONE
e0m15,16,0,15,signed fixed point,yes,0,0,262144,0,x1|x2|x4|x8,FIXED-CVT|WORD|FP32-BITS,FULL-L2,NONE
e1m14,16,1,14,finite E1 fixed-point-like,yes,1,0.9544997361,262144,65536,x1|x2|x4|x8,REF|E1-CVT|WORD|FP32-BITS,SLUT-G|SLUT-S-DOT|FULL-L2,PREFIX-LUT
