gpu,compute_capability,cuda_runtime,cuda_driver,cublas_version,mode,dataset,operation,input_type,n,algorithmic_bytes,algorithmic_flops,arithmetic_intensity_flop_per_byte,iterations,samples,min_ms,median_ms,p10_ms,p90_ms,coefficient_of_variation,giga_elements_per_s,algorithmic_gb_per_s,gflop_per_s,result,reference,absolute_error,relative_error,normalized_error,dot_condition_number
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasSdot,float32,1024,8192,2048,0.25,2511,20,0.0052590106218186857,0.0052865313989904385,0.005260003453372057,0.0052901415747031427,0.0024622886094241708,0.19369978587388165,1.5495982869910532,0.38739957174776329,-3.28098964691162109375,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasDdot,float64,1024,16384,2048,0.125,2404,20,0.0054755139469902054,0.005476412677923574,0.0054759747176717803,0.005476887888598958,7.9021188657647475e-05,0.18698371730237429,2.9917394768379886,0.37396743460474857,-3.28098688815809280683,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasSdot,float32,65536,524288,131072,0.25,2193,20,0.0067059481682105529,0.006706575471083975,0.0067062659726749531,0.0067070906204661981,5.1556263482269578e-05,9.7719022595905418,78.175218076724335,19.543804519181084,-167.2851715087890625,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasDdot,float64,65536,1048576,131072,0.125,2156,20,0.0069595993339241326,0.0069609424842310749,0.0069602539012958474,0.0069613861462623156,6.9671392779906206e-05,9.414817052211184,150.63707283537894,18.829634104422368,-167.285160980961052246,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasSdot,float32,1048576,8388608,2097152,0.25,1628,20,0.0098825555468660016,0.009916864390455242,0.0098940264680754657,0.0099392507820223117,0.0021308287868117351,105.73664806884227,845.89318455073817,211.47329613768454,-317.36474609375,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasDdot,float64,1048576,16777216,2097152,0.125,1441,20,0.011434214881192803,0.011453835026081199,0.011436946718002838,0.011490428985447457,0.001970932387422672,91.548027155299323,1464.7684344847892,183.09605431059865,-317.364869229543444362,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasSdot,float32,8388608,67108864,16777216,0.25,717,20,0.025833148504068329,0.025878181351112355,0.025854473566244169,0.025895322749139207,0.00068010560393048003,324.15755520777435,2593.2604416621948,648.3151104155487,-1114.646728515625,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasDdot,float64,8388608,134217728,16777216,0.125,468,20,0.041680682418692827,0.041710462325658559,0.041696607557117432,0.041720737555088136,0.00025440702617721909,201.11520065409761,3217.8432104655617,402.23040130819521,-1114.6466592285439674,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasSdot,float32,67108864,536870912,134217728,0.25,147,20,0.13537066972174613,0.13546111307987552,0.13538838860129013,0.13552815833059298,0.00043729673053514138,495.41054605411983,3963.2843684329587,990.82109210823967,1095.3446044921875,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasDdot,float64,67108864,1073741824,134217728,0.125,76,20,0.26257811094585221,0.26284274302030863,0.26267857551574708,0.26305583150763262,0.00059019876094474494,255.31944777647831,4085.111164423653,510.63889555295663,1095.34511295763377348,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasSdot,float32,134217728,1073741824,268435456,0.25,74,20,0.262518496126742,0.26269470678793416,0.26256437817135375,0.26279740204682223,0.00034230283295618374,510.92665566478308,4087.4132453182647,1021.8533113295662,-2146.2578125,nan,nan,nan,nan,nan
NVIDIA H200 NVL,9.0,13010,13030,130201,performance,signed,cublasDdot,float64,134217728,2147483648,268435456,0.125,39,20,0.50990031315730167,0.51023466159135866,0.51004448426075477,0.51061202807304185,0.00044109722328206823,263.05098046728449,4208.8156874765518,526.10196093456898,-2146.25567493987364287,nan,nan,nan,nan,nan
