gpu,compute_capability,multiprocessors,cuda_runtime,cuda_driver,dataset,variant,storage_type,arithmetic_type,access_kind,n,blocks,threads,result,result_bits,reference,absolute_error,relative_error,normalized_error,dot_condition_number,x_fingerprint,y_fingerprint,finite
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,raw_f32,float32,float32,raw,1024,4,256,577.94134521484375,0x44107c3f,577.941286598557521614,5.86162862283856611612e-05,1.01422562442923351819e-07,1.01422562442923351819e-07,1,0x79836c2a6b2b1c5e,0x6faf2f28426d5c71,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,raw_f64,float32,float64,raw,1024,4,256,577.941286598557553589,0x40820f87c144a7be,577.941286598557521614,3.19744231092045083642e-14,5.53246910207579432619e-17,5.53246910207579432619e-17,1,0x79836c2a6b2b1c5e,0x6faf2f28426d5c71,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,accessor_f32_f32,float32,float32,accessor,1024,4,256,577.94134521484375,0x44107c3f,577.941286598557521614,5.86162862283856611612e-05,1.01422562442923351819e-07,1.01422562442923351819e-07,1,0x79836c2a6b2b1c5e,0x6faf2f28426d5c71,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,accessor_f64_f32,float32,float64,accessor,1024,4,256,577.941286598557553589,0x40820f87c144a7be,577.941286598557521614,3.19744231092045083642e-14,5.53246910207579432619e-17,5.53246910207579432619e-17,1,0x79836c2a6b2b1c5e,0x6faf2f28426d5c71,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,raw_f32,float32,float32,raw,65536,256,256,36844.10546875,0x470fec1b,36844.104845997203423,0.000622752796576975242715,1.69023728268060230212e-08,1.69023728268060230212e-08,1,0x5798fb1fba6758b8,0x46bff198f14a4920,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,raw_f64,float32,float64,raw,65536,256,256,36844.1048459972007549,0x40e1fd835ae5fe23,36844.104845997203423,2.66808797277917619795e-12,7.24156003770855927076e-17,7.24156003770855927076e-17,1,0x5798fb1fba6758b8,0x46bff198f14a4920,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,accessor_f32_f32,float32,float32,accessor,65536,256,256,36844.10546875,0x470fec1b,36844.104845997203423,0.000622752796576975242715,1.69023728268060230212e-08,1.69023728268060230212e-08,1,0x5798fb1fba6758b8,0x46bff198f14a4920,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,accessor_f64_f32,float32,float64,accessor,65536,256,256,36844.1048459972007549,0x40e1fd835ae5fe23,36844.104845997203423,2.66808797277917619795e-12,7.24156003770855927076e-17,7.24156003770855927076e-17,1,0x5798fb1fba6758b8,0x46bff198f14a4920,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,raw_f32,float32,float32,raw,1048576,2112,256,589586.125,0x490ff122,589586.099052556076856,0.0259474439231439646392,4.40095924324548790246e-08,4.40095924324548790246e-08,1,0x6c0a32061f849218,0x1841a9ce6846f6a0,true
NVIDIA H200 NVL,9.0,132,13010,13030,positive_uniform,raw_f64,float32,float64,raw,1048576,2112,256,589586.09905255609192,0x4121fe2432b70442,589586.099052556076856,1.50635059981141239405e-11,2.55492896157501730914e-17,2.55492896157501730914e-17,1,0x6c0a32061f849218,0x1841a9ce6846f6a0,true
