gpu,compute_capability,multiprocessors,cuda_runtime,cuda_driver,dataset,variant,storage_type,arithmetic_type,access_kind,n,algorithmic_bytes,algorithmic_flops,arithmetic_intensity_flop_per_byte,blocks,threads,round,order_in_round,iterations,sample,total_time_ms,giga_elements_per_s,algorithmic_gb_per_s,gflop_per_s
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,0,0.004406132254855131,0.23240337347378784,1.8592269877903027,0.46480674694757568
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,1,0.0044062796123104809,0.23239560130026665,1.8591648104021332,0.4647912026005333
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,2,0.0044063218581338577,0.23239337319622833,1.8591469855698266,0.46478674639245665
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,3,0.0044063852268689235,0.23239003112027742,1.8591202489622194,0.46478006224055485
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,4,0.0044060517866201278,0.23240761788356287,1.859260943068503,0.46481523576712575
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,5,0.0044062670391487617,0.23239626443471856,1.8591701154777485,0.46479252886943712
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,6,0.0044063555542072658,0.23239159604863635,1.8591327683890908,0.4647831920972727
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,7,0.0044061066056052239,0.23240472636257134,1.8592378109005707,0.46480945272514268
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,8,0.00440616142459032,0.23240183491352917,1.8592146793082334,0.46480366982705834
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,9,0.004406216243575416,0.2323989435364337,1.8591915482914696,0.4647978870728674
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,10,0.0044060729095318166,0.23240650371099031,1.8592520296879225,0.46481300742198062
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,11,0.0044062207699136352,0.23239870480209074,1.8591896384167259,0.46479740960418148
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,12,0.0044063007352221698,0.23239448724290693,1.8591558979432554,0.46478897448581385
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,13,0.0044062036704136968,0.23239960668995971,1.8591968535196777,0.46479921337991942
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,14,0.0044064611687657075,0.23238602606064321,1.8590882084851457,0.46477205212128642
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,15,0.0044060940324435046,0.23240538954910059,1.8592431163928047,0.46481077909820118
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,16,0.0044057525453712098,0.23242340314274779,1.8593872251419823,0.46484680628549557
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,17,0.0044062247933253848,0.23239849259419776,1.8591879407535821,0.46479698518839552
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,18,0.0044061699743402896,0.2324013839600724,1.8592110716805792,0.4648027679201448
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,8192,2048,0.25,4,256,0,0,7585,19,0.0044061910972519776,0.23240026984727041,1.8592021587781633,0.46480053969454083
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,0,0.0044071034272592773,0.23235215984863164,1.8588172787890531,0.46470431969726328
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,1,0.0044074051245341058,0.23233625479533021,1.8586900383626417,0.46467250959066042
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,2,0.0044074580794502992,0.2323334633117404,1.8586677064939232,0.4646669266234808
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,3,0.0044075639892826868,0.23232788054579145,1.8586230443663316,0.46465576109158291
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,4,0.0044073886064868529,0.23233712554705596,1.8586970043764477,0.46467425109411192
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,5,0.00440704658574373,0.23235515669666801,1.8588412535733441,0.46471031339333602
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,6,0.0044073599428166195,0.23233863657289369,1.8587090925831495,0.46467727314578738
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,7,0.0044076698991150744,0.23232229804813373,1.8585783843850698,0.46464459609626746
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,8,0.0044073356515706586,0.2323399171186504,1.8587193369492032,0.4646798342373008
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,9,0.0044069605947330299,0.23235969053679115,1.8588775242943292,0.46471938107358229
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,10,0.0044076494944684675,0.23232337355434099,1.8585869884347279,0.46464674710868198
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,11,0.0044072010780680376,0.23234701159786558,1.8587760927829247,0.46469402319573117
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,12,0.0044074741116726336,0.23233261819690931,1.8586609455752745,0.46466523639381863
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,13,0.0044071806734214316,0.23234808733290185,1.8587846986632148,0.46469617466580371
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,14,0.0044074255291807127,0.23233517916985638,1.8586814333588511,0.46467035833971276
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,15,0.0044072584054085043,0.23234398934797343,1.8587519147837874,0.46468797869594686
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,16,0.0044072622920078583,0.2323437844525216,1.8587502756201728,0.4646875689050432
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,17,0.0044073725742645184,0.23233797069467862,1.858703765557429,0.46467594138935725
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,18,0.0044072705510314848,0.23234334905088624,1.85874679240709,0.46468669810177249
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,0,1,7852,19,0.004407368201840246,0.23233820119055187,1.858705609524415,0.46467640238110375
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,0,0.0044063461349879741,0.23239209282018755,1.8591367425615004,0.4647841856403751
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,1,0.0044061201002281603,0.23240401457667359,1.8592321166133887,0.46480802915334718
