variant,scope,kernel_index,kernel_name,duration_ms,dram_read_bytes,dram_write_bytes,dram_total_bytes,measured_dram_gb_per_s,dram_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,sp_flops_executed,dp_flops_executed,total_flops_executed,measured_arithmetic_intensity_flop_per_byte,measured_gflop_per_s,registers_per_thread,achieved_occupancy_percent,block_size,grid_size,shared_memory_bytes
raw_f32,kernel,0,"void <unnamed>::dot_map_reduce_kernel<float, const float *>(T2, T2, unsigned long, T1 *)",0.32028799999999996,1073796096.0,2783488.0,1076579584.0,3361.2860425616946,73.04,0.0,0.45,270629824.0,0.0,270629824.0,0.25137930165318834,844.9577380357679,16.0,99.73,256.0,2112.0,1152.0
raw_f32,kernel,1,"void <unnamed>::dot_finalize_kernel<float>(const T1 *, unsigned long, T1 *)",0.0063999999999999994,11776.0,0.0,11776.0,1.8399999999999999,0.04,0.0,34.85,3151.0,0.0,3151.0,0.267578125,0.4923437499999999,16.0,12.4,256.0,1.0,1152.0
raw_f32,operation,,all_dot_kernels,0.326688,1073807872.0,2783488.0,1076591360.0,3295.4726221961014,,,,270632975.0,0.0,270632975.0,0.25137947883958495,828.4141902977765,,,,,
raw_f64,kernel,0,"void <unnamed>::dot_map_reduce_kernel<double, const float *>(T2, T2, unsigned long, T1 *)",0.321216,1073795584.0,2519040.0,1076314624.0,3350.7503486750347,72.81,0.0,0.43,0.0,271153600.0,271153600.0,0.25192782291881227,844.1472404861524,20.0,98.62,256.0,2112.0,1152.0
raw_f64,kernel,1,"void <unnamed>::dot_finalize_kernel<double>(const T1 *, unsigned long, T1 *)",0.006336,20736.0,0.0,20736.0,3.2727272727272725,0.07,0.0,46.54,0.0,3399.0,3399.0,0.16391782407407407,0.5364583333333333,18.0,12.85,256.0,1.0,1152.0
raw_f64,operation,,all_dot_kernels,0.327552,1073816320.0,2519040.0,1076335360.0,3285.99843688941,,,,0.0,271156999.0,271156999.0,0.2519261273735353,827.8288607610394,,,,,
accessor_f32_f32,kernel,0,"void <unnamed>::dot_map_reduce_kernel<float, aut::memory_accessor<float, float>>(T2, T2, unsigned long, T1 *)",0.31868799999999997,1073792512.0,2434560.0,1076227072.0,3377.05552766342,73.39,0.0,0.42,270629824.0,0.0,270629824.0,0.2514616395005533,849.1999196706497,16.0,97.59,256.0,2112.0,1152.0
accessor_f32_f32,kernel,1,"void <unnamed>::dot_finalize_kernel<float>(const T1 *, unsigned long, T1 *)",0.0066879999999999995,12032.0,0.0,12032.0,1.7990430622009568,0.04,0.0,61.66,3151.0,0.0,3151.0,0.2618849734042553,0.47114234449760767,16.0,12.17,256.0,1.0,1152.0
accessor_f32_f32,operation,,all_dot_kernels,0.325376,1073804544.0,2434560.0,1076239104.0,3307.6782061369,,,,270632975.0,0.0,270632975.0,0.25146175603000576,831.7545700973643,,,,,
accessor_f64_f32,kernel,0,"void <unnamed>::dot_map_reduce_kernel<double, aut::memory_accessor<double, float>>(T2, T2, unsigned long, T1 *)",0.32032,1073832192.0,2476800.0,1076308992.0,3360.1054945054943,73.0,0.0,0.45,0.0,271153600.0,271153600.0,0.2519291411810485,846.5084915084915,20.0,98.74,256.0,2112.0,1152.0
accessor_f64_f32,kernel,1,"void <unnamed>::dot_finalize_kernel<double>(const T1 *, unsigned long, T1 *)",0.006144,20736.0,0.0,20736.0,3.3749999999999996,0.07,0.0,33.18,0.0,3399.0,3399.0,0.16391782407407407,0.5532226562499999,18.0,12.37,256.0,1.0,1152.0
accessor_f64_f32,operation,,all_dot_kernels,0.326464,1073852928.0,2476800.0,1076329728.0,3296.9323662027055,,,,0.0,271156999.0,271156999.0,0.25192744560150254,830.587749338365,,,,,
