kernel,n,lanes,threads,blocks,rounding_steps,fp64_normalized_error_bound
dot,1,1,256,1,18,1.9984014443252857e-15
dot,2,1,256,1,18,1.9984014443252857e-15
dot,4,1,256,1,18,1.9984014443252857e-15
dot,8,1,256,1,18,1.9984014443252857e-15
dot,16,1,256,1,18,1.9984014443252857e-15
dot,32,1,256,1,18,1.9984014443252857e-15
dot,64,1,256,1,18,1.9984014443252857e-15
dot,128,1,256,1,18,1.9984014443252857e-15
dot,256,1,256,1,18,1.9984014443252857e-15
dot,512,1,256,2,18,1.9984014443252857e-15
dot,1024,1,256,4,18,1.9984014443252857e-15
dot,2048,1,256,8,18,1.9984014443252857e-15
dot,4096,1,256,16,18,1.9984014443252857e-15
dot,8192,1,256,32,18,1.9984014443252857e-15
dot,16384,1,256,64,18,1.9984014443252857e-15
dot,32768,1,256,128,18,1.9984014443252857e-15
dot,65536,1,256,256,18,1.9984014443252857e-15
dot,131072,1,256,512,19,2.1094237467878018e-15
dot,262144,1,256,1024,21,2.3314683517128343e-15
dot,524288,1,256,2048,25,2.7755575615628992e-15
dot,1048576,1,256,2112,27,2.9976021664879317e-15
dot,2097152,1,256,2112,29,3.2196467714129642e-15
dot,4194304,1,256,2112,33,3.66373598126303e-15
dot,8388608,1,256,2112,41,4.551914400963162e-15
dot,16777216,1,256,2112,57,6.3282712403634325e-15
gemv,16,1,256,1,9,9.992007221626419e-16
gemv,32,1,256,1,9,9.992007221626419e-16
gemv,64,1,256,1,9,9.992007221626419e-16
gemv,128,1,256,1,9,9.992007221626419e-16
gemv,256,1,256,1,9,9.992007221626419e-16
gemv,512,1,256,1,10,1.1102230246251577e-15
gemv,1024,1,256,1,12,1.3322676295501896e-15
gemv,2048,1,256,1,16,1.7763568394002536e-15
gemv,4096,1,256,1,24,2.6645352591003828e-15
gemv,8192,1,256,1,40,4.440892098500646e-15
gemv,16384,1,256,1,72,7.993605777301192e-15
gemv,32768,1,256,1,136,1.5099033134902356e-14
gemv,65536,1,256,1,264,2.930988785010499e-14
dot,1,2,256,1,19,2.1094237467878018e-15
dot,2,2,256,1,19,2.1094237467878018e-15
dot,4,2,256,1,19,2.1094237467878018e-15
dot,8,2,256,1,19,2.1094237467878018e-15
dot,16,2,256,1,19,2.1094237467878018e-15
dot,32,2,256,1,19,2.1094237467878018e-15
dot,64,2,256,1,19,2.1094237467878018e-15
dot,128,2,256,1,19,2.1094237467878018e-15
dot,256,2,256,1,19,2.1094237467878018e-15
dot,512,2,256,1,19,2.1094237467878018e-15
dot,1024,2,256,2,19,2.1094237467878018e-15
dot,2048,2,256,4,19,2.1094237467878018e-15
dot,4096,2,256,8,19,2.1094237467878018e-15
dot,8192,2,256,16,19,2.1094237467878018e-15
dot,16384,2,256,32,19,2.1094237467878018e-15
dot,32768,2,256,64,19,2.1094237467878018e-15
dot,65536,2,256,128,19,2.1094237467878018e-15
dot,131072,2,256,256,19,2.1094237467878018e-15
dot,262144,2,256,512,20,2.2204460492503182e-15
dot,524288,2,256,1024,22,2.4424906541753503e-15
dot,1048576,2,256,2048,26,2.8865798640254153e-15
dot,2097152,2,256,2112,28,3.108624468950448e-15
dot,4194304,2,256,2112,30,3.3306690738754807e-15
dot,8388608,2,256,2112,34,3.7747582837255464e-15
dot,16777216,2,256,2112,42,4.6629367034256796e-15
gemv,16,2,256,1,10,1.1102230246251577e-15
gemv,32,2,256,1,10,1.1102230246251577e-15
gemv,64,2,256,1,10,1.1102230246251577e-15
gemv,128,2,256,1,10,1.1102230246251577e-15
gemv,256,2,256,1,10,1.1102230246251577e-15
gemv,512,2,256,1,10,1.1102230246251577e-15
gemv,1024,2,256,1,11,1.2212453270876738e-15
gemv,2048,2,256,1,13,1.4432899320127057e-15
gemv,4096,2,256,1,17,1.8873791418627697e-15
gemv,8192,2,256,1,25,2.7755575615628992e-15
gemv,16384,2,256,1,41,4.551914400963162e-15
gemv,32768,2,256,1,73,8.104628079763709e-15
gemv,65536,2,256,1,137,1.5210055437364875e-14
dot,1,4,256,1,20,2.2204460492503182e-15
dot,2,4,256,1,20,2.2204460492503182e-15
dot,4,4,256,1,20,2.2204460492503182e-15
dot,8,4,256,1,20,2.2204460492503182e-15
dot,16,4,256,1,20,2.2204460492503182e-15
dot,32,4,256,1,20,2.2204460492503182e-15
dot,64,4,256,1,20,2.2204460492503182e-15
dot,128,4,256,1,20,2.2204460492503182e-15
dot,256,4,256,1,20,2.2204460492503182e-15
dot,512,4,256,1,20,2.2204460492503182e-15
dot,1024,4,256,1,20,2.2204460492503182e-15
dot,2048,4,256,2,20,2.2204460492503182e-15
dot,4096,4,256,4,20,2.2204460492503182e-15
dot,8192,4,256,8,20,2.2204460492503182e-15
dot,16384,4,256,16,20,2.2204460492503182e-15
dot,32768,4,256,32,20,2.2204460492503182e-15
dot,65536,4,256,64,20,2.2204460492503182e-15
dot,131072,4,256,128,20,2.2204460492503182e-15
dot,262144,4,256,256,20,2.2204460492503182e-15
dot,524288,4,256,512,21,2.3314683517128343e-15
dot,1048576,4,256,1024,23,2.5535129566378667e-15
dot,2097152,4,256,2048,27,2.9976021664879317e-15
dot,4194304,4,256,2112,29,3.2196467714129642e-15
dot,8388608,4,256,2112,31,3.441691376337997e-15
dot,16777216,4,256,2112,35,3.885780586188063e-15
gemv,16,4,256,1,11,1.2212453270876738e-15
gemv,32,4,256,1,11,1.2212453270876738e-15
gemv,64,4,256,1,11,1.2212453270876738e-15
gemv,128,4,256,1,11,1.2212453270876738e-15
gemv,256,4,256,1,11,1.2212453270876738e-15
gemv,512,4,256,1,11,1.2212453270876738e-15
gemv,1024,4,256,1,11,1.2212453270876738e-15
gemv,2048,4,256,1,12,1.3322676295501896e-15
gemv,4096,4,256,1,14,1.5543122344752215e-15
gemv,8192,4,256,1,18,1.9984014443252857e-15
gemv,16384,4,256,1,26,2.8865798640254153e-15
gemv,32768,4,256,1,42,4.6629367034256796e-15
gemv,65536,4,256,1,74,8.215650382226226e-15
