distribution,format,storage_bits,source_values,predicted_zero_probability,measured_zero_probability,predicted_overflow_probability,measured_infinity_probability,measured_nan_probability,predicted_saturation_probability,measured_saturation_probability
normal_0_1,bf16_e8m7,16,74731311104,3.663706225906602e-41,0.0,0.0,0.0,0.0,0.0,0.0
normal_0_1,e11m20,32,74731311104,8.465538397e-315,0.0,0.0,0.0,0.0,0.0,0.0
normal_0_1,e11m4,16,74731311104,5.54797524484047e-310,0.0,0.0,0.0,0.0,0.0,0.0
normal_0_1,e1m14,16,74731311104,4.869900880782918e-05,4.870784342234253e-05,0.0,0.0,0.0,6.33588223580987e-05,6.337609938903502e-05
normal_0_1,e1m30,32,74731311104,7.430879034128648e-10,7.225886874224752e-10,0.0,0.0,0.0,6.334248391551795e-05,6.33587171167209e-05
normal_0_1,e1m6,8,74731311104,0.012466438999779365,0.012466358186911759,0.0,0.0,0.0,6.765795931781878e-05,6.767421747708777e-05
normal_0_1,e2m13,16,74731311104,4.870209531115728e-05,4.870784342234253e-05,6.337516503932217e-05,6.339262525994181e-05,0.0,0.0,0.0
normal_0_1,e2m29,32,74731311104,7.431349754282783e-10,7.225886874224752e-10,6.334248416479622e-05,6.33587171167209e-05,0.0,0.0,0.0
normal_0_1,e2m5,8,74731311104,0.012467339772957614,0.012466358186911759,7.225063202357724e-05,7.223870316535963e-05,0.0,0.0,0.0
normal_0_1,e3m12,16,74731311104,2.4349504415253212e-05,2.43383659824837e-05,1.297950523175335e-57,0.0,0.0,0.0,0.0
normal_0_1,e3m28,32,74731311104,3.715439517064324e-10,4.2820070365776304e-10,1.277751185928081e-57,0.0,0.0,0.0,0.0
normal_0_1,e3m4,8,74731311104,0.00623340972168516,0.006233227439991576,6.868131498544085e-56,0.0,0.0,0.0,0.0
normal_0_1,fp16_e5m10,16,74731311104,2.377881290921167e-08,2.351089488520905e-08,0.0,0.0,0.0,0.0,0.0
normal_0_1,fp32_e8m23,32,74731311104,5.590372048807681e-46,0.0,0.0,0.0,0.0,0.0,0.0
normal_0_1,fp64_e11m52,64,74731311104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_0_1,fp8_e4m3,8,74731311104,0.0007791840175610818,0.0007791124113823228,0.0,0.0,0.0,0.0,0.0
normal_0_1,fp8_e5m2,8,74731311104,6.087376104699133e-06,6.082015600762984e-06,0.0,0.0,0.0,0.0,0.0
uniform_0_1,bf16_e8m7,16,74731311104,4.591774807899561e-41,0.0,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e11m20,32,74731311104,1.0609978955e-314,0.0,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e11m4,16,74731311104,6.953355807835e-310,0.0,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e1m14,16,74731311104,6.103515625e-05,6.104350281840333e-05,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e1m30,32,74731311104,9.313225746154785e-10,1.0571204871551024e-09,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e1m6,8,74731311104,0.015625,0.015625089641141055,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e2m13,16,74731311104,6.103515625e-05,6.104350281840333e-05,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e2m29,32,74731311104,9.313225746154785e-10,1.0571204871551024e-09,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e2m5,8,74731311104,0.015625,0.015625089641141055,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e3m12,16,74731311104,3.0517578125e-05,3.0517355661353178e-05,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e3m28,32,74731311104,4.656612873077393e-10,4.951070636042886e-10,0.0,0.0,0.0,0.0,0.0
uniform_0_1,e3m4,8,74731311104,0.0078125,0.007812590417254833,0.0,0.0,0.0,0.0,0.0
uniform_0_1,fp16_e5m10,16,74731311104,2.9802322387695312e-08,2.996066798405411e-08,0.0,0.0,0.0,0.0,0.0
uniform_0_1,fp32_e8m23,32,74731311104,7.006492321624085e-46,0.0,0.0,0.0,0.0,0.0,0.0
uniform_0_1,fp64_e11m52,64,74731311104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_0_1,fp8_e4m3,8,74731311104,0.0009765625,0.0009765132703003514,0.0,0.0,0.0,0.0,0.0
uniform_0_1,fp8_e5m2,8,74731311104,7.62939453125e-06,7.61778418697553e-06,0.0,0.0,0.0,0.0,0.0
