kernel,distribution,format,storage_bits,n,m,comparison,finite_pairs,mse,mse_relative_cluster_standard_error,target,status
dot,uniform_0_1,e1m6,8,1024,1,storage,8192,0.0558313705785505645731,0.0182149251052990559669,0.05,pass
dot,uniform_0_1,e1m6,8,1024,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,1024,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,1024,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,1024,1,total_x1,8192,0.0558313705785505645731,0.0182149251052990559669,0.05,pass
dot,uniform_0_1,e1m6,8,1024,1,total_x2,8192,0.0558313705785505645731,0.0182149251052990559669,0.05,pass
dot,uniform_0_1,e1m6,8,1024,1,total_x4,8192,0.0558313705785505645731,0.0182149251052990559669,0.05,pass
dot,uniform_0_1,e1m6,8,16384,1,storage,8192,0.909590895336224465942,0.0144939292058525183913,0.05,pass
dot,uniform_0_1,e1m6,8,16384,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,16384,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,16384,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,16384,1,total_x1,8192,0.909590895336224465942,0.0144939292058525183913,0.05,pass
dot,uniform_0_1,e1m6,8,16384,1,total_x2,8192,0.909590895336224465942,0.0144939292058525183913,0.05,pass
dot,uniform_0_1,e1m6,8,16384,1,total_x4,8192,0.909590895336224465942,0.0144939292058525183913,0.05,pass
dot,uniform_0_1,e1m6,8,262144,1,storage,8192,14.1960465146944945069,0.0160751948129122737043,0.05,pass
dot,uniform_0_1,e1m6,8,262144,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,262144,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,262144,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,262144,1,total_x1,8192,14.1960465146944945069,0.0160751948129122737043,0.05,pass
dot,uniform_0_1,e1m6,8,262144,1,total_x2,8192,14.1960465146944945069,0.0160751948129122737043,0.05,pass
dot,uniform_0_1,e1m6,8,262144,1,total_x4,8192,14.1960465146944945069,0.0160751948129122737043,0.05,pass
dot,uniform_0_1,e1m6,8,4194304,1,storage,8192,225.261894403353488958,0.0133518701201890177214,0.05,pass
dot,uniform_0_1,e1m6,8,4194304,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,4194304,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,4194304,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e1m6,8,4194304,1,total_x1,8192,225.261894403353488958,0.0133518701201890177214,0.05,pass
dot,uniform_0_1,e1m6,8,4194304,1,total_x2,8192,225.261894403353488958,0.0133518701201890177214,0.05,pass
dot,uniform_0_1,e1m6,8,4194304,1,total_x4,8192,225.261894403353488958,0.0133518701201890177214,0.05,pass
dot,normal_0_1,e1m6,8,1024,1,storage,8192,0.178665924577470093697,0.0174303349952947341502,0.05,pass
dot,normal_0_1,e1m6,8,1024,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e1m6,8,1024,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e1m6,8,1024,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e1m6,8,1024,1,total_x1,8192,0.178665924577470093697,0.0174303349952947341502,0.05,pass
dot,normal_0_1,e1m6,8,1024,1,total_x2,8192,0.178665924577470093697,0.0174303349952947341502,0.05,pass
