kernel,distribution,format,storage_bits,n,m,comparison,metric,quantile,value,finite_value_count
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0,-0.859827944938483412773,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.000999999999999999999958,-0.714977153433454353448,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.0049999999999999999999,-0.6009221563585785333,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.0099999999999999999998,-0.551075138581905038223,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.0250000000000000000003,-0.460893710438439086619,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.0500000000000000000007,-0.378572068032079023215,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.100000000000000000001,-0.305448303607360410744,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.25,-0.159218668096879869406,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.5,0.00158990050967752760691,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.75,0.162204278917146220429,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.899999999999999999978,0.300114783811113396134,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.949999999999999999989,0.385210503893277018901,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.975000000000000000022,0.463548917437793253681,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.990000000000000000009,0.555618024745767450842,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.995000000000000000004,0.625771614565422217621,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,0.998999999999999999979,0.741341773243188666685,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,signed_error,1,0.900280568382989754284,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0,6.66759045461762234197e-06,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.000999999999999999999958,0.0004909433401082250736,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.0049999999999999999999,0.00154226125485806685163,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.0099999999999999999998,0.00306507228170898121659,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.0250000000000000000003,0.00726660835892073316026,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.0500000000000000000007,0.014873972301922196854,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.100000000000000000001,0.0308902804780144493734,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.25,0.0769420458270935019029,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.5,0.160692412679554516575,8192
dot,uniform_0_1,e1m6,8,1024,1,storage,absolute_error,0.75,0.27091244228456401455,8192
