kernel,distribution,format,storage_bits,n,m,operand,source_values,decoded_zeros,decoded_infinities,decoded_nans,saturated_values
dot,uniform_0_1,e1m6,8,1024,1,left,8388608,131646,0,0,0
dot,uniform_0_1,e1m6,8,1024,1,right,8388608,131333,0,0,0
dot,uniform_0_1,e1m6,8,16384,1,left,134217728,2097346,0,0,0
dot,uniform_0_1,e1m6,8,16384,1,right,134217728,2096374,0,0,0
dot,uniform_0_1,e1m6,8,262144,1,left,2147483648,33554438,0,0,0
dot,uniform_0_1,e1m6,8,262144,1,right,2147483648,33560518,0,0,0
dot,uniform_0_1,e1m6,8,4194304,1,left,34359738368,536866399,0,0,0
dot,uniform_0_1,e1m6,8,4194304,1,right,34359738368,536874377,0,0,0
dot,normal_0_1,e1m6,8,1024,1,left,8388608,104790,0,0,518
dot,normal_0_1,e1m6,8,1024,1,right,8388608,104309,0,0,566
dot,normal_0_1,e1m6,8,16384,1,left,134217728,1673201,0,0,9053
dot,normal_0_1,e1m6,8,16384,1,right,134217728,1675055,0,0,9106
dot,normal_0_1,e1m6,8,262144,1,left,2147483648,26771218,0,0,145057
dot,normal_0_1,e1m6,8,262144,1,right,2147483648,26768489,0,0,145248
dot,normal_0_1,e1m6,8,4194304,1,left,34359738368,428358487,0,0,2324193
dot,normal_0_1,e1m6,8,4194304,1,right,34359738368,428329280,0,0,2326776
dot,uniform_0_1,e2m5,8,1024,1,left,8388608,131646,0,0,0
dot,uniform_0_1,e2m5,8,1024,1,right,8388608,131333,0,0,0
dot,uniform_0_1,e2m5,8,16384,1,left,134217728,2097346,0,0,0
dot,uniform_0_1,e2m5,8,16384,1,right,134217728,2096374,0,0,0
dot,uniform_0_1,e2m5,8,262144,1,left,2147483648,33554438,0,0,0
dot,uniform_0_1,e2m5,8,262144,1,right,2147483648,33560518,0,0,0
dot,uniform_0_1,e2m5,8,4194304,1,left,34359738368,536866399,0,0,0
dot,uniform_0_1,e2m5,8,4194304,1,right,34359738368,536874377,0,0,0
dot,normal_0_1,e2m5,8,1024,1,left,8388608,104790,565,0,0
dot,normal_0_1,e2m5,8,1024,1,right,8388608,104309,597,0,0
dot,normal_0_1,e2m5,8,16384,1,left,134217728,1673201,9643,0,0
dot,normal_0_1,e2m5,8,16384,1,right,134217728,1675055,9666,0,0
dot,normal_0_1,e2m5,8,262144,1,left,2147483648,26771218,154832,0,0
dot,normal_0_1,e2m5,8,262144,1,right,2147483648,26768489,155036,0,0
dot,normal_0_1,e2m5,8,4194304,1,left,34359738368,428358487,2480906,0,0
dot,normal_0_1,e2m5,8,4194304,1,right,34359738368,428329280,2483892,0,0
dot,uniform_0_1,e3m4,8,1024,1,left,8388608,65938,0,0,0
dot,uniform_0_1,e3m4,8,1024,1,right,8388608,65523,0,0,0
dot,uniform_0_1,e3m4,8,16384,1,left,134217728,1048870,0,0,0
dot,uniform_0_1,e3m4,8,16384,1,right,134217728,1048459,0,0,0
dot,uniform_0_1,e3m4,8,262144,1,left,2147483648,16776445,0,0,0
dot,uniform_0_1,e3m4,8,262144,1,right,2147483648,16777230,0,0,0
dot,uniform_0_1,e3m4,8,4194304,1,left,34359738368,268430771,0,0,0
dot,uniform_0_1,e3m4,8,4194304,1,right,34359738368,268445945,0,0,0
dot,normal_0_1,e3m4,8,1024,1,left,8388608,52456,0,0,0
dot,normal_0_1,e3m4,8,1024,1,right,8388608,51888,0,0,0
dot,normal_0_1,e3m4,8,16384,1,left,134217728,836945,0,0,0
dot,normal_0_1,e3m4,8,16384,1,right,134217728,836998,0,0,0
dot,normal_0_1,e3m4,8,262144,1,left,2147483648,13382970,0,0,0
dot,normal_0_1,e3m4,8,262144,1,right,2147483648,13384436,0,0,0
dot,normal_0_1,e3m4,8,4194304,1,left,34359738368,214185262,0,0,0
dot,normal_0_1,e3m4,8,4194304,1,right,34359738368,214162275,0,0,0
dot,uniform_0_1,fp8_e4m3,8,1024,1,left,8388608,8362,0,0,0
dot,uniform_0_1,fp8_e4m3,8,1024,1,right,8388608,8188,0,0,0
dot,uniform_0_1,fp8_e4m3,8,16384,1,left,134217728,130544,0,0,0
dot,uniform_0_1,fp8_e4m3,8,16384,1,right,134217728,131506,0,0,0
dot,uniform_0_1,fp8_e4m3,8,262144,1,left,2147483648,2099218,0,0,0
dot,uniform_0_1,fp8_e4m3,8,262144,1,right,2147483648,2098384,0,0,0
dot,uniform_0_1,fp8_e4m3,8,4194304,1,left,34359738368,33549529,0,0,0
dot,uniform_0_1,fp8_e4m3,8,4194304,1,right,34359738368,33552362,0,0,0
dot,normal_0_1,fp8_e4m3,8,1024,1,left,8388608,6694,0,0,0
dot,normal_0_1,fp8_e4m3,8,1024,1,right,8388608,6522,0,0,0
dot,normal_0_1,fp8_e4m3,8,16384,1,left,134217728,104286,0,0,0
dot,normal_0_1,fp8_e4m3,8,16384,1,right,134217728,105174,0,0,0
dot,normal_0_1,fp8_e4m3,8,262144,1,left,2147483648,1671624,0,0,0
dot,normal_0_1,fp8_e4m3,8,262144,1,right,2147483648,1671736,0,0,0
dot,normal_0_1,fp8_e4m3,8,4194304,1,left,34359738368,26774696,0,0,0
