kernel,distribution,n,m,group_start,group_count,operand_a_seed,operand_b_seed
dot,uniform_0_1,1024,1,0,8192,6379123009730556611,18206822110991294146
dot,uniform_0_1,16384,1,0,8192,6823623763132395661,3883235641987662541
dot,uniform_0_1,262144,1,0,1532,10350228684785273757,4529634184043457936
dot,uniform_0_1,262144,1,1532,1532,15501180527604216455,14129420427808918340
dot,uniform_0_1,262144,1,3064,1532,10864142972503436259,2817840303989597906
dot,uniform_0_1,262144,1,4596,1532,2960598492501943687,6374668058853564283
dot,uniform_0_1,262144,1,6128,1532,11016028910369913717,18300110783370966957
dot,uniform_0_1,262144,1,7660,532,14130218282210143414,13442439477951526498
dot,uniform_0_1,4194304,1,0,95,2853606048157852623,13317899619023376320
dot,uniform_0_1,4194304,1,95,95,14221152991255560864,6970770917381440561
dot,uniform_0_1,4194304,1,190,95,6910381312646875916,260009532023925423
dot,uniform_0_1,4194304,1,285,95,18026644604305552307,7562261637074361856
dot,uniform_0_1,4194304,1,380,95,14849847674594680286,10649629920372474455
dot,uniform_0_1,4194304,1,475,95,4361266984139719576,554166388699231651
dot,uniform_0_1,4194304,1,570,95,17091935626181236105,3290465036079328596
dot,uniform_0_1,4194304,1,665,95,11938745547126635036,17168810430123602123
dot,uniform_0_1,4194304,1,760,95,11770938841778752701,17721361141571637798
dot,uniform_0_1,4194304,1,855,95,331109744534379199,11508532119401988208
dot,uniform_0_1,4194304,1,950,95,2628869148707532048,1775019818086089010
dot,uniform_0_1,4194304,1,1045,95,884720518302612441,5237664977182716820
dot,uniform_0_1,4194304,1,1140,95,6329084655078114833,2010802933969890657
dot,uniform_0_1,4194304,1,1235,95,12380516239499963450,3634076600232880327
dot,uniform_0_1,4194304,1,1330,95,17323546945919442507,12404964290086570
dot,uniform_0_1,4194304,1,1425,95,14802854151042819888,12939303638561076217
dot,uniform_0_1,4194304,1,1520,95,10534007346862206853,10751364479716777777
dot,uniform_0_1,4194304,1,1615,95,5592956607679466365,230504453850604538
dot,uniform_0_1,4194304,1,1710,95,2476732822536576710,17877156124444162721
dot,uniform_0_1,4194304,1,1805,95,7760337371840583318,4372829280859964419
dot,uniform_0_1,4194304,1,1900,95,17317697999937063286,17696859480507443371
dot,uniform_0_1,4194304,1,1995,95,4630150382613206918,18402180248354299786
dot,uniform_0_1,4194304,1,2090,95,7812284077108331260,7047410598908024236
dot,uniform_0_1,4194304,1,2185,95,2353612208758045681,1613807243668610595
dot,uniform_0_1,4194304,1,2280,95,18330525828237321903,10157611442206734962
dot,uniform_0_1,4194304,1,2375,95,14305215569130326578,113606617000967663
dot,uniform_0_1,4194304,1,2470,95,12045712311139106081,13732749300863230258
dot,uniform_0_1,4194304,1,2565,95,11745263636601364026,2439262667425446751
dot,uniform_0_1,4194304,1,2660,95,1442320281606646325,609616700234528183
dot,uniform_0_1,4194304,1,2755,95,5608585656029772115,9463288152190597253
dot,uniform_0_1,4194304,1,2850,95,2150988656404609655,5003133096796128576
dot,uniform_0_1,4194304,1,2945,95,4189369761505947977,13908068947184873404
dot,uniform_0_1,4194304,1,3040,95,120911995821351479,5712929298173725618
dot,uniform_0_1,4194304,1,3135,95,5746589435642882934,10335434760652019790
dot,uniform_0_1,4194304,1,3230,95,3981810133133853456,1892949371774928299
dot,uniform_0_1,4194304,1,3325,95,11560775063352980614,18418441717123755741
dot,uniform_0_1,4194304,1,3420,95,7333989606566642211,8318012957297178922
dot,uniform_0_1,4194304,1,3515,95,1061111286684058952,15018504175374305556
dot,uniform_0_1,4194304,1,3610,95,7268998122157310148,207060034442198396
