gpu,compute_capability,distribution,format,storage_bits,component,n,m,leading_dimension,threads,decode_repeats,lanes,scalar_time_ms,packed_time_ms,speedup_vs_x1,time_change_percent_vs_x1,packed_cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,1048576,1,1048576,256,0,1,0.008848914480916025,0.008848914480916025,1.0,0.0,0.13917518971347262
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,1048576,1,1048576,256,0,2,0.008848914480916025,0.00843205521359513,1.0494374451733648,-4.710852028459678,0.06268447618890592
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,1048576,1,1048576,256,0,4,0.008848914480916025,0.006607731760547148,1.3391758021641147,-25.327205107500074,0.28643970113324907
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,134217728,1,134217728,256,0,1,0.2557180667745656,0.2557180667745656,1.0,0.0,0.058535305464842396
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,134217728,1,134217728,256,0,2,0.2557180667745656,0.16768180118517928,1.525019799209835,-34.427080847203804,0.06726907182557453
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,134217728,1,134217728,256,0,4,0.2557180667745656,0.13751585395247848,1.8595533491209995,-46.22364556130135,0.05924434754393369
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,16777216,1,16777216,256,0,1,0.04007305922331633,0.04007305922331633,1.0,0.0,0.05301190421710743
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,16777216,1,16777216,256,0,2,0.04007305922331633,0.02916041056315104,1.374228224137393,-27.231883144613565,0.08037877437155236
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,16777216,1,16777216,256,0,4,0.04007305922331633,0.025044114249093193,1.6000988825055895,-37.50386235917475,0.04917647944106376
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,4096,1,4096,256,0,1,0.0044348620733683205,0.0044348620733683205,1.0,0.0,0.05453560937885307
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,4096,1,4096,256,0,2,0.0044348620733683205,0.004385289719199903,1.0113042369701086,-1.117787957061911,0.007956235114618161
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,4096,1,4096,256,0,4,0.0044348620733683205,0.004385635256767273,1.011224557839161,-1.109996563290172,0.006033132394574284
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,65536,1,65536,256,0,1,0.004611148342170932,0.004611148342170932,1.0,0.0,0.03199592267269485
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,65536,1,65536,256,0,2,0.004611148342170932,0.00458939246350181,1.0047404703001848,-0.47181042670336737,0.05949944264336491
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,65536,1,65536,256,0,4,0.004611148342170932,0.004588108207728411,1.0050217068559348,-0.49966153185333484,0.04669858941437853
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,1024,1024,1024,256,0,1,0.004365053934019965,0.004365053934019965,1.0,0.0,0.019929319616390898
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,1024,1024,1024,256,0,2,0.004365053934019965,0.00380732046591269,1.1464897617893521,-12.777241164432418,0.048097822399181964
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,1024,1024,1024,256,0,4,0.004365053934019965,0.0036625810553035723,1.1917972239001189,-16.093108798531052,0.12705096404823316
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,16384,1024,16384,256,0,1,0.026175646220936495,0.026175646220936495,1.0,0.0,0.313743276304802
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,16384,1024,16384,256,0,2,0.026175646220936495,0.02039565680161962,1.2833931496071207,-22.08155386320041,0.17364210325631005
