report,profile_sequence,distribution,format,storage_bits,component,lanes,n,m,operation_kernel_index,kernel_name,duration_ms,dram_read_bytes,dram_write_bytes,dram_total_bytes,measured_dram_gb_per_s,dram_percent_peak,sm_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,sp_flops_executed,dp_flops_executed,total_flops_executed,registers_per_thread,achieved_occupancy_percent,block_size,grid_size,shared_memory_bytes,issue_active_percent,pipe_alu_percent,pipe_fma_percent,pipe_fp64_percent,pipe_lsu_percent,pipe_xu_percent
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0,normal_0_1,e1m6,8,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::e1m6, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.743296,268446720.0,2459648.0,270906368.0,364.4663337351472,7.92,80.83,0.0,47.15,0.0,271153600.0,271153600.0,28.0,81.79,256.0,2112.0,1152.0,66.87,80.83,12.69,1.62,6.5,12.66
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0,normal_0_1,e1m6,8,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006751999999999999,20480.0,0.0,20480.0,3.0331753554502368,0.07,0.02,0.0,49.8,0.0,3399.0,3399.0,18.0,12.41,256.0,1.0,1152.0,4.21,0.02,0.0,0.0,0.01,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,1,normal_0_1,e2m5,8,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::e2m5, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.897056,268473088.0,2483200.0,270956288.0,302.05058324118005,6.56,74.22,0.0,45.1,0.0,271153600.0,271153600.0,24.0,81.92,256.0,2112.0,1152.0,61.83,74.22,11.73,1.33,5.34,10.4
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,1,normal_0_1,e2m5,8,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006176,20736.0,0.0,20736.0,3.357512953367875,0.07,0.02,0.0,49.93,0.0,3399.0,3399.0,18.0,12.79,256.0,1.0,1152.0,4.35,0.02,0.0,0.01,0.02,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,2,normal_0_1,e3m4,8,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::e3m4, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.9016959999999999,268444672.0,2440192.0,270884864.0,300.41706295691677,6.53,73.83,0.0,45.47,0.0,271153600.0,271153600.0,24.0,81.95,256.0,2112.0,1152.0,61.55,73.83,11.67,1.32,5.32,10.34
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,2,normal_0_1,e3m4,8,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006592,20736.0,0.0,20736.0,3.145631067961165,0.07,0.02,0.0,48.25,0.0,3399.0,3399.0,18.0,12.7,256.0,1.0,1152.0,4.48,0.02,0.0,0.0,0.01,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,3,normal_0_1,fp8_e4m3,8,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::fp8_e4m3, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.266688,268447232.0,2409472.0,270856704.0,1015.6313894888408,22.07,40.46,0.0,26.18,0.0,271153600.0,271153600.0,26.0,98.6,256.0,2112.0,1152.0,42.39,40.2,6.73,4.53,18.19,35.42
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,3,normal_0_1,fp8_e4m3,8,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006176,20736.0,0.0,20736.0,3.357512953367875,0.07,0.02,0.0,38.85,0.0,3399.0,3399.0,18.0,11.63,256.0,1.0,1152.0,4.48,0.02,0.0,0.01,0.02,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,4,normal_0_1,fp8_e5m2,8,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::fp8_e5m2, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.26217599999999996,268497664.0,2877440.0,271375104.0,1035.087513731234,22.49,41.95,0.0,28.77,0.0,271153600.0,271153600.0,26.0,97.87,256.0,2112.0,1152.0,43.58,41.68,6.98,4.7,18.86,36.72
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,4,normal_0_1,fp8_e5m2,8,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006528,20480.0,0.0,20480.0,3.1372549019607843,0.07,0.02,0.0,61.95,0.0,3399.0,3399.0,18.0,11.08,256.0,1.0,1152.0,4.13,0.02,0.0,0.0,0.01,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,5,normal_0_1,e1m14,16,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::e1m14, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.749536,536932096.0,2437376.0,539369472.0,719.6044913119582,15.64,81.23,0.0,16.87,0.0,271153600.0,271153600.0,30.0,81.64,256.0,2112.0,1152.0,66.72,81.23,13.29,1.6,6.41,12.47
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,5,normal_0_1,e1m14,16,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.007264,20736.0,0.0,20736.0,2.854625550660793,0.06,0.02,0.0,50.77,0.0,3399.0,3399.0,18.0,11.79,256.0,1.0,1152.0,4.61,0.02,0.0,0.0,0.01,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,6,normal_0_1,e2m13,16,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::e2m13, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.9088959999999999,536880640.0,2444800.0,539325440.0,593.385205788121,12.89,74.65,0.0,16.58,0.0,271153600.0,271153600.0,28.0,82.28,256.0,2112.0,1152.0,61.91,74.65,12.24,1.32,5.28,10.28
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,6,normal_0_1,e2m13,16,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006624,20736.0,0.0,20736.0,3.1304347826086953,0.07,0.02,0.0,59.04,0.0,3399.0,3399.0,18.0,12.78,256.0,1.0,1152.0,4.1,0.02,0.0,0.0,0.01,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,7,normal_0_1,e3m12,16,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::e3m12, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.912704,536880896.0,2702080.0,539582976.0,591.1916415398639,12.85,74.27,0.0,16.68,0.0,271153600.0,271153600.0,28.0,82.21,256.0,2112.0,1152.0,61.64,74.27,12.18,1.31,5.26,10.22
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,7,normal_0_1,e3m12,16,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006304,20736.0,0.0,20736.0,3.2893401015228423,0.07,0.02,0.0,33.97,0.0,3399.0,3399.0,18.0,11.5,256.0,1.0,1152.0,4.42,0.02,0.0,0.01,0.02,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,8,normal_0_1,fp16_e5m10,16,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::fp16_e5m10, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.27993599999999996,536888832.0,2415360.0,539304192.0,1926.5267489711935,41.86,38.96,0.0,12.45,0.0,271153600.0,271153600.0,26.0,98.49,256.0,2112.0,1152.0,40.46,34.45,8.61,4.36,17.52,34.11
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,8,normal_0_1,fp16_e5m10,16,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006336,20736.0,0.0,20736.0,3.2727272727272725,0.07,0.02,0.0,33.11,0.0,3399.0,3399.0,18.0,11.38,256.0,1.0,1152.0,4.34,0.02,0.0,0.0,0.02,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,9,normal_0_1,bf16_e8m7,16,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::bf16_e8m7, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.281024,536886528.0,2948096.0,539834624.0,1920.9555909815533,41.73,38.39,0.0,12.33,0.0,271153600.0,271153600.0,26.0,99.78,256.0,2112.0,1152.0,40.83,33.94,8.49,4.3,17.26,33.6
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,9,normal_0_1,bf16_e8m7,16,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.0060479999999999996,20736.0,0.0,20736.0,3.4285714285714284,0.07,0.03,0.0,33.01,0.0,3399.0,3399.0,18.0,12.39,256.0,1.0,1152.0,4.27,0.02,0.0,0.01,0.02,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,10,normal_0_1,e11m4,16,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::e11m4, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.27222399999999997,536900352.0,2403072.0,539303424.0,1981.1016809686141,43.04,39.87,0.0,11.01,0.0,271153600.0,271153600.0,26.0,99.29,256.0,2112.0,1152.0,42.61,35.26,13.18,4.47,17.93,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,10,normal_0_1,e11m4,16,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006208,20736.0,0.0,20736.0,3.34020618556701,0.07,0.02,0.0,38.52,0.0,3399.0,3399.0,18.0,12.63,256.0,1.0,1152.0,4.41,0.02,0.0,0.01,0.02,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,11,normal_0_1,e1m30,32,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::e1m30, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.780416,1073760512.0,2437376.0,1076197888.0,1379.0054124979497,29.96,81.11,0.0,0.91,0.0,271153600.0,271153600.0,30.0,81.79,256.0,2112.0,1152.0,65.06,81.11,12.03,1.53,6.16,11.99
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,11,normal_0_1,e1m30,32,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006272,20736.0,0.0,20736.0,3.306122448979592,0.07,0.02,0.0,49.82,0.0,3399.0,3399.0,18.0,13.99,256.0,1.0,1152.0,4.24,0.02,0.0,0.01,0.02,0.0
