profile_sequence,distribution,format,storage_bits,component,lanes,n,m,leading_dimension,kernel_count,decoded_values,unique_storage_bytes,requested_storage_bytes,useful_flops,modeled_flops,timing_status,report,duration_ms,dram_total_bytes,measured_dram_gb_per_s,inferred_sustained_dram_gb_per_s,executed_flops,executed_gflop_per_s,useful_gflop_per_s_profiler_contaminated,algorithmic_intensity_unique,measured_executed_intensity,dram_percent_peak,sm_percent_peak,achieved_occupancy_percent,issue_active_percent,pipe_alu_percent,pipe_fma_percent,pipe_fp64_percent,pipe_lsu_percent,pipe_xu_percent,registers_per_thread_max,bottleneck_class
0,normal_0_1,e1m6,8,dot,1,134217728,1,134217728,2,268435456,268469256,268469256,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.7500479999999999,270926848.0,361.2126797218312,4601.826073661165,271156999.0,361.519528083536,357.8910363070097,0.9998741010404558,1.00084949498988,7.849333589316951,80.10254106403856,81.16543495882931,66.30592900721022,80.10254106403856,12.575763471137847,1.6054166133367467,6.441576432441658,12.546033533853834,28.0,compute_or_conversion
1,normal_0_1,e2m5,8,dot,1,134217728,1,134217728,2,268435456,268469256,268469256,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.9032319999999999,270977024.0,300.00821937221,4604.443728152016,271156999.0,300.2074760415929,297.1943598101042,0.9998741010404558,1.0006641707010555,6.515623538581449,73.71264507900517,81.44731205271736,61.43697087791398,73.71264507900517,11.649794161411466,1.3209742790335155,5.303623609438107,10.328888259051938,24.0,compute_or_conversion
2,normal_0_1,e3m4,8,dot,1,134217728,1,134217728,2,268435456,268469256,268469256,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.908288,270905600.0,298.2595828635851,4600.559209932833,271156999.0,298.5363662186443,295.5400225479143,0.9998741010404558,1.0009279948439604,6.483115839909809,73.29431581172493,81.44741051296506,61.13580820180383,73.29431581172493,11.58530369222097,1.3104199549041715,5.281462091319053,10.26495631341601,24.0,compute_or_conversion
3,normal_0_1,fp8_e4m3,8,dot,1,134217728,1,134217728,2,268435456,268469256,268469256,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.272864,270877440.0,992.7195965755835,4601.878312575032,271156999.0,993.7441326081857,983.770141902193,0.9998741010404558,1.0010320497712915,21.572052304444707,39.544681599624724,96.63152222352528,41.53194558461358,39.290566436026744,6.577673273132404,4.427694382549549,17.77874047144365,34.61830421015598,26.0,instruction_throughput_or_overhead
4,normal_0_1,fp8_e5m2,8,dot,1,134217728,1,134217728,2,268435456,268469256,268469256,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.26870399999999994,271395584.0,1010.016910801477,4602.425127465848,271156999.0,1009.1290006847687,999.0005954507565,0.9998741010404558,0.9991208957917311,21.945319757056094,40.93133619149697,95.76148981779208,42.621586280814576,40.667895677027516,6.810425151839944,4.585816362986781,18.402050732404433,35.82790996784566,26.0,instruction_throughput_or_overhead
5,normal_0_1,e1m14,16,dot,1,134217728,1,134217728,2,268435456,536904712,536904712,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.7568,539390208.0,712.7249048625793,4601.05755888628,271156999.0,358.2941318710359,354.6980126849894,0.4999685232786707,0.5027102735242832,15.490458350951375,80.45052135306555,80.9695581395349,66.1238490486258,80.45052135306555,13.162438477801269,1.5846427061310784,6.348570824524313,12.350309090909093,30.0,compute_or_conversion
6,normal_0_1,e2m13,16,dot,1,134217728,1,134217728,2,268435456,536904712,536904712,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.9155199999999999,539346176.0,589.1145753233136,4603.448684611736,271156999.0,296.1781271845508,293.20545263893746,0.4999685232786707,0.5027513145842718,12.797244320167774,74.11003460328557,81.77715134568332,61.49173121286263,74.11003460328557,12.151440754980777,1.3104494931842015,5.241870325061168,10.20562181055575,28.0,compute_or_conversion
7,normal_0_1,e3m12,16,dot,1,134217728,1,134217728,2,268435456,536904712,536904712,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.9190079999999999,539603712.0,587.158884362269,4600.716863832459,271156999.0,295.05401367561547,292.0926216093875,0.4999685232786707,0.5025113670826638,12.762334691319337,73.76067690379192,81.72495978272224,61.24749538632961,73.76067690379192,12.096450433510917,1.301082558584909,5.224055851526864,10.149895191336746,28.0,compute_or_conversion
8,normal_0_1,fp16_e5m10,16,dot,1,134217728,1,134217728,2,268435456,536904712,536904712,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.28627199999999997,539324928.0,1883.9597585513081,4602.312244989244,271156999.0,947.2005610049185,937.693717862732,0.4999685232786707,0.5027711216789891,40.935070422535205,38.09814889336016,96.56201207243461,39.660563380281694,33.68796780684105,8.41943661971831,4.2635010060362175,17.132676056338028,33.35505030181086,26.0,instruction_throughput_or_overhead
9,normal_0_1,bf16_e8m7,16,dot,1,134217728,1,134217728,2,268435456,536904712,536904712,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.287072,539855360.0,1880.5573514658345,4603.307045023183,271156999.0,944.5609428993424,935.0805930219598,0.4999685232786707,0.5022771265992432,40.85231189388028,37.58183591572846,97.9388774941478,40.05975810946382,33.225377326942365,8.311133652881507,4.209618771597369,16.896789655556795,32.8921190502731,26.0,instruction_throughput_or_overhead
10,normal_0_1,e11m4,16,dot,1,134217728,1,134217728,2,268435456,536904712,536904712,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.27843199999999996,539324160.0,1937.0049419606946,4602.937675059127,271156999.0,973.8715341627401,964.0970003447881,0.4999685232786707,0.5027718376273,42.081928513963916,38.981492931846915,97.35780370072406,41.758281806688885,34.47427881852661,12.886134927019883,4.37055855648776,17.53067348580623,0.0,26.0,instruction_throughput_or_overhead
11,normal_0_1,e1m30,32,dot,1,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.786688,1076218624.0,1368.0374227139603,4602.824061262537,271156999.0,344.68175312194916,341.2222583794337,0.2499921305719639,0.2519534534648603,29.721697038724372,80.4634965831435,81.24945330296129,64.57510250569476,80.4634965831435,11.934088838268792,1.517881548974943,6.111047835990888,11.894407744874714,30.0,compute_or_conversion
12,normal_0_1,e2m29,32,dot,1,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,1.036032,1076274688.0,1038.843093649617,4602.161140520329,271156999.0,261.7264708039906,259.09957993575483,0.2499921305719639,0.25194032901013463,22.572940449715837,74.74487027427723,82.16265752409193,58.174241413392636,74.74487027427723,9.353033110946381,1.1927958981961948,4.790941438102298,9.33315418828762,28.0,compute_or_conversion
13,normal_0_1,e3m28,32,dot,1,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,1.0227519999999999,1076483328.0,1052.536028284472,4603.082008386888,271156999.0,265.12487778073285,262.4638778511311,0.2499921305719639,0.2518914988714066,22.86589781295955,74.5215935045837,82.04593316854917,57.89762147617409,74.52153499577611,9.335060229654893,1.1930374518944964,4.781974281155158,9.29529426488533,28.0,compute_or_conversion
14,normal_0_1,fp32_e8m23,32,dot,1,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,0.32899199999999995,1076218880.0,3271.261550432838,4601.9285500123315,271156999.0,824.2054487647117,815.933080439646,0.2499921305719639,0.25195339353273566,71.08457932107773,29.248698570177996,94.77794961579613,30.576539247154948,29.032518237525533,3.662155432350939,3.6819735434296277,14.766802840190643,28.747429238400937,26.0,memory_bandwidth
