gpu,compute_capability,distribution,format,storage_bits,component,lanes,n,m,leading_dimension,blocks,threads,decode_repeats,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,decoded_values,unique_storage_bytes,requested_storage_bytes,useful_flops,modeled_flops,arithmetic_intensity_unique,arithmetic_intensity_requested,decoded_gvalues_per_s,unique_storage_gb_per_s,requested_storage_gb_per_s,useful_gflop_per_s,theoretical_hbm_gb_per_s,modeled_fp64_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,1,134217728,1,134217728,528,256,256,10,0,0,0,242,14.237855911254883,0.058834115335763978,34603008,135168,135168,34603008,34603008,256,256,588.1452929566799,2.2974425506120308,2.2974425506120308,588.1452929566799,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,2,134217728,1,134217728,528,256,256,10,0,0,1,128,14.883392333984375,0.11627650260925293,69206016,270336,270336,69206016,69206016,256,256,595.18487783010426,2.3249409290238447,2.3249409290238447,595.18487783010426,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,4,134217728,1,134217728,528,256,256,10,0,0,2,63,14.937727928161621,0.23710679251050193,138412032,540672,540672,138412032,138412032,256,256,583.75397235348896,2.2802889545058163,2.2802889545058163,583.75397235348896,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,2,134217728,1,134217728,528,256,256,10,0,1,0,128,14.888511657714844,0.11631649732589722,69206016,270336,270336,69206016,69206016,256,256,594.9802271478103,2.324141512296134,2.324141512296134,594.9802271478103,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,4,134217728,1,134217728,528,256,256,10,0,1,1,63,14.938655853271484,0.23712152148049975,138412032,540672,540672,138412032,138412032,256,256,583.71771206513051,2.2801473127544161,2.2801473127544161,583.71771206513051,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,1,134217728,1,134217728,528,256,256,10,0,1,2,242,14.237312316894531,0.058831869078076575,34603008,135168,135168,34603008,34603008,256,256,588.16774891305727,2.2975302691916299,2.2975302691916299,588.16774891305727,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,4,134217728,1,134217728,528,256,256,10,0,2,0,63,14.939807891845703,0.23713980780707467,138412032,540672,540672,138412032,138412032,256,256,583.67270042069561,2.2799714860183422,2.2799714860183422,583.67270042069561,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,1,134217728,1,134217728,528,256,256,10,0,2,1,242,14.239520072937012,0.058840992036929801,34603008,135168,135168,34603008,34603008,256,256,588.07655687182239,2.2971740502805562,2.2971740502805562,588.07655687182239,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,2,134217728,1,134217728,528,256,256,10,0,2,2,128,14.883071899414062,0.11627399921417236,69206016,270336,270336,69206016,69206016,256,256,595.19769224179777,2.3249909853195225,2.3249909853195225,595.19769224179777,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,e1m6,8,register_decode,1,134217728,1,134217728,528,256,256,10,0,3,0,242,14.239968299865723,0.05884284421432117,34603008,135168,135168,34603008,34603008,256,256,588.05804617408887,2.2971017428675347,2.2971017428675347,588.05804617408887,4814.3040000000001,30159.360000000001
