gpu,compute_capability,distribution,format,storage_bits,component,lanes,n,m,leading_dimension,blocks,threads,decode_repeats,decoded_values,unique_storage_bytes,requested_storage_bytes,useful_flops,modeled_flops,arithmetic_intensity_unique,arithmetic_intensity_requested,theoretical_hbm_gb_per_s,modeled_fp64_gflop_per_s,sample_count,median_time_ms,mean_time_ms,stdev_time_ms,cv_percent,mad_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,median_decoded_gvalues_per_s,median_unique_storage_gb_per_s,median_requested_storage_gb_per_s,median_useful_gflop_per_s
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,1,1048576,1,1048576,2112,256,0,2097152.0,4228104.0,4228104.0,2097152.0,2099263.0,0.496002936540823,0.496002936540823,4814.304,30159.36,15,0.008848914480916025,0.008846803879182609,1.231255608243125e-05,0.13917518971347262,7.362204197013805e-06,0.008829599379147117,0.008863812663980833,0.008826263874621987,0.008870593914282347,236.99539695211365,477.81047145596483,477.81047145596483,236.99539695211365
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,1,134217728,1,134217728,2112,256,0,268435456.0,536904712.0,536904712.0,268435456.0,268437567.0,0.4999685232786707,0.4999685232786707,4814.304,30159.36,15,0.2557180667745656,0.2557600722915825,0.00014970993957297954,0.058535305464842396,7.392620218210633e-05,0.2555950329221528,0.256001485627273,0.2555795866867592,0.256035854076517,1049.7320716750364,2099.5963201666204,2099.5963201666204,1049.7320716750364
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,1,16777216,1,16777216,2112,256,0,33554432.0,67142664.0,67142664.0,33554432.0,33556543.0,0.49974829714829305,0.49974829714829305,4814.304,30159.36,15,0.04007305922331633,0.04007938492655543,2.1246845148071355e-05,0.05301190421710743,9.31220079855577e-06,0.040055932695903476,0.04011134874253046,0.040052910961171306,0.04013511112758091,837.3314304009139,1675.5063202395422,1675.5063202395422,837.3314304009139
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,1,4096,1,4096,16,256,0,8192.0,16648.0,16648.0,8192.0,8207.0,0.4920711196540125,0.4920711196540125,4814.304,30159.36,15,0.0044348620733683205,0.004433864470792359,2.418035008179072e-06,0.05453560937885307,1.3979818182267498e-06,0.0044303934109984535,0.004436796040780929,0.004429750553581758,0.004438203107100755,1.8471825875247787,3.7538935201553363,3.7538935201553363,1.8471825875247787
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,1,65536,1,65536,256,256,0,131072.0,266248.0,266248.0,131072.0,131327.0,0.49229289985276886,0.49229289985276886,4814.304,30159.36,15,0.004611148342170932,0.004611272273962291,1.4754191110043917e-06,0.03199592267269485,1.2172170221211656e-06,0.004609176734153704,0.00461339954731503,0.004608853602440638,0.004613624893008333,28.425023502560148,57.74006391532619,57.74006391532619,28.425023502560148
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,2,1048576,1,1048576,2048,256,0,2097152.0,4227080.0,4227080.0,2097152.0,2099199.0,0.49612309206355215,0.49612309206355215,4814.304,30159.36,15,0.00843205521359513,0.008432630546430595,5.285950286975693e-06,0.06268447618890592,3.4816051966927303e-06,0.00842393041070104,0.00844028047282747,0.008422874693893675,0.008442034757723845,248.71184389527363,501.31075911180176,501.31075911180176,248.71184389527363
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,2,134217728,1,134217728,2112,256,0,268435456.0,536904712.0,536904712.0,268435456.0,268437567.0,0.4999685232786707,0.4999685232786707,4814.304,30159.36,15,0.16768180118517928,0.1676932309897205,0.00011280568000110168,0.06726907182557453,6.436765863654381e-05,0.16755103207706065,0.16788329006580824,0.1675336602028836,0.16792808489853076,1600.8621931699881,3201.925958602208,3201.925958602208,1600.8621931699881
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,2,16777216,1,16777216,2112,256,0,33554432.0,67142664.0,67142664.0,33554432.0,33556543.0,0.49974829714829305,0.49974829714829305,4814.304,30159.36,15,0.02916041056315104,0.02915532417902871,2.3434692239156133e-05,0.08037877437155236,1.597086588541602e-05,0.02912012881324405,0.029184225899832588,0.029117440723237537,0.02920124962216332,1150.684484614271,2302.5280749937647,2302.5280749937647,1150.684484614271
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,2,4096,1,4096,8,256,0,8192.0,16520.0,16520.0,8192.0,8199.0,0.49588377723970944,0.49588377723970944,4814.304,30159.36,15,0.004385289719199903,0.004385364624212046,3.4890992013560155e-07,0.007956235114618161,1.9373311385337266e-07,0.00438491570666066,0.004385988926608828,0.00438491570666066,0.004386115391280371,1.8680635772212177,3.767139928673647,3.767139928673647,1.8680635772212177
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,2,65536,1,65536,128,256,0,131072.0,264200.0,264200.0,131072.0,131199.0,0.496109008327025,0.496109008327025,4814.304,30159.36,15,0.00458939246350181,0.004589725625664165,2.730861166129871e-06,0.05949944264336491,2.2523639145160396e-06,0.004586387616375608,0.004594588483152942,0.004586320688293248,0.004594607564776424,28.559771482256085,57.567532544037306,57.567532544037306,28.559771482256085
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,4,1048576,1,1048576,1024,256,0,2097152.0,4210696.0,4210696.0,2097152.0,2098175.0,0.49805352844280376,0.49805352844280376,4814.304,30159.36,15,0.006607731760547148,0.006600632232438697,1.890683123950231e-05,0.28643970113324907,1.1745111902332524e-05,0.006567376046207364,0.006619988446795075,0.006563646966518636,0.006620638863334443,317.37850082254954,637.2377318856745,637.2377318856745,317.37850082254954
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,4,134217728,1,134217728,2112,256,0,268435456.0,536904712.0,536904712.0,268435456.0,268437567.0,0.4999685232786707,0.4999685232786707,4814.304,30159.36,15,0.13751585395247848,0.13751431041293674,8.146945598368404e-05,0.05924434754393369,5.3626519662369754e-05,0.13739336243382208,0.13763374575862178,0.13736889097425672,0.13765510806330927,1952.0327895630387,3904.3113689679653,3904.3113689679653,1952.0327895630387
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,4,16777216,1,16777216,2112,256,0,33554432.0,67142664.0,67142664.0,33554432.0,33556543.0,0.49974829714829305,0.49974829714829305,4814.304,30159.36,15,0.025044114249093193,0.02504474159048385,1.2316122199311835e-05,0.04917647944106376,1.0165046243106046e-05,0.02502830216864578,0.025060371751544852,0.0250219024529978,0.02506266842369272,1339.813086071309,2680.975790646344,2680.975790646344,1339.813086071309
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,4,4096,1,4096,4,256,0,8192.0,16456.0,16456.0,8192.0,8195.0,0.49781234807972774,0.49781234807972774,4814.304,30159.36,15,0.004385635256767273,0.004385646855508959,2.6459188115133944e-07,0.006033132394574284,1.4860887785194538e-07,0.004385298571071109,0.004386135049768396,0.0043852703796850665,0.004386135049768396,1.8679163953179416,3.7522500245791073,3.7522500245791073,1.8679163953179416
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,dot,4,65536,1,65536,64,256,0,131072.0,263176.0,263176.0,131072.0,131135.0,0.4980393348937593,0.4980393348937593,4814.304,30159.36,15,0.004588108207728411,0.004588471205384882,2.1427513285996715e-06,0.04669858941437853,1.459508328824008e-06,0.004585844560249431,0.004591698662654773,0.0045856080345205354,0.004593013508899792,28.567765637963063,57.36046058301214,57.36046058301214,28.567765637963063
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,1,1024,1024,1024,1024,256,0,2097152.0,2107392.0,4202496.0,2097152.0,2358272.0,0.9951409135082604,0.49902534113060426,4814.304,30159.36,15,0.004365053934019965,0.004364885564322944,8.69891995003627e-07,0.019929319616390898,7.837205319794274e-07,0.004363716212478844,0.004366134993127875,0.0043633378840781546,0.0043663241573282194,480.44125724436185,482.7871618207504,962.7592381498346,480.44125724436185
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,1,16384,1024,16384,1024,256,0,33554432.0,33595392.0,67117056.0,33554432.0,33815552.0,0.9987807851743478,0.4999389722934212,4814.304,30159.36,15,0.026175646220936495,0.02621707834449469,8.225432054941438e-05,0.313743276304802,2.982335932114749e-05,0.026145046598771038,0.026344835056978114,0.026143235318800983,0.02641170515733607,1281.8950759336597,1283.459889258774,2564.1031145323423,1281.8950759336597
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,1,256,1024,256,1024,256,0,524288.0,532992.0,1056768.0,524288.0,785408.0,0.983669548511047,0.49612403100775193,4814.304,30159.36,15,0.003364290133293695,0.0033638649013179203,2.6795910673340055e-06,0.07965810595675751,6.191962821449314e-07,0.003359824307803541,0.003366867756135067,0.0033594914444908244,0.003370482425650153,155.83911589893512,158.42628872147606,314.11321798379106,155.83911589893512
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,1,4096,1024,4096,1024,256,0,8388608.0,8404992.0,16785408.0,8388608.0,8649728.0,0.9980506822612085,0.4997559785261103,4814.304,30159.36,15,0.00815605526128091,0.00815848380299858,1.6361109043433305e-05,0.20054104951976398,2.7329468530075396e-06,0.008134920275244175,0.008181542864187362,0.008132451821949856,0.008183317079360163,1028.5128939504716,1030.5217081964688,2058.030195023942,1028.5128939504716
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,1,65536,1024,65536,1024,256,0,134217728.0,134356992.0,268443648.0,134217728.0,134478848.0,0.9989634778367172,0.4999847416765846,4814.304,30159.36,15,0.1172015250675262,0.11720954955570281,7.434426789484036e-05,0.06342850746944377,3.3779749794612957e-05,0.11710509421333434,0.11732195218404134,0.11707682836623419,0.11736710866292317,1145.1875555601332,1146.375799483749,2290.445007821656,1145.1875555601332
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,2,1024,1024,1024,1024,256,0,2097152.0,2107392.0,4202496.0,2097152.0,2358272.0,0.9951409135082604,0.49902534113060426,4814.304,30159.36,15,0.00380732046591269,0.003806878977300578,1.8310258894538266e-06,0.048097822399181964,2.0262817618469514e-06,0.0038046665265293192,0.003809354148776375,0.003804441768690426,0.003809371418013996,550.8209825718653,553.5105381508296,1103.793609606902,550.8209825718653
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,2,16384,1024,16384,1024,256,0,33554432.0,33595392.0,67117056.0,33554432.0,33815552.0,0.9987807851743478,0.4999389722934212,4814.304,30159.36,15,0.02039565680161962,0.020409445169759826,3.543938985571434e-05,0.17364210325631005,1.839110397981042e-05,0.020376610859731113,0.020475764198469318,0.02037508290461082,0.020494490126566893,1645.1753589683583,1647.183629670224,3290.7523720770905,1645.1753589683583
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,2,256,1024,256,1024,256,0,524288.0,532992.0,1056768.0,524288.0,785408.0,0.983669548511047,0.49612403100775193,4814.304,30159.36,15,0.003278664941073404,0.003278983083149346,2.9794148014369394e-06,0.09086398819036656,7.672629437844095e-07,0.0032760893938262583,0.003284798846451588,0.003276015706507198,0.0032874112373582638,159.90899022098705,162.56372931645268,322.316558414177,159.90899022098705
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,2,4096,1024,4096,1024,256,0,8388608.0,8404992.0,16785408.0,8388608.0,8649728.0,0.9980506822612085,0.4997559785261103,4814.304,30159.36,15,0.006661932291350423,0.006663436611470552,1.1223601683837525e-05,0.16843563371664746,3.4084111434950007e-06,0.006647343325354138,0.006681213313022014,0.006646401729814335,0.0066831733690436435,1259.185418454556,1261.6447649749748,2519.6005101693213,1259.185418454556
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,16,gemv,2,65536,1024,65536,1024,256,0,134217728.0,134356992.0,268443648.0,134217728.0,134478848.0,0.9989634778367172,0.4999847416765846,4814.304,30159.36,15,0.06980784581257747,0.06982898528759297,7.584761118266793e-05,0.1086190940198931,5.153967784000957e-05,0.06973938483458299,0.06996635565390955,0.06971569244678204,0.0699933859018179,1922.6739693465458,1924.6689313508728,3845.465289399229,1922.6739693465458
