gpu,compute_capability,distribution,format,strategy,storage_bits,component,lanes,n,m,blocks,threads,decode_repeats,decoded_values,source_bytes,lookup_bytes_requested,useful_flops,sample_count,median_time_ms,mean_time_ms,stdev_time_ms,cv_percent,mad_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,median_decoded_gvalues_per_s,median_source_gb_per_s,median_lookup_gb_per_s,median_useful_gflop_per_s
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,dot,4,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.30664517329289365,0.3066751000820062,0.00044570777689118224,0.14533549569951984,0.0002490997314452681,0.3060601659921499,0.3072497147780198,0.3054946605975811,0.3072807312011719,875.3943625377158,875.5045876543776,0.0,875.3943625377158
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,gemv,4,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.16608079274495444,0.16611249711778428,0.00011801896372496812,0.07104761277610872,5.89211781819865e-05,0.16601189772288005,0.16636325359344484,0.1660029411315918,0.16638453801472983,808.147202224127,404.5175296289102,0.0,808.147202224127
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,register_decode,4,134217728,1,528,256,256,138412032.0,540672.0,0.0,138412032.0,15,0.06454069137573243,0.06448354085286459,9.927486949991502e-05,0.15395381237893804,4.405339558918864e-05,0.06435710906982423,0.06458480962117513,0.06435434977213542,0.0645849609375,2144.570023184529,8.377226653064566,0.0,2144.570023184529
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,stream_decode,4,134217728,1,2112,256,0,134217728.0,134217728.0,0.0,134217728.0,15,0.16138562148179464,0.16139884163047563,0.00013015734704482657,0.08064329689727465,8.403188813990714e-05,0.16123735691473737,0.16160153489771897,0.1612240706032854,0.16161118484124903,831.6585255096015,831.6585255096015,0.0,831.6585255096015
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,dot,1,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.711352249671673,0.7113817763054509,0.0006954618548035571,0.09776211282996683,0.0004126450111126001,0.7102430935563713,0.7123585076167666,0.70986925322434,0.7124844255118534,377.35939701307933,377.40691215064385,0.0,377.35939701307933
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,gemv,1,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.3866855022954006,0.38673748190886054,0.0005703933966645604,0.14748852214923938,0.0003677068972120501,0.3860569636027018,0.3875930823531806,0.3857587552538105,0.38773143992704506,347.09790567081325,173.7396194095666,0.0,347.09790567081325
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,register_decode,1,134217728,1,528,256,256,34603008.0,135168.0,0.0,34603008.0,15,0.07167238368219508,0.071604489989042,0.00010027845598866877,0.14004492735583327,3.633743677383672e-05,0.07147313561631646,0.0717025638063312,0.07145951519082318,0.07170872111896892,482.7941561624957,1.8859146725097489,0.0,482.7941561624957
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,stream_decode,1,134217728,1,2112,256,0,134217728.0,134217728.0,0.0,134217728.0,15,0.38110549494905294,0.3811937392132837,0.00031525698858006756,0.08270256201759821,0.00021009625128981524,0.38086460041549974,0.38175654861162295,0.38080121886055424,0.3818457261571344,352.1799863262075,352.1799863262075,0.0,352.1799863262075
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,dot,4,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.5914955139160156,0.5914127723843444,0.0002142798029090077,0.0362318524243424,0.00018725675695085986,0.591123390197754,0.5917326310101677,0.591098336612477,0.5918070849250344,453.82500743380814,453.88215072434,0.0,453.82500743380814
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,gemv,4,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.3112330138683319,0.3112367312113444,0.00013208908654460756,0.042440069984835065,0.00010749697685241699,0.31108244359493253,0.31141344308853147,0.31100648641586304,0.31145650148391724,431.24515080132613,215.85946543711395,0.0,431.24515080132613
