gpu,compute_capability,distribution,format,strategy,storage_bits,component,lanes,n,m,blocks,threads,decode_repeats,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,decoded_values,source_bytes,lookup_bytes_requested,useful_flops,decoded_gvalues_per_s,source_gb_per_s,lookup_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,fp64_e11m52,current_x1,64,register_decode,1,134217728,1,528,256,256,10,0,0,0,1713,14.472224235534668,0.0084484671544277096,34603008,1081344,0,34603008,4095.7735134077075,127.99292229399086,0,4095.7735134077075
NVIDIA H200 NVL,sm_90,uniform_0_1,fp64_e11m52,current_x4,64,register_decode,4,134217728,1,528,256,256,10,0,0,1,1169,17.269599914550781,0.014772968275920258,138412032,4325376,0,138412032,9369.2770074927848,292.78990648414953,0,9369.2770074927848
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x1,8,register_decode,1,134217728,1,528,256,256,10,0,0,2,294,19.528095245361328,0.066422092671297034,34603008,135168,0,34603008,520.9563054756477,2.0349855682642488,0,520.9563054756477
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x4,8,register_decode,4,134217728,1,528,256,256,10,0,0,3,75,20.055391311645508,0.26740521748860679,138412032,540672,0,138412032,517.61156083612047,2.0219201595160956,0,517.61156083612047
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_x4,8,register_decode,4,134217728,1,528,256,256,10,0,0,4,302,19.366399765014648,0.0641271515397836,138412032,540672,0,138412032,2158.3998146889635,8.4312492761287636,0,2158.3998146889635
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_x1,8,register_decode,1,134217728,1,528,256,256,10,0,0,5,1948,16.428863525390625,0.0084337081752518615,34603008,135168,138412032,34603008,4102.9411121361964,16.027113719282017,16411.764448544785,4102.9411121361964
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_x4,8,register_decode,4,134217728,1,528,256,256,10,0,0,6,1207,17.352287292480469,0.014376377210008673,138412032,540672,553648128,138412032,9627.7407011579435,37.608362113898217,38510.962804631774,9627.7407011579435
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,current_x1,8,register_decode,1,134217728,1,528,256,256,10,0,0,7,272,19.590047836303711,0.072022234692293061,34603008,135168,0,34603008,480.44896340466914,1.8767537632994888,0,480.44896340466914
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,current_x4,8,register_decode,4,134217728,1,528,256,256,10,0,0,8,65,19.996864318847656,0.30764406644381009,138412032,540672,0,138412032,449.90964265933729,1.7574595416380363,0,449.90964265933729
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,branchless_x4,8,register_decode,4,134217728,1,528,256,256,10,0,0,9,298,19.127103805541992,0.064184912099134198,138412032,540672,0,138412032,2156.4574519666135,8.4236619217445838,0,2156.4574519666135
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,lut_x1,8,register_decode,1,134217728,1,528,256,256,10,0,0,10,1941,16.357023239135742,0.0084271114060462358,34603008,135168,138412032,34603008,4106.1529072907751,16.03965979410459,16424.611629163101,4106.1529072907751
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,lut_x4,8,register_decode,4,134217728,1,528,256,256,10,0,0,11,1228,17.61235237121582,0.014342306491218095,138412032,540672,553648128,138412032,9650.6117816371261,37.697702272020024,38602.447126548504,9650.6117816371261
NVIDIA H200 NVL,sm_90,uniform_0_1,fp64_e11m52,current_x4,64,register_decode,4,134217728,1,528,256,256,10,0,1,0,1169,17.306367874145508,0.014804420764880673,138412032,4325376,0,138412032,9349.3716639251197,292.16786449765999,0,9349.3716639251197
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x1,8,register_decode,1,134217728,1,528,256,256,10,0,1,1,294,19.529279708862305,0.06642612145871532,34603008,135168,0,34603008,520.92470913729642,2.0348621450675641,0,520.92470913729642
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x4,8,register_decode,4,134217728,1,528,256,256,10,0,1,2,75,20.065311431884766,0.26753748575846353,138412032,540672,0,138412032,517.35565805892429,2.020920539292673,0,517.35565805892429
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_x4,8,register_decode,4,134217728,1,528,256,256,10,0,1,3,302,19.366815567016602,0.064128528367604645,138412032,540672,0,138412032,2158.3534742381617,8.431068258742819,0,2158.3534742381617
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_x1,8,register_decode,1,134217728,1,528,256,256,10,0,1,4,1948,16.428703308105469,0.0084336259281855581,34603008,135168,138412032,34603008,4102.9811251593683,16.027270020153782,16411.924500637473,4102.9811251593683
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_x4,8,register_decode,4,134217728,1,528,256,256,10,0,1,5,1207,17.344671249389648,0.014370067315152982,138412032,540672,553648128,138412032,9631.9682409592442,37.624875941247048,38527.872963836977,9631.9682409592442
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,current_x1,8,register_decode,1,134217728,1,528,256,256,10,0,1,6,272,19.594623565673828,0.072039057226742018,34603008,135168,0,34603008,480.33676913743432,1.8763155044431028,0,480.33676913743432
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,current_x4,8,register_decode,4,134217728,1,528,256,256,10,0,1,7,65,19.996927261352539,0.30764503479003907,138412032,540672,0,138412032,449.90822651977192,1.757454009842859,0,449.90822651977192
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,branchless_x4,8,register_decode,4,134217728,1,528,256,256,10,0,1,8,298,19.127552032470703,0.064186416216344647,138412032,540672,0,138412032,2156.4069184587734,8.4234645252295834,0,2156.4069184587734
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,lut_x1,8,register_decode,1,134217728,1,528,256,256,10,0,1,9,1941,16.359424591064453,0.008428348578600954,34603008,135168,138412032,34603008,4105.5501771550908,16.037305379512073,16422.200708620363,4105.5501771550908
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,lut_x4,8,register_decode,4,134217728,1,528,256,256,10,0,1,10,1228,17.61555290222168,0.014344912786825472,138412032,540672,553648128,138412032,9648.8583832394688,37.690853059529175,38595.433532957875,9648.8583832394688
NVIDIA H200 NVL,sm_90,uniform_0_1,fp64_e11m52,current_x1,64,register_decode,1,134217728,1,528,256,256,10,0,1,11,1713,14.471263885498047,0.0084479065297711885,34603008,1081344,0,34603008,4096.0453194002394,128.00141623125748,0,4096.0453194002394
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x1,8,register_decode,1,134217728,1,528,256,256,10,0,2,0,294,19.531488418579102,0.066433634076799669,34603008,135168,0,34603008,520.86580059729499,2.0346320335831836,0,520.86580059729499
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x4,8,register_decode,4,134217728,1,528,256,256,10,0,2,1,75,20.050752639770508,0.26734336853027346,138412032,540672,0,138412032,517.73130847016489,2.0223879237115816,0,517.73130847016489
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_x4,8,register_decode,4,134217728,1,528,256,256,10,0,2,2,302,19.370048522949219,0.064139233519699398,138412032,540672,0,138412032,2157.9932344761933,8.4296610721726299,0,2157.9932344761933
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_x1,8,register_decode,1,134217728,1,528,256,256,10,0,2,3,1948,16.427871704101562,0.0084331990267461823,34603008,135168,138412032,34603008,4103.1888243423828,16.028081345087433,16412.755297369531,4103.1888243423828
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_x4,8,register_decode,4,134217728,1,528,256,256,10,0,2,4,1207,17.344032287597656,0.014369537935043626,138412032,540672,553648128,138412032,9632.3230869134968,37.626262058255847,38529.292347653987,9632.3230869134968
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,current_x1,8,register_decode,1,134217728,1,528,256,256,10,0,2,5,272,19.600000381469727,0.072058824931873988,34603008,135168,0,34603008,480.20499963348635,1.8758007798183061,0,480.20499963348635
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,current_x4,8,register_decode,4,134217728,1,528,256,256,10,0,2,6,65,19.996255874633789,0.30763470576359675,138412032,540672,0,138412032,449.92333246809721,1.7575130174535047,0,449.92333246809721
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,branchless_x4,8,register_decode,4,134217728,1,528,256,256,10,0,2,7,298,19.125312805175781,0.064178902030791213,138412032,540672,0,138412032,2156.659394602822,8.4244507601672733,0,2156.659394602822
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,lut_x1,8,register_decode,1,134217728,1,528,256,256,10,0,2,8,1941,16.358240127563477,0.0084277383449579985,34603008,135168,138412032,34603008,4105.8474508409108,16.038466604847308,16423.389803363643,4105.8474508409108
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,lut_x4,8,register_decode,4,134217728,1,528,256,256,10,0,2,9,1228,17.608224868774414,0.014338945332878187,138412032,540672,553648128,138412032,9652.8739587723376,37.706538901454444,38611.49583508935,9652.8739587723376
NVIDIA H200 NVL,sm_90,uniform_0_1,fp64_e11m52,current_x1,64,register_decode,1,134217728,1,528,256,256,10,0,2,10,1713,14.470848083496094,0.0084476637965534701,34603008,1081344,0,34603008,4096.1630142190961,128.00509419434675,0,4096.1630142190961
NVIDIA H200 NVL,sm_90,uniform_0_1,fp64_e11m52,current_x4,64,register_decode,4,134217728,1,528,256,256,10,0,2,11,1169,17.32476806640625,0.014820160878020744,138412032,4325376,0,138412032,9339.4419358344476,291.85756049482649,0,9339.4419358344476
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x4,8,register_decode,4,134217728,1,528,256,256,10,0,3,0,75,20.061344146728516,0.26748458862304686,138412032,540672,0,138412032,517.45796912082074,2.021320191878206,0,517.45796912082074
