gpu,compute_capability,distribution,format,strategy,storage_bits,component,lanes,n,m,blocks,threads,decode_repeats,decoded_values,source_bytes,lookup_bytes_requested,useful_flops,sample_count,median_time_ms,mean_time_ms,stdev_time_ms,cv_percent,mad_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,median_decoded_gvalues_per_s,median_source_gb_per_s,median_lookup_gb_per_s,median_useful_gflop_per_s
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,dot,4,1048576,1,1024,256,0,2097152.0,2113544.0,0.0,2097152.0,15,0.008120159902972376,0.008121155201397336,3.043554887094175e-06,0.03747687135163354,2.012043418046089e-06,0.00811756033145501,0.0081259111682336,0.008117493041261227,0.008126403519255435,258.26486486212417,260.2835443211333,0.0,258.26486486212417
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,dot,4,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.30664517329289365,0.3066751000820062,0.00044570777689118224,0.14533549569951984,0.0002490997314452681,0.3060601659921499,0.3072497147780198,0.3054946605975811,0.3072807312011719,875.3943625377158,875.5045876543776,0.0,875.3943625377158
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,dot,4,16777216,1,2112,256,0,33554432.0,33588232.0,0.0,33554432.0,15,0.044663720475488056,0.044630571437975004,6.160902642911478e-05,0.13804220838788825,1.9767067649147096e-05,0.04454253047774166,0.04468750764717867,0.044534749918050696,0.044696016467256704,751.2681801422038,752.0249464760464,0.0,751.2681801422038
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,dot,4,65536,1,64,256,0,131072.0,132104.0,0.0,131072.0,15,0.004744637412675642,0.004744737296774385,4.508286785968634e-07,0.009501657318379887,2.493329596302621e-07,0.004744235989844529,0.004745487052733796,0.004744084094006476,0.004745874375802212,27.625293273165966,27.84280199095395,0.0,27.625293273165966
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,gemv,4,1024,1024,1024,256,0,2097152.0,1057792.0,0.0,2097152.0,15,0.005404282253409813,0.005405883298183367,1.2843107113425782e-05,0.2375764774230638,8.730686587055635e-06,0.005390791868225415,0.005423899093378714,0.00538107193038476,0.005427931535659937,388.053751018798,195.73218984493082,0.0,388.053751018798
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,gemv,4,16384,1024,1024,256,0,33554432.0,16801792.0,0.0,33554432.0,15,0.04176957750003248,0.041736476472458484,7.14404946858311e-05,0.1711704023049814,2.8808999748816677e-05,0.041635945525243384,0.04180140738476671,0.04163355943633289,0.041802002426790295,803.3222744466092,402.249508029784,0.0,803.3222744466092
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,gemv,4,4096,1024,1024,256,0,8388608.0,4206592.0,0.0,8388608.0,15,0.012735297568086055,0.01273219800632648,8.155623230600686e-06,0.06405510836815649,1.064767996229385e-06,0.012717717065392754,0.012736622324148574,0.012705331130034985,0.01273728282657225,658.6895952098822,330.3096749416743,0.0,658.6895952098822
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,gemv,4,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.16608079274495444,0.16611249711778428,0.00011801896372496812,0.07104761277610872,5.89211781819865e-05,0.16601189772288005,0.16636325359344484,0.1660029411315918,0.16638453801472983,808.147202224127,404.5175296289102,0.0,808.147202224127
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,register_decode,4,134217728,1,528,256,256,138412032.0,540672.0,0.0,138412032.0,15,0.06454069137573243,0.06448354085286459,9.927486949991502e-05,0.15395381237893804,4.405339558918864e-05,0.06435710906982423,0.06458480962117513,0.06435434977213542,0.0645849609375,2144.570023184529,8.377226653064566,0.0,2144.570023184529
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,stream_decode,4,1048576,1,1024,256,0,1048576.0,1048576.0,0.0,1048576.0,15,0.004184372817413716,0.004194530464683502,2.5982759909918366e-05,0.6194438240152081,1.6093806154604887e-05,0.004168033010983916,0.004230193555925539,0.0041674590103417935,0.004241417793257437,250.59334953048122,250.59334953048122,0.0,250.59334953048122
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,stream_decode,4,134217728,1,2112,256,0,134217728.0,134217728.0,0.0,134217728.0,15,0.16138562148179464,0.16139884163047563,0.00013015734704482657,0.08064329689727465,8.403188813990714e-05,0.16123735691473737,0.16160153489771897,0.1612240706032854,0.16161118484124903,831.6585255096015,831.6585255096015,0.0,831.6585255096015
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,stream_decode,4,16777216,1,2112,256,0,16777216.0,16777216.0,0.0,16777216.0,15,0.02245825019467719,0.022471510088675185,2.4239793584546133e-05,0.10786900163314836,9.55565120503224e-06,0.022447718888558125,0.022508379901947435,0.02244544236042538,0.02252014803029643,747.0402125975224,747.0402125975224,0.0,747.0402125975224
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_x4,8,stream_decode,4,65536,1,64,256,0,65536.0,65536.0,0.0,65536.0,15,0.0024655388167259275,0.002465541514238137,2.0540377119164522e-07,0.00833098003036935,9.752544140794947e-08,0.0024652768675403245,0.0024658179262391994,0.0024651696725551515,0.0024660469865259447,26.580802360689447,26.580802360689447,0.0,26.580802360689447
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,dot,1,1048576,1,2112,256,0,2097152.0,2130952.0,0.0,2097152.0,15,0.012494625830060356,0.012488964956284494,1.5737886090283747e-05,0.1260143346175728,8.151347286662614e-06,0.012461676035385467,0.012505746894181208,0.012461251393502803,0.012508274339345518,167.84432191274908,170.54948495322057,0.0,167.84432191274908
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,dot,1,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.711352249671673,0.7113817763054509,0.0006954618548035571,0.09776211282996683,0.0004126450111126001,0.7102430935563713,0.7123585076167666,0.70986925322434,0.7124844255118534,377.35939701307933,377.40691215064385,0.0,377.35939701307933
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,dot,1,16777216,1,2112,256,0,33554432.0,33588232.0,0.0,33554432.0,15,0.09031968069548654,0.09035213772613224,0.00014587601998809603,0.16145275990067118,0.00010296849921198614,0.09016859979912785,0.09054572983543471,0.09013655634209661,0.09059596297764543,371.50742497782966,371.88165127867273,0.0,371.50742497782966
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,dot,1,65536,1,256,256,0,131072.0,135176.0,0.0,131072.0,15,0.005011342983026308,0.00501090904513482,3.8584793907114445e-06,0.07700158506085258,3.013371340189995e-06,0.0050055555736806525,0.005016540757529529,0.0050030163783914006,0.005016767317549377,26.155064708990782,26.974006859607986,0.0,26.155064708990782
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,gemv,1,1024,1024,1024,256,0,2097152.0,1057792.0,0.0,2097152.0,15,0.008407377570268729,0.008402504283047492,1.793524921619067e-05,0.2134512356319295,1.2167331670007858e-05,0.008376912761139907,0.008422276213388969,0.008352527294129455,0.00842272676431537,249.4418720310866,125.81711611724242,0.0,249.4418720310866
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,gemv,1,16384,1024,1024,256,0,33554432.0,16801792.0,0.0,33554432.0,15,0.0893087142553085,0.08927612695938501,0.0001360609614103902,0.15240464169361798,0.00012241265712639726,0.08909564971923828,0.08944324689033704,0.0890476324619391,0.08946116520808294,375.71285489652576,188.1316077619078,0.0,375.71285489652576
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,gemv,1,4096,1024,1024,256,0,8388608.0,4206592.0,0.0,8388608.0,15,0.024637407228329074,0.024627712597550255,3.578981959708473e-05,0.14532336064635082,1.843034272256197e-05,0.024551419756346952,0.024661242185556768,0.0245418244953956,0.024663155054735552,340.48258090869416,170.74004423497504,0.0,340.48258090869416
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,gemv,1,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.3866855022954006,0.38673748190886054,0.0005703933966645604,0.14748852214923938,0.0003677068972120501,0.3860569636027018,0.3875930823531806,0.3857587552538105,0.38773143992704506,347.09790567081325,173.7396194095666,0.0,347.09790567081325
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,register_decode,1,134217728,1,528,256,256,34603008.0,135168.0,0.0,34603008.0,15,0.07167238368219508,0.071604489989042,0.00010027845598866877,0.14004492735583327,3.633743677383672e-05,0.07147313561631646,0.0717025638063312,0.07145951519082318,0.07170872111896892,482.7941561624957,1.8859146725097489,0.0,482.7941561624957
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,stream_decode,1,1048576,1,2112,256,0,1048576.0,1048576.0,0.0,1048576.0,15,0.006201901798178538,0.006202608134613182,3.900587415601977e-06,0.06288624609114102,1.7163037575630702e-06,0.006199379037037849,0.006207624231591935,0.0061991058777425894,0.006215333454204933,169.07329946887592,169.07329946887592,0.0,169.07329946887592
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,stream_decode,1,134217728,1,2112,256,0,134217728.0,134217728.0,0.0,134217728.0,15,0.38110549494905294,0.3811937392132837,0.00031525698858006756,0.08270256201759821,0.00021009625128981524,0.38086460041549974,0.38175654861162295,0.38080121886055424,0.3818457261571344,352.1799863262075,352.1799863262075,0.0,352.1799863262075
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,stream_decode,1,16777216,1,2112,256,0,16777216.0,16777216.0,0.0,16777216.0,15,0.045908506050825755,0.04589307408337086,7.071018990792389e-05,0.15407595006486044,5.542049459093812e-05,0.04580456066387269,0.045970772546354,0.04579122712081623,0.04597773820401516,365.4489645432108,365.4489645432108,0.0,365.4489645432108
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x1,8,stream_decode,1,65536,1,256,256,0,65536.0,65536.0,0.0,65536.0,15,0.002585078341224699,0.0025865748066386273,3.4385177238060503e-06,0.13293710721146945,1.9075576344158504e-06,0.0025830634403667665,0.0025918043890256464,0.0025828129728452274,0.0025929186183737997,25.351649485776072,25.351649485776072,0.0,25.351649485776072
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,dot,4,1048576,1,1024,256,0,2097152.0,2113544.0,0.0,2097152.0,15,0.010537382519698782,0.01053617005041816,2.7259039532639696e-06,0.02587186748334404,7.579420331273873e-07,0.0105314717617023,0.010538188651139039,0.010529137966562938,0.010538301093089009,199.02020222569925,200.57580675740877,0.0,199.02020222569925
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,dot,4,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.5914955139160156,0.5914127723843444,0.0002142798029090077,0.0362318524243424,0.00018725675695085986,0.591123390197754,0.5917326310101677,0.591098336612477,0.5918070849250344,453.82500743380814,453.88215072434,0.0,453.82500743380814
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,dot,4,16777216,1,2112,256,0,33554432.0,33588232.0,0.0,33554432.0,15,0.07984692320531728,0.07981266722387197,8.448405168013063e-05,0.10585293615505366,3.486944704640671e-05,0.07966376791194993,0.07988329673299985,0.07966001860949458,0.07988375449667172,420.2345018820399,420.6578118687389,0.0,420.2345018820399
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,dot,4,65536,1,64,256,0,131072.0,132104.0,0.0,131072.0,15,0.0055029078852723455,0.005506488861918767,6.482389118710006e-06,0.11772273187621017,4.148171618093693e-06,0.005498849159578699,0.005514986305541549,0.005498759713654252,0.005515596186153769,23.818679638594947,24.00621685010488,0.0,23.818679638594947
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,gemv,4,1024,1024,1024,256,0,2097152.0,1057792.0,0.0,2097152.0,15,0.007694413482404187,0.007695011566811833,2.7284655074713316e-06,0.03545758812422135,6.100242767479933e-07,0.007693361531449456,0.007698748473102871,0.007692720687764389,0.007704342968470716,272.5551472891117,137.4753257566662,0.0,272.5551472891117
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,gemv,4,16384,1024,1024,256,0,33554432.0,16801792.0,0.0,33554432.0,15,0.07819935583299206,0.07816605567932129,0.00010658460601909131,0.13635663855978358,5.8066460394093355e-05,0.07800451478650493,0.07828060503928892,0.07800180681290166,0.0783220644920103,429.08834276923153,214.85844507316742,0.0,429.08834276923153
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,gemv,4,4096,1024,1024,256,0,8388608.0,4206592.0,0.0,8388608.0,15,0.02186280718216529,0.02185259751784496,2.222385428511284e-05,0.101698913673602,4.7706640683709e-06,0.021803865753687344,0.021868904508077183,0.02179942222741934,0.02187200005237873,383.6930879966345,192.40859442018734,0.0,383.6930879966345
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,gemv,4,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.3112330138683319,0.3112367312113444,0.00013208908654460756,0.042440069984835065,0.00010749697685241699,0.31108244359493253,0.31141344308853147,0.31100648641586304,0.31145650148391724,431.24515080132613,215.85946543711395,0.0,431.24515080132613
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,register_decode,4,134217728,1,528,256,256,138412032.0,540672.0,0.0,138412032.0,15,0.29661930308622475,0.2964748532164331,0.0002250307487832295,0.07590213683956264,9.461010203642983e-05,0.296183339287253,0.29669793633853686,0.29615435880773205,0.29674305635340076,466.63191019555717,1.8227808992013952,0.0,466.63191019555717
