format,strategy,lanes,lookup_entry_bytes,shared_table_bytes,pipelined
e2m5,branchless_fp32_x1,1,0,0,0
e2m5,branchless_fp32_x2,2,0,0,0
e2m5,branchless_fp32_x4,4,0,0,0
e2m5,branchless_fp32_x8,8,0,0,0
e2m5,decomposed_bits_x4,4,8,0,0
e2m5,direct_fp64_bits_x4,4,0,0,0
e2m5,generic_fp64_x1,1,0,0,0
e2m5,generic_fp64_x2,2,0,0,0
e2m5,generic_fp64_x4,4,0,0,0
e2m5,generic_fp64_x8,8,0,0,0
e2m5,lut_fp32_global_pipelined_x4,4,4,0,1
e2m5,lut_fp32_global_x1,1,4,0,0
e2m5,lut_fp32_global_x2,2,4,0,0
e2m5,lut_fp32_global_x4,4,4,0,0
e2m5,lut_fp32_global_x8,8,4,0,0
e2m5,lut_fp32_shared_x4,4,4,1024,0
e2m5,lut_fp64_global_x1,1,8,0,0
e2m5,lut_fp64_global_x2,2,8,0,0
e2m5,lut_fp64_global_x4,4,8,0,0
e2m5,lut_fp64_global_x8,8,8,0,0
e2m5,lut_fp64_shared_x4,4,8,2048,0
e2m5,lut_prefix_global_pipelined_x4,4,4,0,1
e2m5,lut_prefix_global_x1,1,4,0,0
e2m5,lut_prefix_global_x2,2,4,0,0
e2m5,lut_prefix_global_x4,4,4,0,0
e2m5,lut_prefix_global_x8,8,4,0,0
e2m5,lut_prefix_shared_x4,4,4,1024,0
e3m4,branchless_fp32_x1,1,0,0,0
e3m4,branchless_fp32_x2,2,0,0,0
e3m4,branchless_fp32_x4,4,0,0,0
e3m4,branchless_fp32_x8,8,0,0,0
e3m4,decomposed_bits_x4,4,8,0,0
e3m4,direct_fp64_bits_x4,4,0,0,0
e3m4,generic_fp64_x1,1,0,0,0
e3m4,generic_fp64_x2,2,0,0,0
e3m4,generic_fp64_x4,4,0,0,0
e3m4,generic_fp64_x8,8,0,0,0
e3m4,lut_fp32_global_pipelined_x4,4,4,0,1
e3m4,lut_fp32_global_x1,1,4,0,0
e3m4,lut_fp32_global_x2,2,4,0,0
e3m4,lut_fp32_global_x4,4,4,0,0
e3m4,lut_fp32_global_x8,8,4,0,0
e3m4,lut_fp32_shared_x4,4,4,1024,0
e3m4,lut_fp64_global_x1,1,8,0,0
e3m4,lut_fp64_global_x2,2,8,0,0
e3m4,lut_fp64_global_x4,4,8,0,0
e3m4,lut_fp64_global_x8,8,8,0,0
e3m4,lut_fp64_shared_x4,4,8,2048,0
e3m4,lut_prefix_global_pipelined_x4,4,2,0,1
e3m4,lut_prefix_global_x1,1,2,0,0
e3m4,lut_prefix_global_x2,2,2,0,0
e3m4,lut_prefix_global_x4,4,2,0,0
e3m4,lut_prefix_global_x8,8,2,0,0
e3m4,lut_prefix_shared_x4,4,2,512,0
