gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample_count,median_time_ms,min_time_ms,max_time_ms,cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x1,dot,1,4194304,1,0,0,0,3,0.017988706336301917,0.017983372304953782,0.017999058844996432,0.044334482976793696
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x1,dot,1,65536,1,0,0,0,3,0.00482276502071611,0.004822657812361749,0.0048269529470661345,0.05077470577126078
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x1,gemv,1,1024,256,0,0,0,3,0.003880777018410819,0.003880411556788853,0.0038810515403747557,0.008273326367153304
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x1,gemv,1,4096,256,0,0,0,3,0.007245693657849286,0.0072432434236681135,0.007249729590372996,0.045199127031051826
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x2,dot,2,4194304,1,0,0,0,3,0.017198490646650206,0.01719728280913155,0.01721509447637594,0.057855469693984585
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x2,dot,2,65536,1,0,0,0,3,0.004770293297907429,0.004769771805803629,0.00477164809012646,0.020301381976951298
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x2,gemv,2,1024,256,0,0,0,3,0.0034036143177051835,0.0034015838264813882,0.003404426393170042,0.043022866036762
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x2,gemv,2,4096,256,0,0,0,3,0.005824832668091728,0.005824475926537496,0.005831970158119627,0.07255039291957469
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x4,dot,4,4194304,1,0,0,0,3,0.017203439061886795,0.017195065444874987,0.01721241095355738,0.0504223208315191
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x4,dot,4,65536,1,0,0,0,3,0.004811736951649808,0.004797896299395182,0.0048147266711330745,0.18675215563569586
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x4,gemv,4,1024,256,0,0,0,3,0.0032543349387076904,0.003252223360962069,0.0032566903811420884,0.06866421150989721
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x4,gemv,4,4096,256,0,0,0,3,0.005567420220029527,0.005565681319305862,0.005570203065872192,0.040965600358841725
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x8,dot,8,4194304,1,0,0,0,3,0.017159314382643925,0.017158704712277366,0.017164190610249836,0.01752127821790908
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x8,dot,8,65536,1,0,0,0,3,0.005137628003170616,0.005136392827619586,0.005140659683629086,0.04272984409379561
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x8,gemv,8,1024,256,0,0,0,3,0.0033392745596139543,0.0033340518956357333,0.0033413471335574135,0.11261259921718465
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x8,gemv,8,4096,256,0,0,0,3,0.00509699638203794,0.00509665487499848,0.005100868350670431,0.04590476255175769
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,decomposed_bits_x4,dot,4,4194304,1,8,0,0,3,0.021454682069666244,0.021446400530198043,0.021465222975786995,0.043969260184098524
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,decomposed_bits_x4,dot,4,65536,1,8,0,0,3,0.005021836409789387,0.005021608597018965,0.005023658487720422,0.02237052481608717
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,decomposed_bits_x4,gemv,4,1024,256,8,0,0,3,0.0036421421447086857,0.0036411803276812445,0.0036431912515984205,0.02761478243994675
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,decomposed_bits_x4,gemv,4,4096,256,8,0,0,3,0.006687589690216586,0.006684307868664081,0.0066921023222116325,0.058513599985251845
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_bits_x4,dot,4,4194304,1,0,0,0,3,0.02414919494034408,0.024134649858846294,0.02416457139052354,0.06195866575479584
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,3,0.005019860250966532,0.005017846197515101,0.005019860250966532,0.02316737476027008
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_bits_x4,gemv,4,1024,256,0,0,0,3,0.003657879725180037,0.003656743328428008,0.0036612895668530075,0.06466788639215539
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_bits_x4,gemv,4,4096,256,0,0,0,3,0.007247127186168324,0.007245381853797219,0.007247854362834583,0.017534847381420332
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x1,dot,1,4194304,1,0,0,0,3,0.027540234958424288,0.027530352858936086,0.02754070653634913,0.02123071338839042
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x1,dot,1,65536,1,0,0,0,3,0.005277184009552002,0.005276031970977783,0.0052846078872680665,0.08816595281027002
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x1,gemv,1,1024,256,0,0,0,3,0.005122277660301996,0.005118747198708965,0.0051230747928823015,0.04497185544536975
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x1,gemv,1,4096,256,0,0,0,3,0.012335314069475446,0.012333028657095773,0.012341257504054478,0.03443246768085331
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x2,dot,2,4194304,1,0,0,0,3,0.025619891849724023,0.02561470302375587,0.025626379090386467,0.022833642160238133
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x2,dot,2,65536,1,0,0,0,3,0.005363245451577617,0.005362903944538157,0.005364384515429731,0.014454367636602423
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x2,gemv,2,1024,256,0,0,0,3,0.0043037037054697675,0.004301333501015181,0.0043106171084039005,0.11203904516519689
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x2,gemv,2,4096,256,0,0,0,3,0.009404891559055873,0.00940434319632394,0.009409097262791224,0.02765175572920873
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x4,dot,4,4194304,1,0,0,0,3,0.025862919317709433,0.02585945902643977,0.0258715668240109,0.02411144955247484
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x4,dot,4,65536,1,0,0,0,3,0.0057152238354754095,0.005713671445846558,0.0057183281699223305,0.04148318831001778
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x4,gemv,4,1024,256,0,0,0,3,0.004057657611262691,0.004055927823613714,0.004060732709752905,0.059969598325493416
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x4,gemv,4,4096,256,0,0,0,3,0.008440960049629211,0.008436480164527893,0.008443040251731872,0.039719578571484435
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x8,dot,8,4194304,1,0,0,0,3,0.026450479534310355,0.02644552143526749,0.026452732757783273,0.013948198526947984
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x8,dot,8,65536,1,0,0,0,3,0.006677333106342544,0.006675008525196304,0.0066815726777427215,0.04984008172628094
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x8,gemv,8,1024,256,0,0,0,3,0.004627844342937717,0.0046257663082766845,0.004628155912671771,0.02807433051621363
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x8,gemv,8,4096,256,0,0,0,3,0.007993119955062866,0.00798687994480133,0.007993280291557311,0.04567381622574474
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,4194304,1,4,0,1,3,0.012685217719147171,0.0126754779746567,0.01269565198732459,0.07953205650807488
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,65536,1,4,0,1,3,0.0051994946965000085,0.005187929722300747,0.005201066586009243,0.13806317134311283
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_pipelined_x4,gemv,4,1024,256,4,0,1,3,0.003404927669915178,0.003404847998868795,0.0034054065880335478,0.008873266500243868
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_pipelined_x4,gemv,4,4096,256,4,0,1,3,0.0043700742132869765,0.004367407457328137,0.004370963131939924,0.04234899938174191
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,dot,1,4194304,1,4,0,0,3,0.013630290067832888,0.013622961881506534,0.014195297510569332,2.376510978179597
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,dot,1,65536,1,4,0,0,3,0.005222241083780925,0.0052195178701522505,0.0052224680887046435,0.03144184060959838
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,gemv,1,1024,256,4,0,0,3,0.0038937599318368096,0.003893211569104876,0.0038965943881443567,0.046619197696570344
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,gemv,1,4096,256,4,0,0,3,0.006760470506523838,0.006760336270853251,0.006764235115852677,0.03273249280237701
