distribution,component,n,m,format,strategy,lanes,median_time_ms,speedup_vs_fp64,cv_percent
normal_0_1,dot,4096,1,e2m5,branchless_fp32_x1,1,0.004566467641847016,0.9731623173568773,0.012120279845027147
normal_0_1,dot,4096,1,e3m4,branchless_fp32_x1,1,0.004566202695305283,0.9732187835296983,0.010533890264303897
normal_0_1,dot,65536,1,e2m5,branchless_fp32_x2,2,0.004810279090531248,0.9842364943128,0.011176227542150727
normal_0_1,dot,65536,1,e3m4,branchless_fp32_x2,2,0.004810254723592606,0.9842414800841665,0.006467502489455788
normal_0_1,dot,1048576,1,e2m5,lut_fp32_global_x8,8,0.006414208003452846,1.4877261051810224,0.21125062133485792
normal_0_1,dot,1048576,1,e3m4,lut_prefix_global_x8,8,0.0061663253801171655,1.5475318123119424,0.043111803667530896
normal_0_1,dot,16777216,1,e2m5,lut_prefix_global_x8,8,0.02411993114464937,3.0228125952915676,0.15449263772835187
normal_0_1,dot,16777216,1,e3m4,lut_prefix_shared_x4,4,0.021130202902976312,3.4505126144028493,0.1310236348321083
normal_0_1,dot,134217728,1,e2m5,lut_prefix_global_x8,8,0.13011677223339416,3.868336627800632,0.17885851202090622
normal_0_1,dot,134217728,1,e3m4,lut_prefix_global_x8,8,0.11309997180036006,4.450358986915578,0.25207062282196263
uniform_0_1,dot,4096,1,e2m5,branchless_fp32_x1,1,0.004566412869171537,0.9731200500193492,0.009399472241480593
uniform_0_1,dot,4096,1,e3m4,branchless_fp32_x1,1,0.004566734830189254,0.973051443732075,0.007996849861467556
uniform_0_1,dot,65536,1,e2m5,branchless_fp32_x2,2,0.00480950444360609,0.9842987982574917,0.023604742593881914
uniform_0_1,dot,65536,1,e3m4,branchless_fp32_x2,2,0.004809537145004377,0.9842921057326054,0.013911217979260402
uniform_0_1,dot,1048576,1,e2m5,lut_fp32_global_x8,8,0.006161401247478569,1.549420198729693,0.048077189488708295
uniform_0_1,dot,1048576,1,e3m4,lut_prefix_global_x8,8,0.006160150625613541,1.5497347590215453,0.05977867596056676
uniform_0_1,dot,16777216,1,e2m5,lut_prefix_shared_x4,4,0.019988464754681256,3.647133163319813,0.18182630861869395
uniform_0_1,dot,16777216,1,e3m4,lut_prefix_shared_x4,4,0.019618002434831867,3.716004875257424,0.1958427939508818
uniform_0_1,dot,134217728,1,e2m5,lut_prefix_shared_x4,4,0.10236933496263292,4.916722532569178,0.1114938128239298
uniform_0_1,dot,134217728,1,e3m4,lut_prefix_shared_x4,4,0.10271053582849637,4.900389349495105,0.20912529693267495
normal_0_1,gemv,256,1024,e2m5,lut_fp32_shared_x4,4,0.003680928693831809,0.9371034955541541,0.012662005094092977
normal_0_1,gemv,256,1024,e3m4,lut_prefix_shared_x4,4,0.003680333759793904,0.9372549803930117,0.008224072141205387
normal_0_1,gemv,1024,1024,e2m5,lut_fp32_shared_x4,4,0.004411384812166858,0.9914415019822822,0.020551105021343746
normal_0_1,gemv,1024,1024,e3m4,lut_prefix_global_x4,4,0.004173617196360761,1.0479231271641731,0.038164414539337256
normal_0_1,gemv,4096,1024,e2m5,lut_prefix_shared_x4,4,0.007324666687936494,1.0663019503546074,0.1751976659564593
normal_0_1,gemv,4096,1024,e3m4,lut_prefix_global_x8,8,0.006606416300901945,1.1822304286179783,0.1309985051124088
normal_0_1,gemv,16384,1024,e2m5,lut_prefix_global_x8,8,0.01868876233843232,2.336008892452228,0.15389769186678484
normal_0_1,gemv,16384,1024,e3m4,lut_prefix_shared_x4,4,0.0159567866715465,2.735959056803825,0.1825708719917847
normal_0_1,gemv,65536,1024,e2m5,lut_fp32_global_x8,8,0.06986276920025165,2.151165773334656,0.22514905682384256
normal_0_1,gemv,65536,1024,e3m4,lut_prefix_shared_x4,4,0.05915140615078648,2.540707105945304,0.09521962335328167
uniform_0_1,gemv,256,1024,e2m5,lut_fp32_global_x2,2,0.003608014121184841,0.9560563736613594,0.6764326588501755
uniform_0_1,gemv,256,1024,e3m4,lut_prefix_global_x2,2,0.0035770782752953282,0.9643246894098686,0.4970178026838436
uniform_0_1,gemv,1024,1024,e2m5,lut_fp32_global_x4,4,0.004052074777574747,1.079203942477102,0.22067478741911253
uniform_0_1,gemv,1024,1024,e3m4,lut_prefix_global_x4,4,0.004082521379402404,1.0711554622185009,0.2820221983123065
uniform_0_1,gemv,4096,1024,e2m5,lut_prefix_shared_x4,4,0.00631690079027468,1.236422909720381,0.14220065156837644
uniform_0_1,gemv,4096,1024,e3m4,lut_prefix_shared_x4,4,0.00620471491302473,1.2587783588785275,0.43002740814376905
uniform_0_1,gemv,16384,1024,e2m5,lut_prefix_shared_x4,4,0.01449164791383605,3.0101605529192823,0.23430661291127164
uniform_0_1,gemv,16384,1024,e3m4,lut_prefix_shared_x4,4,0.014467732957643399,3.01513630537246,0.22451292125954928
uniform_0_1,gemv,65536,1024,e2m5,lut_prefix_shared_x4,4,0.05323355001360712,2.8228994802043124,0.16865280279646147
uniform_0_1,gemv,65536,1024,e3m4,lut_prefix_shared_x4,4,0.05323506416158473,2.8228191893733294,0.218796593241811
