gpu,compute_capability,distribution,format,storage_bits,strategy,decode_kind,table_location,lanes,lookup_entry_bytes,shared_table_bytes,pipelined,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,branchless_fp32_x4,branchless_fp32,none,4,0,0,0,dot,4096,1,4,256,10,0,0,0,2171,10.435647964477539,0.00480683922822549,8264,8264,8192,1.7192170587845452,1.7192170587845452,1.704238400963576
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,branchless_fp32_x4,branchless_fp32,none,4,0,0,0,dot,4096,1,4,256,10,0,0,1,2191,10.533439636230469,0.0048075945395848786,8264,8264,8192,1.7189469561036592,1.7189469561036592,1.7039706515490289
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,generic_fp64_x8,generic_fp64,none,8,0,0,0,dot,4096,1,2,256,10,0,0,2,1790,11.211135864257812,0.0062632043934401187,8232,8232,8192,1.3143431832788237,1.3143431832788237,1.3079566760714436
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_prefix_global_x1,lut_prefix,global,1,4,0,0,dot,4096,1,16,256,10,0,0,3,2212,10.372991561889648,0.0046894175234582494,8456,8456,8192,1.803209024937505,1.803209024937505,1.7469120544333068
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,generic_fp64_x4,generic_fp64,none,4,0,0,0,dot,4096,1,4,256,10,0,0,4,2004,11.329536437988281,0.0056534612964013378,8264,8264,8192,1.4617593659410701,1.4617593659410701,1.4490238051535873
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_prefix_global_x2,lut_prefix,global,2,4,0,0,dot,4096,1,8,256,10,0,0,5,2233,10.633152008056641,0.0047618235593625798,8328,8328,8192,1.7489098233439777,1.7489098233439777,1.7203493363153057
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_fp32_global_pipelined_x4,lut_fp32,global,4,4,0,1,dot,4096,1,4,256,10,0,0,6,2310,11.110143661499023,0.0048095860006489282,8264,8264,8192,1.7182352075386504,1.7182352075386504,1.7032651040847804
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,lut_fp64_global_x4,lut_fp64,global,4,8,0,0,dot,4096,1,4,256,10,0,0,7,2191,10.535903930664062,0.0048087192746070571,8264,8264,8192,1.7185449031385369,1.7185449031385369,1.7035721014655001
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,lut_prefix_global_x4,lut_prefix,global,4,2,0,0,dot,4096,1,4,256,10,0,0,8,2333,11.218720436096191,0.0048087100026130269,8264,8264,8192,1.7185482167794246,1.7185482167794246,1.7035753862363316
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_fp64_global_x8,lut_fp64,global,8,8,0,0,dot,4096,1,2,256,10,0,0,9,2093,10.569888114929199,0.0050501137672858097,8232,8232,8192,1.6300622875718498,1.6300622875718498,1.6221416739296155
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,branchless_fp32_x2,branchless_fp32,none,2,0,0,0,dot,4096,1,8,256,10,0,0,10,2141,9.7808961868286133,0.0045683774810035558,8328,8328,8192,1.8229666954252104,1.8229666954252104,1.7931968262395923
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,lut_fp64_global_x1,lut_fp64,global,1,8,0,0,dot,4096,1,16,256,10,0,0,11,2254,10.59398365020752,0.0047000814774656252,8456,8456,8192,1.799117747328848,1.799117747328848,1.742948508292091
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_fp64_global_x2,lut_fp64,global,2,8,0,0,dot,4096,1,8,256,10,0,0,12,2212,10.635744094848633,0.0048082025745246988,8328,8328,8192,1.732040169048668,1.732040169048668,1.703755171091101
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,direct_fp64_bits_x4,direct_fp64_bits,none,4,0,0,0,dot,4096,1,4,256,10,0,0,13,2171,10.962016105651855,0.0050492934618387173,8264,8264,8192,1.6366646269338911,1.6366646269338911,1.6224052061764804
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_prefix_shared_x4,lut_prefix,shared,4,4,1024,0,dot,4096,1,4,256,10,0,0,14,2233,10.73475170135498,0.0048073227502709271,8264,8264,8192,1.7190441393880334,1.7190441393880334,1.7040669881252142
