gpu,compute_capability,distribution,format,storage_bits,strategy,decode_kind,table_location,lanes,lookup_entry_bytes,shared_table_bytes,pipelined,component,n,m,blocks,threads,warmup,main_array_unique_bytes,main_array_requested_bytes,useful_flops,sample_count,median_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,cv_percent,median_main_array_unique_gb_per_s,median_main_array_requested_gb_per_s,median_useful_gflop_per_s,speedup_vs_fp64,rank_within_format
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x1,branchless_fp32,none,1,0,0,0,dot,4096,1,16,256,10,8456,8456,8192,15,0.004566467641847016,0.004565587199617133,0.004567257806590928,0.004565540798251965,0.004567341218568789,0.012120279845027147,1.851759535644004,1.851759535644004,1.7939467970666605,0.9731623173568773,1
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x2,branchless_fp32,none,2,0,0,0,dot,4096,1,8,256,10,8328,8328,8192,15,0.004568370709619248,0.004567826967892005,0.0045689317985349405,0.004567777452616239,0.004569020808137805,0.007854101410334054,1.822969397484404,1.822969397484404,1.793199484172939,0.9727569225321068,2
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x4,branchless_fp32,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.004807635201445816,0.004807166359162122,0.004808475541826878,0.004807104552632266,0.004808475541826878,0.009669131223551255,1.7189324176498957,1.7189324176498957,1.7039562397613681,0.9243451398181384,7
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x8,branchless_fp32,none,8,0,0,0,dot,4096,1,2,256,10,8232,8232,8192,15,0.00505157204055242,0.005051072846692458,0.005052404272176514,0.005050902699948037,0.00505292614017619,0.009785482848446506,1.6295917258857464,1.6295917258857464,1.6216733987434444,0.8797091671267283,22
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,decomposed_bits_x4,decomposed_bits,none,4,8,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.0050136119277583305,0.005007615760617822,0.005024298021193219,0.00500731793962887,0.005030265153957473,0.12815291916878896,1.648312657436766,1.648312657436766,1.6339517533545482,0.8863698061413351,17
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_bits_x4,direct_fp64_bits,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.005043060490579316,0.005034169645020456,0.005045936414689728,0.005033894018693404,0.005046742432045214,0.07520429281240675,1.6386874627892243,1.6386874627892243,1.624410418098902,0.8811939180139692,18
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,generic_fp64_x1,generic_fp64,none,1,0,0,0,dot,4096,1,16,256,10,8456,8456,8192,15,0.004810979232185112,0.0048100417406267484,0.004811593600618513,0.0048099377719483674,0.004811708121341863,0.011474316488351925,1.757646331838216,1.757646331838216,1.7027718484411858,0.923702643059767,13
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,generic_fp64_x2,generic_fp64,none,2,0,0,0,dot,4096,1,8,256,10,8328,8328,8192,15,0.005064182201688758,0.00506226461136524,0.005066562618892285,0.00506098377931844,0.005067499888769032,0.031457208829659467,1.6444905945964687,1.6444905945964687,1.6176353207173717,0.8775186309436339,24
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,generic_fp64_x4,generic_fp64,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.005536205871219626,0.005535610638768999,0.005536927804092793,0.005535366864324737,0.005537060922115879,0.008352580947414007,1.492719055655248,1.492719055655248,1.4797137589457638,0.8027003214560811,26
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,generic_fp64_x8,generic_fp64,none,8,0,0,0,dot,4096,1,2,256,10,8232,8232,8192,15,0.006506372715506277,0.006506011271298923,0.006506892339429565,0.006505895604775407,0.006507033667069226,0.004626889899297351,1.2652210932185195,1.2652210932185195,1.2590732744953974,0.6830094780589655,27
