gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample,iterations,total_time_ms,time_ms
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,dot,1,65536,1,0,0,0,0,129,0.6499519944190979,0.005038387553636418
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,dot,1,65536,1,0,0,0,1,129,0.64953601360321045,0.0050351628961489182
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x1,dot,1,65536,1,0,0,0,0,151,0.71792000532150269,0.0047544371213344549
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x1,dot,1,65536,1,0,0,0,1,151,0.71558398008346558,0.0047389667555196397
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x1,dot,1,65536,1,4,0,0,0,144,0.70870399475097656,0.0049215555191040039
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x1,dot,1,65536,1,4,0,0,1,144,0.71001601219177246,0.0049306667513317531
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x1,dot,1,65536,1,8,0,0,0,145,0.70419198274612427,0.0048564964327318912
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x1,dot,1,65536,1,8,0,0,1,145,0.70687997341156006,0.0048750342993900695
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x1,dot,1,65536,1,4,0,0,0,151,0.74368000030517578,0.0049250331146038131
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x1,dot,1,65536,1,4,0,0,1,151,0.74342399835586548,0.0049233377374560631
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x2,dot,2,65536,1,0,0,0,0,141,0.73228800296783447,0.0051935319359420881
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x2,dot,2,65536,1,0,0,0,1,141,0.73254400491714478,0.005195347552603864
