gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample_count,median_time_ms,min_time_ms,max_time_ms,cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x1,dot,1,65536,1,0,0,0,2,0.0047450201623391785,0.004743087211711294,0.004746953112967063,0.05760997635052879
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x1,gemv,1,1024,256,0,0,0,2,0.003734237225042225,0.0037304405438697945,0.003738033906214655,0.14378620538754613
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x2,dot,2,65536,1,0,0,0,2,0.0046658947279578766,0.004662105127384788,0.004669684328530964,0.11486123967446228
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x2,gemv,2,1024,256,0,0,0,2,0.0032540105638049896,0.00325350250516619,0.0032545186224437897,0.022080549628933792
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x4,dot,4,65536,1,0,0,0,2,0.004820344463878909,0.004818437115246097,0.004822251812511722,0.055958621316590185
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x4,gemv,4,1024,256,0,0,0,2,0.0031602051013555283,0.003157169085282546,0.0031632411174285107,0.1358638116289609
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x8,dot,8,65536,1,0,0,0,2,0.005173075815726971,0.005167668852312812,0.00517848277914113,0.14781536679420146
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,branchless_fp32_x8,gemv,8,1024,256,0,0,0,2,0.0031660507778225816,0.003165238702357723,0.00316686285328744,0.036273838187244764
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,decomposed_bits_x4,dot,4,65536,1,8,0,0,2,0.005018993299834582,0.005017469529391957,0.005020517070277207,0.04293563862647464
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,decomposed_bits_x4,gemv,4,1024,256,8,0,0,2,0.0034625574213559512,0.003460196849426937,0.0034649179932849656,0.09641292347614293
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,2,0.005018340081584697,0.005016816311142072,0.005019863852027322,0.04294122739532357
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_bits_x4,gemv,4,1024,256,0,0,0,2,0.0036372443040211993,0.0036366220977571274,0.0036378665102852715,0.024192285799206965
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_words_branchy_x4,dot,4,65536,1,0,0,0,2,0.005473738995151243,0.005472695481949958,0.0054747825083525286,0.026960556999161684
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_words_branchy_x4,gemv,4,1024,256,0,0,0,2,0.003633934062915844,0.003633934062915844,0.003633934062915844,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,direct_fp64_words_branchy_x8,dot,8,65536,1,0,0,0,2,0.0061884724249051315,0.00618507073620173,0.006191874113608533,0.07773670090152784
