distribution,component,n,m,format,strategy,lanes,median_time_ms,speedup_vs_fp64,cv_percent
normal_0_1,dot,4096,1,e2m5,branchless_fp32_x1,1,0.004227270145674009,0.9853165683606684,0.046386033996297746
normal_0_1,dot,4096,1,e3m4,branchless_fp32_x1,1,0.004224645390230067,0.9859287416410086,0.053880262000559995
normal_0_1,dot,65536,1,e2m5,branchless_fp32_x2,2,0.0044955290757216415,0.9828608708253507,0.0650338900060871
normal_0_1,dot,65536,1,e3m4,branchless_fp32_x1,1,0.004526586996897805,0.9761172435684021,0.10692200917800342
normal_0_1,dot,1048576,1,e2m5,lut_prefix_shared_x8,8,0.0062735850954029546,1.4842759301829147,0.06340716270060048
normal_0_1,dot,1048576,1,e3m4,lut_prefix_global_x8,8,0.0060578475952148434,1.537135295449876,0.3000091229841631
normal_0_1,dot,16777216,1,e2m5,lut_prefix_shared_x4,4,0.024340007910719986,3.000898849252434,0.1734783542713248
normal_0_1,dot,16777216,1,e3m4,lut_prefix_shared_x4,4,0.02146631119743226,3.402629406528487,0.15150902614368952
normal_0_1,dot,134217728,1,e2m5,lut_prefix_shared_x4,4,0.13779140401769568,3.654180570371577,0.14771317089333946
normal_0_1,dot,134217728,1,e3m4,lut_prefix_shared_x4,4,0.11393725126981735,4.419227826843911,0.183931474002428
uniform_0_1,dot,4096,1,e2m5,branchless_fp32_x1,1,0.00425203061135852,0.9785623740751881,0.009167834460567226
uniform_0_1,dot,4096,1,e3m4,branchless_fp32_x1,1,0.004251978728389907,0.9785743145678816,0.012515151549249788
uniform_0_1,dot,65536,1,e2m5,lut_high_word_global_x4,4,0.0045412841001393105,0.9794807061162045,0.046262480864852504
uniform_0_1,dot,65536,1,e3m4,branchless_fp32_x2,2,0.0045516523488257415,0.9772495384508634,0.07646282887843181
uniform_0_1,dot,1048576,1,e2m5,lut_high_word_shared_x8,8,0.005838400721234786,1.5942065618358754,0.29304538879829595
uniform_0_1,dot,1048576,1,e3m4,lut_prefix_shared_x8,8,0.005837678662235873,1.5944037482965736,0.22642275985127366
uniform_0_1,dot,16777216,1,e2m5,lut_prefix_shared_x8,8,0.018350082266786197,3.9580622765427993,0.1659536184269469
uniform_0_1,dot,16777216,1,e3m4,lut_prefix_shared_x8,8,0.018266458959387454,3.9761821682629517,0.3213223873365599
uniform_0_1,dot,134217728,1,e2m5,lut_prefix_shared_x8,8,0.0905631618735231,5.554411358054673,0.1620174588019444
uniform_0_1,dot,134217728,1,e3m4,lut_prefix_shared_x8,8,0.09023960725760755,5.57432673100684,0.12962102377362464
normal_0_1,gemv,256,1024,e2m5,lut_high_word_shared_x4,4,0.0035638210971129787,0.9518747724748584,0.016126442945385715
normal_0_1,gemv,256,1024,e3m4,lut_prefix_global_x2,2,0.0035138890462210427,0.9654008283510618,0.11751827046360834
normal_0_1,gemv,1024,1024,e2m5,lut_high_word_shared_x4,4,0.004127156875569568,1.025811420301116,0.026675130606572547
normal_0_1,gemv,1024,1024,e3m4,lut_prefix_global_x4,4,0.00400671812146314,1.056646494210457,0.20226623643190936
normal_0_1,gemv,4096,1024,e2m5,lut_high_word_shared_x4,4,0.006998384305283956,1.1024215056334896,0.32000824297085456
normal_0_1,gemv,4096,1024,e3m4,lut_prefix_shared_x4,4,0.006447917233271096,1.1965366619507516,0.23061517647814672
normal_0_1,gemv,16384,1024,e2m5,lut_high_word_shared_x4,4,0.01838099956512451,2.365740397791317,0.20356559703076654
normal_0_1,gemv,16384,1024,e3m4,lut_prefix_shared_x4,4,0.015859840862426023,2.7418101858777413,0.1456770191828874
normal_0_1,gemv,65536,1024,e2m5,lut_high_word_shared_x8,8,0.06956435831802152,2.1581608037037223,0.13172943720340485
normal_0_1,gemv,65536,1024,e3m4,lut_prefix_shared_x4,4,0.05899939096596346,2.5446206985995015,0.1739717317052884
uniform_0_1,gemv,256,1024,e2m5,lut_fp32_global_x2,2,0.0034330512473737212,0.988576780107605,0.286315023705307
uniform_0_1,gemv,256,1024,e3m4,lut_prefix_global_x2,2,0.0034275989489990777,0.9901493140159155,0.07909545139071417
uniform_0_1,gemv,1024,1024,e2m5,lut_high_word_shared_x4,4,0.003910390235577525,1.083775007461638,0.2687536994165465
uniform_0_1,gemv,1024,1024,e3m4,lut_high_word_shared_x4,4,0.003941752693869851,1.0751519782891985,0.02806470146143773
uniform_0_1,gemv,4096,1024,e2m5,lut_prefix_shared_x8,8,0.0057888326306028415,1.3337702339141664,0.1629370782163785
uniform_0_1,gemv,4096,1024,e3m4,lut_prefix_shared_x8,8,0.005739634508986536,1.345202841700181,0.33518581215217125
uniform_0_1,gemv,16384,1024,e2m5,lut_prefix_shared_x8,8,0.012935017675940899,3.3617514946343254,0.20642924563428058
uniform_0_1,gemv,16384,1024,e3m4,lut_prefix_shared_x8,8,0.012938948694219445,3.360730151487703,0.12929000389689652
uniform_0_1,gemv,65536,1024,e2m5,lut_prefix_shared_x8,8,0.047987200419108075,3.128215064823645,0.09844747940616994
uniform_0_1,gemv,65536,1024,e3m4,lut_prefix_shared_x8,8,0.048029120763142905,3.12548472436251,0.10925818002552101
