format,storage_bits,strategy,decode_kind,table_location,lanes,lookup_entry_bytes,shared_table_bytes,pipelined
e2m5,8,branchless_fp32_x1,branchless_fp32,none,1,0,0,0
e2m5,8,branchless_fp32_x2,branchless_fp32,none,2,0,0,0
e2m5,8,branchless_fp32_x4,branchless_fp32,none,4,0,0,0
e2m5,8,branchless_fp32_x8,branchless_fp32,none,8,0,0,0
e2m5,8,decomposed_bits_x4,decomposed_bits,none,4,8,0,0
e2m5,8,direct_fp64_bits_x4,direct_fp64_bits,none,4,0,0,0
e2m5,8,direct_fp64_words_branchy_x4,direct_fp64_words_branchy,none,4,0,0,0
e2m5,8,direct_fp64_words_branchy_x8,direct_fp64_words_branchy,none,8,0,0,0
e2m5,8,direct_fp64_words_masked_x4,direct_fp64_words_masked,none,4,0,0,0
e2m5,8,direct_fp64_words_masked_x8,direct_fp64_words_masked,none,8,0,0,0
e2m5,8,generic_fp64_x1,generic_fp64,none,1,0,0,0
e2m5,8,generic_fp64_x2,generic_fp64,none,2,0,0,0
e2m5,8,generic_fp64_x4,generic_fp64,none,4,0,0,0
e2m5,8,generic_fp64_x8,generic_fp64,none,8,0,0,0
e2m5,8,lut_fp32_global_pipelined_x4,lut_fp32,global,4,4,0,1
e2m5,8,lut_fp32_global_x1,lut_fp32,global,1,4,0,0
e2m5,8,lut_fp32_global_x2,lut_fp32,global,2,4,0,0
e2m5,8,lut_fp32_global_x4,lut_fp32,global,4,4,0,0
e2m5,8,lut_fp32_global_x8,lut_fp32,global,8,4,0,0
e2m5,8,lut_fp32_shared_x4,lut_fp32,shared,4,4,1024,0
e2m5,8,lut_fp64_global_x1,lut_fp64,global,1,8,0,0
e2m5,8,lut_fp64_global_x2,lut_fp64,global,2,8,0,0
e2m5,8,lut_fp64_global_x4,lut_fp64,global,4,8,0,0
e2m5,8,lut_fp64_global_x8,lut_fp64,global,8,8,0,0
e2m5,8,lut_fp64_shared_x4,lut_fp64,shared,4,8,2048,0
e2m5,8,lut_high_word_global_x4,lut_high_word,global,4,4,0,0
e2m5,8,lut_high_word_global_x8,lut_high_word,global,8,4,0,0
e2m5,8,lut_high_word_shared_x4,lut_high_word,shared,4,4,1024,0
e2m5,8,lut_high_word_shared_x8,lut_high_word,shared,8,4,1024,0
e2m5,8,lut_high_word_swizzled_shared_x4,lut_high_word_swizzled,shared,4,4,4112,0
e2m5,8,lut_high_word_swizzled_shared_x8,lut_high_word_swizzled,shared,8,4,4112,0
e2m5,8,lut_prefix_global_pipelined_x4,lut_prefix,global,4,4,0,1
e2m5,8,lut_prefix_global_x1,lut_prefix,global,1,4,0,0
e2m5,8,lut_prefix_global_x2,lut_prefix,global,2,4,0,0
e2m5,8,lut_prefix_global_x4,lut_prefix,global,4,4,0,0
e2m5,8,lut_prefix_global_x8,lut_prefix,global,8,4,0,0
e2m5,8,lut_prefix_shared_x4,lut_prefix,shared,4,4,1024,0
e2m5,8,lut_prefix_shared_x8,lut_prefix,shared,8,4,1024,0
e2m5,8,lut_subnormal_global_x4,lut_subnormal,global,4,4,0,0
e2m5,8,lut_subnormal_global_x8,lut_subnormal,global,8,4,0,0
e2m5,8,lut_subnormal_shared_x4,lut_subnormal,shared,4,4,128,0
e2m5,8,lut_subnormal_shared_x8,lut_subnormal,shared,8,4,128,0
e3m4,8,branchless_fp32_x1,branchless_fp32,none,1,0,0,0
e3m4,8,branchless_fp32_x2,branchless_fp32,none,2,0,0,0
e3m4,8,branchless_fp32_x4,branchless_fp32,none,4,0,0,0
e3m4,8,branchless_fp32_x8,branchless_fp32,none,8,0,0,0
e3m4,8,decomposed_bits_x4,decomposed_bits,none,4,8,0,0
e3m4,8,direct_fp64_bits_x4,direct_fp64_bits,none,4,0,0,0
e3m4,8,direct_fp64_words_branchy_x4,direct_fp64_words_branchy,none,4,0,0,0
e3m4,8,direct_fp64_words_branchy_x8,direct_fp64_words_branchy,none,8,0,0,0
e3m4,8,direct_fp64_words_masked_x4,direct_fp64_words_masked,none,4,0,0,0
e3m4,8,direct_fp64_words_masked_x8,direct_fp64_words_masked,none,8,0,0,0
e3m4,8,generic_fp64_x1,generic_fp64,none,1,0,0,0
e3m4,8,generic_fp64_x2,generic_fp64,none,2,0,0,0
e3m4,8,generic_fp64_x4,generic_fp64,none,4,0,0,0
e3m4,8,generic_fp64_x8,generic_fp64,none,8,0,0,0
e3m4,8,lut_fp32_global_pipelined_x4,lut_fp32,global,4,4,0,1
e3m4,8,lut_fp32_global_x1,lut_fp32,global,1,4,0,0
e3m4,8,lut_fp32_global_x2,lut_fp32,global,2,4,0,0
e3m4,8,lut_fp32_global_x4,lut_fp32,global,4,4,0,0
e3m4,8,lut_fp32_global_x8,lut_fp32,global,8,4,0,0
e3m4,8,lut_fp32_shared_x4,lut_fp32,shared,4,4,1024,0
e3m4,8,lut_fp64_global_x1,lut_fp64,global,1,8,0,0
e3m4,8,lut_fp64_global_x2,lut_fp64,global,2,8,0,0
e3m4,8,lut_fp64_global_x4,lut_fp64,global,4,8,0,0
