gpu,compute_capability,distribution,format,storage_bits,strategy,decode_kind,table_location,lanes,lookup_entry_bytes,shared_table_bytes,pipelined,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_subnormal_shared_x8,lut_subnormal,shared,8,4,128,0,dot,4096,1,2,256,10,0,0,0,1756,9.9157438278198242,0.0056467789452276903,8232,8232,8192,1.4578222522695314,1.4578222522695314,1.4507385678561711
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,generic_fp64_x8,generic_fp64,none,8,0,0,0,dot,4096,1,2,256,10,0,0,1,1839,11.740863800048828,0.0063843740076393847,8232,8232,8192,1.2893981446183747,1.2893981446183747,1.2831328475113855
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,generic_fp64_x8,generic_fp64,none,8,0,0,0,dot,4096,1,2,256,10,0,0,2,1756,10.562175750732422,0.0060149064639706271,8232,8232,8192,1.3685998359758034,1.3685998359758034,1.3619496910002165
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_prefix_global_x1,lut_prefix,global,1,4,0,0,dot,4096,1,16,256,10,0,0,3,2276,9.9945278167724609,0.004391268812290185,8456,8456,8192,1.9256393451326725,1.9256393451326725,1.8655200467510469
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,lut_fp64_global_x8,lut_fp64,global,8,8,0,0,dot,4096,1,2,256,10,0,0,4,1218,5.7995200157165527,0.0047615106861383849,8232,8232,8192,1.7288630736385482,1.7288630736385482,1.7204623784313635
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,direct_fp64_words_branchy_x4,direct_fp64_words_branchy,none,4,0,0,0,dot,4096,1,4,256,10,0,0,5,2021,10.461695671081543,0.0051764946418018523,8264,8264,8192,1.5964471272249667,1.5964471272249667,1.5825381009471113
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_prefix_shared_x8,lut_prefix,shared,8,4,1024,0,dot,4096,1,2,256,10,0,0,6,2356,10.656288146972656,0.0045230425072040137,8232,8232,8192,1.8200138483970902,1.8200138483970902,1.8111702436915649
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_high_word_shared_x8,lut_high_word,shared,8,4,1024,0,dot,4096,1,2,256,10,0,0,7,2380,10.744000434875488,0.004514285897006508,8232,8232,8192,1.823544229987464,1.823544229987464,1.8146834708524422
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_high_word_swizzled_shared_x8,lut_high_word_swizzled,shared,8,4,4112,0,dot,4096,1,2,256,10,0,0,8,2368,10.792448043823242,0.0045576216401280586,8232,8232,8192,1.8062052206178087,1.8062052206178087,1.7974287132289952
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_fp64_global_x8,lut_fp64,global,8,8,0,0,dot,4096,1,2,256,10,0,0,9,2171,10.243743896484375,0.004718444908560283,8232,8232,8192,1.7446426014353511,1.7446426014353511,1.7361652321378034
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,direct_fp64_words_masked_x4,direct_fp64_words_masked,none,4,0,0,0,dot,4096,1,4,256,10,0,0,10,2181,10.274399757385254,0.0047108664637254714,8264,8264,8192,1.7542420409566486,1.7542420409566486,1.7389582284023311
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,lut_subnormal_shared_x8,lut_subnormal,shared,8,4,64,0,dot,4096,1,2,256,10,0,0,11,1875,11.075167655944824,0.0059067560831705728,8232,8232,8192,1.3936583607124851,1.3936583607124851,1.3868864541978472
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,lut_prefix_shared_x8,lut_prefix,shared,8,2,512,0,dot,4096,1,2,256,10,0,0,12,2321,10.483872413635254,0.0045169635560686145,8232,8232,8192,1.8224632317301239,1.8224632317301239,1.8136077252591321
