gpu,compute_capability,distribution,format,storage_bits,strategy,decode_kind,table_location,lanes,lookup_entry_bytes,shared_table_bytes,pipelined,component,n,m,blocks,threads,warmup,main_array_unique_bytes,main_array_requested_bytes,useful_flops,sample_count,median_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,cv_percent,median_main_array_unique_gb_per_s,median_main_array_requested_gb_per_s,median_useful_gflop_per_s,speedup_vs_fp64,rank_within_format
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x1,branchless_fp32,none,1,0,0,0,dot,4096,1,16,256,10,8456,8456,8192,15,0.004227270145674009,0.004224204211621671,0.004230206721537823,0.004223229917320046,0.004230689358066868,0.046386033996297746,2.000345307633929,2.000345307633929,1.9378936565914315,0.9853165683606684,1
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x2,branchless_fp32,none,2,0,0,0,dot,4096,1,8,256,10,8328,8328,8192,15,0.004313096849277275,0.0043107023976599185,0.004316646772025968,0.00430872402626936,0.0043166957546830805,0.051311710540243284,1.9308632036388154,1.9308632036388154,1.8993313357599877,0.9657096650094839,2
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x4,branchless_fp32,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.004446488777831177,0.004442716572656869,0.00445183790246107,0.0044426970154529165,0.004452827146702788,0.07004458352120115,1.8585451156880812,1.8585451156880812,1.8423525638573042,0.9367389690120029,8
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x8,branchless_fp32,none,8,0,0,0,dot,4096,1,2,256,10,8232,8232,8192,15,0.0048069098174228775,0.004806363147874711,0.004809504735950316,0.004806234374384963,0.00481229963320917,0.03082540392173655,1.7125347286863415,1.7125347286863415,1.704213374319547,0.8665024873926386,31
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,decomposed_bits_x4,decomposed_bits,none,4,8,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.004710890098689372,0.00470914021099577,0.0047127556210642164,0.004709066937093365,0.004713131968299121,0.02942145925430795,1.7542332397648475,1.7542332397648475,1.7389495038908072,0.8841639745804785,24
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_bits_x4,direct_fp64_bits,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.004735913607153562,0.0047266592751957085,0.004746667250762856,0.004726235658386395,0.004749479645764259,0.1547947222390865,1.7449642636042366,1.7449642636042366,1.7297612835728347,0.8794922498538645,26
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_words_branchy_x4,direct_fp64_words_branchy,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.005112665744783268,0.005102476503947678,0.005121654224972124,0.00509984190660208,0.005124403343041073,0.12396025501105298,1.6163779156562719,1.6163779156562719,1.6022952426253847,0.8146825005563875,34
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_words_branchy_x8,direct_fp64_words_branchy,none,8,0,0,0,dot,4096,1,2,256,10,8232,8232,8192,15,0.005913418712796094,0.005910591413692062,0.0059158730982233065,0.005908734400650137,0.005916272730792307,0.030897009968394402,1.3920881303714736,1.3920881303714736,1.3853238537418744,0.7043640093430066,40
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_words_masked_x4,direct_fp64_words_masked,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.004751481417596716,0.004749061908945106,0.004754075394569486,0.004748860315413866,0.0047552549120115865,0.040148961014808825,1.7392470418583483,1.7392470418583483,1.7240938730522253,0.876610670946444,28
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_words_masked_x8,direct_fp64_words_masked,none,8,0,0,0,dot,4096,1,2,256,10,8232,8232,8192,15,0.005315839928316783,0.005315385198018637,0.005316554012068783,0.005315331148814006,0.005316672727286097,0.007971735421431361,1.5485793611183087,1.5485793611183087,1.5410546800633123,0.7835449091086334,37
