distribution,benchmark_format,component,n,m,strategy,decode_kind,table_location,unpack,lanes,median_time_ms,speedup_vs_fp64,cv_percent
normal_0_1,bf16_e8m7,dot,4096,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.004431419994097863,0.9800965230211341,0.0551451946075549
normal_0_1,bf16_e8m7,dot,65536,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.00473113844962905,0.9821191518800404,0.013734603052866487
normal_0_1,bf16_e8m7,dot,1048576,1,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0.006135900922549845,1.5349165978739285,0.6223329312636956
normal_0_1,bf16_e8m7,dot,16777216,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.025059289294393768,2.9059384844756733,0.10337946263754992
normal_0_1,bf16_e8m7,dot,134217728,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.13481861461292613,3.733419131592829,0.030603220380829826
uniform_0_1,bf16_e8m7,dot,4096,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.0044315124823800164,0.980070934556383,0.041793051811765694
uniform_0_1,bf16_e8m7,dot,65536,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.004730568681672266,0.9817082420304338,0.01220003833354982
uniform_0_1,bf16_e8m7,dot,1048576,1,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0.006095076658042755,1.547606374533152,0.6885534876631203
uniform_0_1,bf16_e8m7,dot,16777216,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.025050562948084956,2.906035896758551,0.04546740675177442
uniform_0_1,bf16_e8m7,dot,134217728,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.13474914005824498,3.7339349128080483,0.03281430852235949
normal_0_1,bf16_e8m7,gemv,256,1024,native_bfloat162_x2,native_packed,none,shift_mask,2,0.003342990990758664,1.0022981795526378,0.12381827538084818
normal_0_1,bf16_e8m7,gemv,1024,1024,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.00356308042873413,1.1961969764954972,0.11316156605343662
normal_0_1,bf16_e8m7,gemv,4096,1024,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0.005721192710679284,1.3621619023437725,0.04872528346150957
normal_0_1,bf16_e8m7,gemv,16384,1024,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.014347037840425299,3.0340398683262677,0.3292691043804533
normal_0_1,bf16_e8m7,gemv,65536,1024,native_bfloat162_x8,native_packed,none,shift_mask,8,0.05404822826385498,2.777244515398454,0.1417442485025543
uniform_0_1,bf16_e8m7,gemv,256,1024,native_bfloat162_x2,native_packed,none,shift_mask,2,0.003342703004136933,1.0022075660031324,0.07605750000854836
uniform_0_1,bf16_e8m7,gemv,1024,1024,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.003564839064000576,1.1995086992736013,0.14848307094974494
uniform_0_1,bf16_e8m7,gemv,4096,1024,native_bfloat162_x8,native_packed,none,shift_mask,8,0.00571841301677896,1.3619561109873424,0.029711538982657684
uniform_0_1,bf16_e8m7,gemv,16384,1024,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.01436351914915781,3.028305946362096,0.4062177924238595
uniform_0_1,bf16_e8m7,gemv,65536,1024,native_bfloat162_x8,native_packed,none,shift_mask,8,0.05401508467538016,2.7801834150140823,0.14654258274851908
normal_0_1,e11m20,dot,4096,1,generic_x2,generic,none,shift_mask,2,0.004343147624075272,1.0000031646752554,0.024313249697243897
normal_0_1,e11m20,dot,65536,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.004635867955971153,1.0039178618219133,0.010761996046370391
normal_0_1,e11m20,dot,1048576,1,generic_x8,generic,none,shift_mask,8,0.0064343960438392545,1.4680116991471945,0.15097440057719377
normal_0_1,e11m20,dot,16777216,1,generic_x4,generic,none,shift_mask,4,0.04021423454180725,1.8205912425911484,0.0790894739647263
normal_0_1,e11m20,dot,134217728,1,generic_x4,generic,none,shift_mask,4,0.25348285093145856,1.9869157774392998,0.09019413865163202
uniform_0_1,e11m20,dot,4096,1,generic_x2,generic,none,shift_mask,2,0.004343553376052142,1.0000693037300228,0.00809288861929468
uniform_0_1,e11m20,dot,65536,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.004637472935625025,1.0041922329091342,0.012519996230158759
uniform_0_1,e11m20,dot,1048576,1,generic_x8,generic,none,shift_mask,8,0.006430351411289695,1.468480057823146,0.10869518564052229
uniform_0_1,e11m20,dot,16777216,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.04017274720328195,1.8222582756068417,0.06114796885726477
uniform_0_1,e11m20,dot,134217728,1,generic_x4,generic,none,shift_mask,4,0.25343456914869406,1.9872310860717823,0.0687666826058224
normal_0_1,e11m20,gemv,256,1024,generic_x2,generic,none,shift_mask,2,0.003340461683953628,1.001889123346814,0.05087735069393902
normal_0_1,e11m20,gemv,1024,1024,generic_x4,generic,none,shift_mask,4,0.0035837759876551434,1.193771599246585,0.06327659110112246
normal_0_1,e11m20,gemv,4096,1024,prefix_word_x4,prefix_word,none,shift_mask,4,0.005469745955443734,1.4134455778862143,0.22300746552505038
normal_0_1,e11m20,gemv,16384,1024,generic_x4,generic,none,shift_mask,4,0.020475129823426943,2.126684687200309,0.37059981727437014
normal_0_1,e11m20,gemv,65536,1024,generic_x4,generic,none,shift_mask,4,0.0687071129127785,2.187804987135032,0.2512419179285469
uniform_0_1,e11m20,gemv,256,1024,generic_x2,generic,none,shift_mask,2,0.0033439942683704733,1.001912880160382,0.03462853802753335
uniform_0_1,e11m20,gemv,1024,1024,generic_x4,generic,none,shift_mask,4,0.003583519450633599,1.1945099055955302,0.057921073921832544
uniform_0_1,e11m20,gemv,4096,1024,prefix_word_x4,prefix_word,none,shift_mask,4,0.005462739254250137,1.4132117413911112,0.21163675866999107
uniform_0_1,e11m20,gemv,16384,1024,generic_x4,generic,none,shift_mask,4,0.020443407790538406,2.1270717432298714,0.3961778953127298
