format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
bf16_e8m7,dot,normal_0_1,fp32_bit_lift_x8,8,5,1.7283039336969352,5.0,1,0.07170405530746264
bf16_e8m7,dot,normal_0_1,native_bfloat162_x8,8,5,1.722439845362828,5.2,0,0.06911224737881282
bf16_e8m7,dot,normal_0_1,fp32_bit_lift_x4,4,5,1.7199585593550095,1.4,4,0.0551451946075549
bf16_e8m7,dot,normal_0_1,native_bfloat162_x4,4,5,1.7191774029416735,2.4,0,0.048149385705733905
bf16_e8m7,dot,normal_0_1,native_bfloat162_x2,2,5,1.515104286870944,6.2,0,0.043158114060438436
bf16_e8m7,dot,normal_0_1,subnormal_global_x8,8,5,1.2762085788996833,9.8,0,0.06179196799219
bf16_e8m7,dot,normal_0_1,native_fp32_x1,1,5,1.2663915627477296,7.2,0,0.02806215914447754
bf16_e8m7,dot,normal_0_1,generic_x1,1,5,1.2663199601030952,8.6,0,0.049520858490957484
bf16_e8m7,dot,normal_0_1,native_direct_x1,1,5,1.2662733245721465,9.2,0,0.0464215208566722
bf16_e8m7,dot,normal_0_1,fp32_bit_lift_x1,1,5,1.266207580215995,9.0,0,0.039272193813984814
bf16_e8m7,dot,normal_0_1,word_branchy_x8,8,5,1.2631189223735353,11.4,0,0.05658368521083818
bf16_e8m7,dot,normal_0_1,word_branchy_x4,4,5,1.2574678104326675,11.8,0,0.08003066741396625
bf16_e8m7,dot,normal_0_1,subnormal_shared_x8,8,5,1.2477111099591496,11.2,0,0.04949010235282987
bf16_e8m7,dot,normal_0_1,full_high_l2_x8,8,5,1.1637120599647022,15.0,0,0.06689534472764164
bf16_e8m7,dot,normal_0_1,full_high_l2_x4,4,5,1.1532087078531248,15.0,0,0.11959948322077901
bf16_e8m7,dot,normal_0_1,full_high_l2_x1,1,5,1.03324427650186,16.6,0,0.14138683553155676
bf16_e8m7,dot,normal_0_1,word_branchy_x1,1,5,0.9840039666993119,14.4,0,0.06206044168025125
bf16_e8m7,dot,normal_0_1,word_masked_x4,4,5,0.8881080188824442,16.6,0,0.05865805611465442
bf16_e8m7,dot,normal_0_1,word_masked_x8,8,5,0.8489597878565432,18.2,0,0.03988094279218507
bf16_e8m7,dot,normal_0_1,word_masked_x1,1,5,0.8451709507001697,15.8,0,0.1092822097957606
bf16_e8m7,dot,uniform_0_1,fp32_bit_lift_x8,8,5,1.7320753811866625,5.2,1,0.08031555412740332
bf16_e8m7,dot,uniform_0_1,native_bfloat162_x8,8,5,1.7232300118284574,5.2,0,0.10003609691219277
bf16_e8m7,dot,uniform_0_1,fp32_bit_lift_x4,4,5,1.7205964876221886,1.4,4,0.041793051811765694
bf16_e8m7,dot,uniform_0_1,native_bfloat162_x4,4,5,1.7202044733494926,2.4,0,0.05487945001693637
bf16_e8m7,dot,uniform_0_1,native_bfloat162_x2,2,5,1.515285483109991,6.2,0,0.051666003932375026
