gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,main_array_unique_bytes,main_array_requested_bytes,useful_flops,sample_count,median_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,cv_percent,median_main_array_unique_gb_per_s,median_main_array_requested_gb_per_s,median_useful_gflop_per_s,speedup_vs_fp64,rank_within_format
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0,dot,4096,1,16,256,10,65800,65800,8192,15,0.00434321932826165,0.004342784628469808,0.004343509115714937,0.004342644964690137,0.004343544292226608,0.005972379612872116,15.150052306093437,15.150052306093437,1.8861584877130309,1.0,0
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.004431419994097863,0.004428371110904484,0.004435594873370075,0.004428161186016261,0.004435604118766707,0.0551451946075549,3.7134823650020725,3.7134823650020725,1.8486173756743423,0.9800965230211341,1
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x4,native_packed,none,shift_mask,4,0,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.004432149572971519,0.004429325506925988,0.004435470432093674,0.004428631583377339,0.004435898290222893,0.04425732169621079,3.712871086380583,3.712871086380583,1.8483130736284479,0.9799351887282437,2
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x2,native_packed,none,shift_mask,2,0,0,dot,4096,1,8,256,10,16520,16520,8192,15,0.004436018702748058,0.0044353757960081475,0.004436899204643405,0.004435252918740457,0.0044369607742764695,0.011396843570309609,3.7240600427960477,3.7240600427960477,1.846700960689178,0.9790804816875729,3
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_fp32_x1,native_fp32,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004534984591747287,0.004534548135393473,0.004535929283873162,0.004534080124213791,0.004536085105352378,0.011536503130621208,3.671015780361379,3.671015780361379,1.8064008453099722,0.9577142414475655,4
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x1,fp32_bits,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.0045352147213067635,0.004534926676701625,0.004535423325424039,0.004534862774695496,0.004535423325424039,0.0038435205892560047,3.670829502688484,3.670829502688484,1.8063091834469043,0.9576656443314348,5
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_direct_x1,native_direct,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004535231116667277,0.004534891377324643,0.004535458066047878,0.004534873536349199,0.004535511855257427,0.004404228217139203,3.670816232235109,3.670816232235109,1.8063026534400535,0.9576621822645441,6
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,generic_x1,generic,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004535310977214092,0.004534731080403199,0.0045359485052727366,0.004534324278702607,0.004536081004787136,0.010618826773196508,3.6707515942437925,3.6707515942437925,1.8062708469512945,0.957645319159473,7
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004537346339461827,0.004537047060838591,0.004537746822587227,0.0045369866729104555,0.00453790815749971,0.005848341605143215,3.669104968957387,3.669104968957387,1.8054605902029621,0.9572157387431874,8
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.004544012998126432,0.004541733269778871,0.004546309585726674,0.004540702136131023,0.004546437389738933,0.039216203302138944,3.6144262806404543,3.6144262806404543,1.8028117444597296,0.9558113786321535,9
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x8,native_packed,none,shift_mask,8,0,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.004557404462589004,0.004554812721722138,0.004560030637287261,0.004554356195764018,0.004560319437163444,0.0405864468088225,3.603805660617125,3.603805660617125,1.79751436749729,0.9530028251638483,10
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004729154356873906,0.004728640927118843,0.004729919117861166,0.004728298640615467,0.004730403929291031,0.010351051581051176,3.520291101473956,3.520291101473956,1.7322335838103466,0.9183923806480767,11
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004820733313033736,0.004818609582524582,0.004823234094091817,0.004818535561299196,0.004823261713952036,0.033571546860119705,3.4534165071917755,3.4534165071917755,1.699326527325506,0.9009457786264511,12
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.004826276353909053,0.004825888774954341,0.004826792702698668,0.004825730490406817,0.00482703485028716,0.006546884235278043,3.4096679910737864,3.4096679910737864,1.6973748288087296,0.8999110307357038,13
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.0048266213970209835,0.00482611505250765,0.004827142325140672,0.004825965347324053,0.004827491736443937,0.007938116850544756,3.4094242424228116,3.4094242424228116,1.6972534877204468,0.8998466983431326,14
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.004826864718765372,0.004826410024198424,0.004827467906303055,0.00482636098523926,0.004828418036136869,0.009986283719251782,3.409252373704221,3.409252373704221,1.6971679293500836,0.8998013371654158,15
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,subnormal_global_x8,subnormal_high_lut,global,shift_mask,8,4,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.005213974311954466,0.0052136130381842255,0.005214460503029281,0.005213503214699639,0.005214530444814858,0.0056983069953856465,3.1499963400938653,3.1499963400938653,1.5711623245280655,0.8329959198885251,16
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.005225409886165119,0.005223453910029463,0.005227231709716682,0.005222936714740434,0.00522782283498924,0.02485666010975671,3.1431027149629833,3.1431027149629833,1.5677239065377957,0.8311729458316426,17
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.0053886890635139115,0.0053874500029414876,0.005390495450661139,0.005387187171910974,0.005391346910423877,0.02096492218917564,3.0478655952158555,3.0478655952158555,1.5202213197764425,0.8059881127061133,18
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,512,dot,4096,1,2,256,10,16424,16424,8192,15,0.005405931317569119,0.0054052975035489784,0.005406974150949102,0.005405135439274324,0.005407247577825894,0.011389842434152435,3.0381444075366772,3.0381444075366772,1.5153725637201936,0.8034174082357122,19
