format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
e0m1,dot,normal_0_1,pair_shared_x8,8,5,2.054334045239207,11.0,1,0.07213449754254295
e0m1,dot,normal_0_1,pair_shared_x4,4,5,1.9984739223348775,10.8,1,0.008706177082730065
e0m1,dot,normal_0_1,pair_l2_x8,8,5,1.988091403408771,10.2,0,0.07788133928608826
e0m1,dot,normal_0_1,full_high_shared_x8,8,5,1.9847029473860052,10.8,1,0.014940220785102003
e0m1,dot,normal_0_1,pair_l2_x4,4,5,1.9508173726923774,7.4,0,0.035349895085169766
e0m1,dot,normal_0_1,full_high_global_x8,8,5,1.9226117269249838,14.2,0,0.12592468859507883
e0m1,dot,normal_0_1,full_high_shared_x4,4,5,1.8744822167301933,11.0,0,0.04354578011247526
e0m1,dot,normal_0_1,full_high_global_x4,4,5,1.852681498467309,8.0,0,0.11021406269817
e0m1,dot,normal_0_1,word_masked_x8,8,5,1.8496736151295918,9.8,0,0.05019697924712327
e0m1,dot,normal_0_1,word_branchy_x8,8,5,1.8488278436126255,9.6,0,0.03215500139964557
e0m1,dot,normal_0_1,word_branchy_x4,4,5,1.7625877528141423,8.4,1,0.015938449937723004
e0m1,dot,normal_0_1,word_masked_x4,4,5,1.7625039461745748,8.4,0,0.011757094464979455
e0m1,dot,normal_0_1,fixed_integer_x8,8,5,1.7501412899971542,13.6,0,0.058276164892718474
e0m1,dot,normal_0_1,fixed_integer_x4,4,5,1.7012894985744247,11.2,0,0.17463954877985724
e0m1,dot,normal_0_1,byte_quad_shared_x4,4,5,1.630914719399075,22.6,0,0.11024480407633179
e0m1,dot,normal_0_1,byte_quad_shared_x8,8,5,1.6292781972959833,24.0,0,0.05142571968956145
e0m1,dot,normal_0_1,byte_quad_l2_x4,4,5,1.6168878909585185,21.2,0,0.014642072962505083
e0m1,dot,normal_0_1,pair_shared_x2,2,5,1.5935940315045447,21.4,0,0.1241764295759384
e0m1,dot,normal_0_1,pair_l2_x2,2,5,1.5811511222238521,19.0,0,0.10508202707197278
e0m1,dot,normal_0_1,full_high_shared_x2,2,5,1.5582389627250546,21.2,0,0.12869595159887293
e0m1,dot,normal_0_1,full_high_global_x2,2,5,1.552956686863631,17.8,0,0.11358176699882408
