gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,0,2344,10.637472152709961,0.0045381707136134646,8456,8456,8192,1.8633058414118167,1.8633058414118167,1.8051326221435193
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,1,2380,10.495552062988281,0.0044098958247849925,8328,8328,8192,1.8884799847638207,1.8884799847638207,1.8576402539847765
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,2,2151,10.571968078613281,0.0049149084512381596,8264,8264,8192,1.6814148385445795,1.6814148385445795,1.6667655321100188
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_shared_x4,full_high_lut,shared,shift_mask,4,4,1024,dot,4096,1,4,256,10,0,0,3,2233,10.227519989013672,0.0045801701697329479,8264,8264,8192,1.8042997735347988,1.8042997735347988,1.7885798335911269
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,fixed_integer_x8,fixed_integer,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,4,2333,10.711872100830078,0.0045914582515345385,8232,8232,8192,1.7928944463882983,1.7928944463882983,1.784182617202738
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,5,2321,10.534463882446289,0.0045387608282836233,8456,8456,8192,1.8630635805495217,1.8630635805495217,1.8048979247707759
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,6,2276,10.432191848754883,0.0045835640811752558,8264,8264,8192,1.8029637752726815,1.8029637752726815,1.7872554751977017
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,7,2141,10.70252799987793,0.0049988453992890845,8232,8232,8192,1.6467802747351863,1.6467802747351863,1.6387784269473573
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_global_x2,full_high_lut,global,shift_mask,2,4,0,dot,4096,1,8,256,10,0,0,8,2368,10.857695579528809,0.0045851754981118282,8328,8328,8192,1.8162881668170527,1.8162881668170527,1.7866273610188879
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,generic_x1,generic,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,9,2171,10.271903991699219,0.0047314159335325743,8456,8456,8192,1.7872028413461787,1.7872028413461787,1.7314055908594956
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_global_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,0,0,10,2065,9.4641599655151367,0.0045831283125981294,8264,8264,8192,1.8031352029319951,1.8031352029319951,1.7874254092956079
