gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,main_array_unique_bytes,main_array_requested_bytes,useful_flops,sample_count,median_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,cv_percent,median_main_array_unique_gb_per_s,median_main_array_requested_gb_per_s,median_useful_gflop_per_s,speedup_vs_fp64,rank_within_format
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0,dot,4096,1,16,256,10,65800,65800,8192,15,0.004506583440871466,0.004502239433717934,0.0045129574119270625,0.004502220071239389,0.004514285909149038,0.0893270048500396,14.600861353912011,14.600861353912011,1.8177850488031488,1.0,0
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.004602148726179793,0.004601683809950545,0.00460290808129955,0.004601608257035952,0.004602946139670707,0.00963807939544552,0.4745609344557017,0.4745609344557017,1.780038083819189,0.9792346377758949,1
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.004602361864604234,0.0046018144376448805,0.004603639519662174,0.004601747509562521,0.004604423005426296,0.01512307714230888,0.4745389572246958,0.4745389572246958,1.7799556490772475,0.9791892887716241,2
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.004602796209844948,0.004602245520838695,0.00460321643117918,0.0046020058655061565,0.0046032441894229715,0.007686227907520984,0.46058958584034626,0.46058958584034626,1.779787682643451,0.9790968870688448,3
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,fixed_integer_x2,fixed_integer,none,shift_mask,2,0,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.004602903278108469,0.0046019118386211345,0.004603949207342428,0.004601580667122226,0.004604309719474135,0.015499706388367125,0.4744831398885052,0.4744831398885052,1.7797462829517559,0.9790741122684236,4
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.004602935127023951,0.00460233293702578,0.004604203383670325,0.0046018838068731,0.004604805451611203,0.015938449937723004,0.4605756851869202,0.4605756851869202,1.779733968420401,0.9790673377978321,5
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,fixed_integer_x4,fixed_integer,none,shift_mask,4,0,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.004604709840064976,0.004603949382443477,0.004605153477639469,0.004603767964620233,0.004605201324098346,0.009254985429997498,0.46039817352966694,0.46039817352966694,1.7790480365825623,0.9786899929416344,6
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_global_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.004605470956292899,0.004604985066597036,0.004606185854139181,0.004604708016839775,0.004606304631854262,0.00873377801604885,0.4603220865182614,0.4603220865182614,1.7787540248856593,0.9785282512125467,7
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0,dot,4096,1,16,256,10,2312,2312,8192,15,0.004606424649016764,0.004605615037811228,0.004607020654985981,0.004605596053377679,0.004607334606513912,0.010154244364538568,0.5019076998238738,0.5019076998238738,1.7783857599295738,0.9783256612768844,8
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0,dot,4096,1,16,256,10,2312,2312,8192,15,0.00460647607778574,0.004605586890018347,0.004648662088237283,0.004605160337505919,0.004745641518464852,0.7791338386837229,0.5019020963007675,0.5019020963007675,1.7783659052317853,0.9783147388095651,9
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,fixed_integer_x1,fixed_integer,none,shift_mask,1,0,0,dot,4096,1,16,256,10,2312,2312,8192,15,0.00460688772899926,0.004606072469639492,0.004607372418089154,0.0046057758323407435,0.004607576252657567,0.009608861539520432,0.5018572485382075,0.5018572485382075,1.7782069982807074,0.9782273209098623,10
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,pair_l2_x4,pair_high_lut,global,shift_mask,4,8,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.00462695076352074,0.004625295374816631,0.004629769593606264,0.004625052910346489,0.004631175829734637,0.035349895085169766,0.45818512198449446,0.45818512198449446,1.7704964713664995,0.9739856054665073,11
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_global_x2,full_high_lut,global,shift_mask,2,4,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.0047050670813807444,0.004702658788713225,0.004708342200790035,0.004701404720728856,0.004712049437923753,0.04907351360240006,0.4641804170322446,0.4641804170322446,1.7411016375128885,0.957814918028537,12
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0,dot,4096,1,2,256,10,2088,2088,8192,15,0.0047217478350343,0.004721052924065626,0.004722164296912552,0.0047208630395584004,0.00472240388473123,0.008135332379219993,0.4422091295319739,0.4422091295319739,1.7349507610756372,0.9544311975818863,13
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0,dot,4096,1,2,256,10,2088,2088,8192,15,0.004721756214964166,0.0047211362641088085,0.004722363238883008,0.004721028553537786,0.004722441759597385,0.008425713935703433,0.4422083447219746,0.4422083447219746,1.7349476819743372,0.9544295037065286,14
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,pair_l2_x2,pair_high_lut,global,shift_mask,2,8,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.004722567426191794,0.004721989261137472,0.004723009386578121,0.004721743432251182,0.004723189247621072,0.007570244002829074,0.4624603108655124,0.4624603108655124,1.7346496641988451,0.9542655581532915,15
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_global_x1,full_high_lut,global,shift_mask,1,4,0,dot,4096,1,16,256,10,2312,2312,8192,15,0.0047254042696833806,0.004724380656605751,0.004725958106918462,0.004724166555928311,0.0047259767122951,0.012329205266407997,0.4892703074809962,0.4892703074809962,1.7336082867146716,0.9536926755207388,16
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_shared_x4,full_high_lut,shared,shift_mask,4,4,16,dot,4096,1,4,256,10,2120,2120,8192,15,0.004727660488967662,0.004724408989136116,0.004730184786070576,0.0047243307603203055,0.004730556956742808,0.04354578011247526,0.4484247557427555,0.4484247557427555,1.732780942945591,0.9532375371260065,17
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_shared_x2,full_high_lut,shared,shift_mask,2,4,16,dot,4096,1,8,256,10,2184,2184,8192,15,0.004783653490471117,0.004779572755227357,0.004787496508974017,0.004779359478971143,0.004788349613998875,0.05549953254390532,0.4565548078159209,0.4565548078159209,1.7124986197930512,0.9420798245208257,18
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_shared_x1,full_high_lut,shared,shift_mask,1,4,16,dot,4096,1,16,256,10,2312,2312,8192,15,0.004834090900210619,0.004828542789349756,0.004838438223529336,0.004827365917348967,0.004839021796422289,0.0756150192632242,0.47826986453632214,0.47826986453632214,1.694630938703093,0.9322504549252717,19
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,pair_shared_x4,pair_high_lut,shared,shift_mask,4,8,128,dot,4096,1,4,256,10,2120,2120,8192,15,0.00483844146067962,0.004837951247310226,0.004839082899547758,0.0048378737973960445,0.0048391895376758655,0.008706177082730065,0.43815762104977896,0.43815762104977896,1.6931071847357495,0.9314122073181927,20
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,fixed_integer_x8,fixed_integer,none,shift_mask,8,0,0,dot,4096,1,2,256,10,2088,2088,8192,15,0.004839100441199241,0.004838718478405389,0.004839594001556357,0.004838631616384498,0.004840038090828728,0.006836671651336312,0.43148515418757155,0.43148515418757155,1.692876620260817,0.9312853691779603,21
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,pair_shared_x2,pair_high_lut,shared,shift_mask,2,8,128,dot,4096,1,8,256,10,2184,2184,8192,15,0.004839332530040615,0.004838447949744218,0.004840075638120537,0.004838131700393643,0.0048403918874711125,0.013009486440041062,0.45130190712099516,0.45130190712099516,1.6927954318384582,0.9312407057990792,22
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,pair_l2_x8,pair_high_lut,global,shift_mask,8,8,0,dot,4096,1,2,256,10,2088,2088,8192,15,0.004839903533432136,0.004839430097698156,0.00484088543956959,0.004839389918374526,0.004841244970109917,0.011106673324139341,0.43141355722834623,0.43141355722834623,1.6925957187809446,0.9311308396421072,23
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_shared_x8,full_high_lut,shared,shift_mask,8,4,16,dot,4096,1,2,256,10,2088,2088,8192,15,0.004840941387975503,0.004839997982664684,0.00484154925244551,0.004839967348964471,0.004842017250459663,0.011961377346927121,0.4313210660196008,0.4313210660196008,1.6922328413949088,0.930931213516744,24
