distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,modeled_conversions
normal_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,1,553648128.0,4096.0,15,0.0986674605189143,0.09847956734734613,0.09868897296286919,2.681242453085597e-05,0.09846313579662426,0.0987050791044493,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,2,1107296256.0,4096.0,15,0.09845347692502425,0.09844950221528942,0.09864365174466332,8.80708630453253e-06,0.09844466983871972,0.09891264230612941,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,4,2214592512.0,4096.0,15,0.11323544428898738,0.11303199988145093,0.11327470999497634,7.384373591495796e-05,0.11298732023972731,0.11351360174325796,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,8,4429185024.0,4096.0,15,0.1677634207050452,0.16762517007549158,0.16785222492860946,0.00010966183094496262,0.16748800170555544,0.16807550794622872,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,1,553648128.0,4096.0,15,0.10333634094453194,0.10301600039844781,0.10339448149775116,8.112276104134397e-05,0.10299199735614616,0.1036200590536628,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,2,1107296256.0,4096.0,15,0.13011087451064796,0.12990834838465642,0.13020744240074827,0.0001614051952696649,0.12981669944629334,0.13027227970591762,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,4,2214592512.0,4096.0,15,0.16404266357421876,0.16389492882622614,0.16410115559895833,6.898244222003358e-05,0.1637624846564399,0.16432355244954427,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,8,4429185024.0,4096.0,15,0.307709382504833,0.3076806554988939,0.3077962447185906,7.314098124600044e-05,0.306789223028689,0.3083049813095404,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,1,553648128.0,4096.0,15,0.09874745961782094,0.09870864893939044,0.09880108124500997,5.232321249472316e-05,0.09858119165575183,0.09890161978231894,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,2,1107296256.0,4096.0,15,0.09859801298819933,0.09857696494800133,0.0986140142351189,1.847183944395092e-05,0.09841245612842124,0.09865600150703584,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,4,2214592512.0,4096.0,15,0.11318227327786959,0.1131014163677509,0.11321476789621207,4.0369767409106916e-05,0.11295212232149564,0.1135315675001878,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,8,4429185024.0,4096.0,15,0.16509617699517143,0.16505226559109157,0.16514275868733724,5.618201361762276e-05,0.1649152013990614,0.16548692915174695,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,1,553648128.0,4096.0,15,0.10337790242441884,0.10335160969020604,0.10339759279797961,2.2374666654154107e-05,0.10304000160910866,0.10340631925142728,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,2,1107296256.0,4096.0,15,0.1301260329129403,0.12993782445004112,0.13020519206398412,8.364727622584e-05,0.1297692666973984,0.13063578856618782,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,4,2214592512.0,4096.0,15,0.16399999765249398,0.1638878256410033,0.16405626443716195,7.631490518758555e-05,0.16370496645078556,0.16409529172457182,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,8,4429185024.0,4096.0,15,0.3077662137089943,0.307618608280104,0.3078426146993832,0.00012539844123682364,0.30681534202731386,0.3086334734546895,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp32_e8m23,32,fp32,independent_chains,1,553648128.0,4096.0,15,0.09867038982826591,0.09844585393099177,0.0986906858098587,7.774685853280394e-05,0.09842856618381987,0.09874813668679872,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp32_e8m23,32,fp32,independent_chains,2,1107296256.0,4096.0,15,0.12414144467906792,0.12410595036354385,0.12418177949280298,4.221812015821336e-05,0.12387145867868632,0.12446789781586463,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp32_e8m23,32,fp32,independent_chains,4,2214592512.0,4096.0,15,0.15475799640019736,0.15465300281842548,0.15478750069936115,4.3670336405426946e-05,0.15438533822695413,0.1552946666876475,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp32_e8m23,32,fp32,independent_chains,8,4429185024.0,4096.0,15,0.2092262241575453,0.20890888902876115,0.20929821994569567,0.00019511911604139232,0.20882133642832437,0.2101071145799425,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp32_e8m23,32,fp64,independent_chains,1,553648128.0,4096.0,15,0.10339378810429073,0.10323770563085596,0.10341404201267482,2.931714891553361e-05,0.10307244654301997,0.10344749397331185,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp32_e8m23,32,fp64,independent_chains,2,1107296256.0,4096.0,15,0.13014203623721474,0.1300898267511736,0.13017052516602634,4.406979209498063e-05,0.12987228025469863,0.13035059811776145,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp32_e8m23,32,fp64,independent_chains,4,2214592512.0,4096.0,15,0.16404586368136936,0.16386399798923068,0.16415644221835668,0.00014399422539604356,0.1637255138821072,0.16437404420640733,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp32_e8m23,32,fp64,independent_chains,8,4429185024.0,4096.0,15,0.3076290597721022,0.3070860395626146,0.3077479187323122,0.0001906959377989681,0.3068114300163425,0.3079751851607342,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp16,independent_chains,1,553648128.0,4096.0,15,0.0987116813659668,0.09868576049804687,0.09875583966573079,3.2215118408202015e-05,0.09855573018391928,0.09902186711629232,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp16,independent_chains,2,1107296256.0,4096.0,15,0.09863388138329422,0.09861465748524506,0.09864934178806792,2.2766574117150107e-05,0.09843328975191053,0.0989137175899224,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp16,independent_chains,4,2214592512.0,4096.0,15,0.11323618522057166,0.11321082848768968,0.11332442943866436,5.317101111779188e-05,0.11316184263962965,0.11369157204261193,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp16,independent_chains,8,4429185024.0,4096.0,15,0.16527786254882812,0.16505137549506294,0.16533013449774847,0.00017706553141275116,0.164721065097385,0.1656625747680664,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp32,independent_chains,1,553648128.0,4096.0,15,0.09866910332801358,0.09864590472022959,0.09883489864784599,2.5345975120591446e-05,0.09843779570304308,0.09892724824431759,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp32,independent_chains,2,1107296256.0,4096.0,15,0.12416860436191078,0.12415596617370092,0.12445996789371266,2.9852410324479606e-05,0.12379267235763934,0.12481855344371635,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp32,independent_chains,4,2214592512.0,4096.0,15,0.1547266642252604,0.15469216803709668,0.15475650131702423,3.300110499065978e-05,0.15433733661969504,0.15515066186587015,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp32,independent_chains,8,4429185024.0,4096.0,15,0.20930400159623888,0.20918577247195774,0.2093308899137709,3.6438306172698054e-05,0.20878799756368002,0.21000311109754774,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp64,independent_chains,1,553648128.0,4096.0,15,0.10333404007491533,0.10331848784760161,0.10356665657950448,0.00022690779679304662,0.10308274355801669,0.10360279616776046,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp64,independent_chains,2,1107296256.0,4096.0,15,0.13012619018554689,0.13011283459870712,0.1301523498866869,2.5881891665247014e-05,0.12995394831118376,0.13079930181088656,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp64,independent_chains,4,2214592512.0,4096.0,15,0.1640720891428518,0.1639604411282382,0.16413432949191922,8.61555665403746e-05,0.16363990699851905,0.16447190924005195,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp4_e2m1,4,fp64,independent_chains,8,4429185024.0,4096.0,15,0.3076760817547234,0.30733551297869,0.30836310678598833,0.0006831032889229594,0.30687084976507695,0.30847543599654215,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp64_e11m52,64,fp64,independent_chains,1,553648128.0,4096.0,15,0.10329712612528197,0.10303763604499924,0.10332461813805809,0.00010118350176743784,0.10301791446309694,0.1033983096270494,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp64_e11m52,64,fp64,independent_chains,2,1107296256.0,4096.0,15,0.1300524912382427,0.1298676457321435,0.130107791800248,7.803398266173489e-05,0.12968308465522632,0.13018975341529176,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp64_e11m52,64,fp64,independent_chains,4,2214592512.0,4096.0,15,0.16385421752929688,0.16381955676608617,0.16408498022291396,4.871156480576455e-05,0.16372515360514323,0.16415110694037544,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp64_e11m52,64,fp64,independent_chains,8,4429185024.0,4096.0,15,0.3076656302627252,0.30744326844507336,0.3077655519757952,0.00013715393689217592,0.3068094642794862,0.3083350123191366,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,1,553648128.0,4096.0,15,0.09865084270502897,0.09863097875710303,0.09883264247203033,2.1473673366065316e-05,0.09857460636420538,0.09888901806517736,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,2,1107296256.0,4096.0,15,0.09853659380202326,0.09850588100868583,0.09876102089081834,5.3693784163311165e-05,0.09830035139250275,0.09879903345300048,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,4,2214592512.0,4096.0,15,0.11310583216543416,0.11308555748626475,0.11329770634192547,3.101989513135117e-05,0.1130564886195059,0.11342436666707047,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,8,4429185024.0,4096.0,15,0.16526418321588066,0.16503406374642018,0.16542040364126143,0.00017402948958150644,0.164871194389429,0.165561526009206,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,1,553648128.0,4096.0,15,0.09859865943857488,0.0985583875003277,0.09870969209094976,5.43402345388605e-05,0.09851468489474098,0.09879538516870282,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,2,1107296256.0,4096.0,15,0.12427079176702419,0.12409223428293437,0.12451603432663348,0.00021459274933116612,0.12395321020559102,0.12485674048672203,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,4,2214592512.0,4096.0,15,0.15484767158826193,0.1545845021804174,0.15494466821352643,0.0001316666603088379,0.15456499656041464,0.15497933824857077,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,8,4429185024.0,4096.0,15,0.20936968628789338,0.20920383426505076,0.20971988624250384,0.00018568441901409272,0.20915514986279984,0.20982309798119772,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,1,553648128.0,4096.0,15,0.10325974684495193,0.10324643208430363,0.10338640546465254,1.4545200587995355e-05,0.10323983305817717,0.10354394179124099,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,2,1107296256.0,4096.0,15,0.1300788762276633,0.13003480643556828,0.1303148060514216,9.038155538995674e-05,0.129972775777181,0.1305260323641593,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,4,2214592512.0,4096.0,15,0.16427358690198962,0.16394514565939433,0.16432914105090468,0.0001884816767095121,0.16378830291412688,0.16446206857869913,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,8,4429185024.0,4096.0,15,0.30803199690215444,0.3076486587524414,0.3082602461990045,0.0002977994023536934,0.30705697195870535,0.30833633578553493,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp16,independent_chains,1,553648128.0,4096.0,15,0.09865986740829161,0.09863291170773089,0.09883930219099826,3.672606192979544e-05,0.09862314134636181,0.09900649922006083,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp16,independent_chains,2,1107296256.0,4096.0,15,0.09858706173480757,0.09851232311069566,0.09876134411600612,0.00013852599483207828,0.09828639190469012,0.098853796120458,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp16,independent_chains,4,2214592512.0,4096.0,15,0.11330486444326547,0.11306941692645733,0.11338116939251239,0.00012282591599685477,0.11303975031926082,0.11342769035926233,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp16,independent_chains,8,4429185024.0,4096.0,15,0.1652235502607367,0.16513995909958742,0.1653821120101414,0.0001348324036330173,0.16493698720181926,0.16582723681846362,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp32,independent_chains,1,553648128.0,4096.0,15,0.09856730339511129,0.09855012125616906,0.09859736973807315,2.1908907282264245e-05,0.0985316526169745,0.09884112953339647,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp32,independent_chains,2,1107296256.0,4096.0,15,0.12417828535833278,0.12398668898253881,0.12443710775936351,0.00019576769916949954,0.12391906225380778,0.12500464014646387,2214592512.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp32,independent_chains,4,2214592512.0,4096.0,15,0.1546850005785624,0.15457466741402945,0.1549144983291626,0.00012699762980142304,0.15455699960390726,0.1551033357779185,4429185024.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp32,independent_chains,8,4429185024.0,4096.0,15,0.20918805834273219,0.20916957586583956,0.20920969063127542,1.983911218778056e-05,0.20915199333513287,0.20978208998559225,8858370048.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp64,independent_chains,1,553648128.0,4096.0,15,0.10323875722750811,0.10321239686348069,0.10346366318178848,7.977284176248489e-05,0.10315898438574563,0.10352112541736012,1107296256.0,0.0,0.0,0.0
normal_0_1,arithmetic_chain,fp8_e5m2,8,fp64,independent_chains,2,1107296256.0,4096.0,15,0.13033123183668704,0.13003971702174139,0.1304422470561245,0.00017683966117992833,0.12997725971958093,0.13060210880480314,2214592512.0,0.0,0.0,0.0
