gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,1,34603008,256,0,0,1404,0.0083587692673729348,270336,135168,34603008,0,4139725226663.1025,32.341603333305486,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,vector_packet,8,134217728,1,0,0,184,0.078976175059442932,268435456,16777216,134217728,0,1699471111369.7068,3398.9422227394134,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,8,276824064,256,0,0,593,0.023128067261050964,2162688,1081344,276824064,0,11969182762892.951,93.509240335101182,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,vector_packet,8,134217728,1,0,0,186,0.079215654762842327,268435456,16777216,0,0,1694333378949.2009,3388.666757898402,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,scalar_single,1,134217728,1,0,0,37,0.40610509305386933,268435456,134217728,134217728,0,330499987061.71405,660.99997412342805,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,1,553648128,4096,0,0,143,0.10336357730251926,0,0,0,1107296256,5356317403562.8701,0,10712.63480712574
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,2,1107296256,4096,0,0,114,0.12989389687253719,0,0,0,2214592512,8524621115082.6602,0,17049.242230165321
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,scalar_unrolled,4,134217728,1,0,0,120,0.12415066560109457,268435456,134217728,134217728,0,1081087462158.6941,2162.1749243173881,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,8,4429185024,4096,0,0,88,0.16750981590964578,0,0,0,8858370048,26441346138121.762,0,52882.692276243521
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,scalar_unrolled,2,134217728,1,0,0,70,0.21332251685006279,268435456,134217728,134217728,0,629177500724.58179,1258.3550014491636,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,vector_packet,8,134217728,1,0,0,171,0.086922478257564079,268435456,16777216,134217728,0,1544108390493.5747,3088.2167809871494,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,8,276824064,256,0,0,735,0.018214356818166719,2162688,1081344,276824064,0,15198124576317.727,118.73534825248224,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,scalar_unrolled,2,134217728,1,0,0,71,0.21291808007468641,268435456,134217728,0,0,630372620084.3053,1260.7452401686105,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,scalar_unrolled,8,134217728,1,0,0,158,0.092347947857047932,268435456,134217728,134217728,0,1453391560013.4973,2906.7831200269948,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,vector_packet,4,134217728,1,0,0,125,0.1172833251953125,268435456,33554432,134217728,0,1144388835978.9131,2288.777671957826,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,2,69206016,256,0,0,1375,0.0086080003218217335,540672,270336,69206016,0,8039732041431.1689,62.810406573681007,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,1,34603008,256,0,0,1359,0.0086084475317275023,270336,135168,34603008,0,4019657188182.4585,31.403571782675456,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,2,69206016,256,0,0,1175,0.010275594833049368,540672,270336,69206016,0,6734988788913.0146,52.61709991338293,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,scalar_unrolled,4,134217728,1,0,0,125,0.11821823883056641,268435456,134217728,134217728,0,1135338585041.5562,2270.6771700831123,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,4,138412032,256,0,0,900,0.014149867163764106,1081344,540672,138412032,0,9781860875305.916,76.42078808832747,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,2,1107296256,4096,0,0,148,0.098656435270567194,0,0,0,2214592512,11223761054848.762,0,22447.522109697522
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,4,2214592512,4096,0,0,91,0.16391349624801468,0,0,0,4429185024,13510739278290.654,0,27021.478556581307
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,4,2214592512,4096,0,0,130,0.1132583398085374,0,0,0,4429185024,19553460837795.754,0,39106.921675591511
