gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,1,34603008,256,0,0,1367,0.008361059466503621,270336,135168,34603008,0,4138591303964.2671,32.332744562220839,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,vector_packet,8,134217728,1,0,0,186,0.079127398870324578,268435456,16777216,134217728,0,1696223178269.2422,3392.4463565384845,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,8,276824064,256,0,0,585,0.023137969644660625,2162688,1081344,276824064,0,11964060297912.984,93.469221077445184,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,8,134217728,1,0,0,187,0.079391316296582554,268435456,16777216,0,0,1690584490356.6296,3381.1689807132593,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_single,1,134217728,1,0,0,37,0.40612496556462468,268435456,134217728,134217728,0,330483815033.14056,660.96763006628112,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,1,553648128,4096,0,0,142,0.10332033667765872,0,0,0,1107296256,5358559077553.9648,0,10717.11815510793
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,2,1107296256,4096,0,0,113,0.12982003878703161,0,0,0,2214592512,8529470999592.8105,0,17058.941999185619
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,4,134217728,1,0,0,120,0.12413492997487387,268435456,134217728,134217728,0,1081224503265.6561,2162.4490065313121,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,8,4429185024,4096,0,0,89,0.16525123896223776,0,0,0,8858370048,26802734138726.375,0,53605.468277452746
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_unrolled,2,134217728,1,0,0,71,0.21317182460301359,268435456,134217728,134217728,0,629622269499.97485,1259.2445389999498,0
