gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,vector_packet,8,134217728,1,0,0,226,0.066098124580045714,134217728,16777216,134217728,0,2030582998424.7212,2030.5829984247212,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_unrolled,8,134217728,1,0,0,185,0.079398918151855472,134217728,134217728,134217728,0,1690422629478.4026,1690.4226294784025,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,vector_packet,4,134217728,1,0,0,123,0.1203168775977158,134217728,33554432,134217728,0,1115535332031.822,1115.535332031822,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_single,1,134217728,1,0,0,38,0.40168842516447367,134217728,134217728,0,0,334133919704.16809,334.13391970416808,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,vector_packet,8,134217728,1,0,0,213,0.067870046051455218,134217728,16777216,134217728,0,1977569425814.7949,1977.5694258147948,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_unrolled,2,134217728,1,0,0,71,0.21226727122991856,134217728,134217728,134217728,0,632305334790.03113,632.30533479003111,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp16,register_resident,2,69206016,256,0,0,1430,0.0082763411782004609,270336,270336,69206016,0,8361909509275.1582,32.663709020606085,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,vector_packet,2,134217728,1,0,0,73,0.20620756279932309,134217728,67108864,134217728,0,650886544498.94202,650.88654449894204,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,vector_packet,2,134217728,1,0,0,73,0.20497271132795777,134217728,67108864,0,0,654807789439.10583,654.80778943910582,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,8,4429185024,4096,0,0,49,0.30756376227554011,0,0,0,8858370048,14400867615970.906,0,28801.735231941813
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,8,4429185024,4096,0,0,71,0.20914389381945972,0,0,0,8858370048,21177692272591.168,0,42355.384545182336
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp16,register_resident,8,276824064,256,0,0,713,0.018451388387158409,1081344,1081344,276824064,0,15002885321771.283,58.605020788169078,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,vector_packet,4,134217728,1,0,0,132,0.11262472470601399,134217728,33554432,134217728,0,1191725248166.8704,1191.7252481668704,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,vector_packet,8,134217728,1,0,0,244,0.061154361631049488,134217728,16777216,0,0,2194736800782.0808,2194.736800782081,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp16,register_resident,1,34603008,256,0,0,1400,0.0084366403307233537,135168,135168,34603008,0,4101515134405.7773,16.021543493772569,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,4,138412032,256,0,0,1066,0.011745771368717387,540672,540672,138412032,0,11783988267355.004,46.031204169355483,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,vector_packet,8,134217728,1,0,0,189,0.078054095071459578,134217728,16777216,134217728,0,1719547550671.3882,1719.5475506713881,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_unrolled,2,134217728,1,0,0,73,0.20631232326977875,134217728,134217728,134217728,0,650556039856.59058,650.55603985659059,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,2,69206016,256,0,0,1310,0.0094760792855998026,270336,270336,69206016,0,7303233110888.8037,28.52825433940939,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,8,4429185024,4096,0,0,89,0.16532997602827093,0,0,0,8858370048,26789969553026.625,0,53579.939106053251
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_single,1,134217728,1,0,0,37,0.41142571939004435,134217728,134217728,134217728,0,326225905854.84869,326.22590585484869,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,2,1107296256,4096,0,0,119,0.12408174787248884,0,0,0,2214592512,8923925355547.8594,0,17847.850711095718
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_unrolled,4,134217728,1,0,0,134,0.11074005667843036,134217728,134217728,134217728,0,1212007037252.5154,1212.0070372525154,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,1,553648128,4096,0,0,149,0.098829531829629169,0,0,0,1107296256,5602051509810.1055,0,11204.10301962021
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_unrolled,8,134217728,1,0,0,224,0.065451140914644518,134217728,134217728,134217728,0,2050655284604.3535,2050.6552846043537,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,8,276824064,256,0,0,591,0.022926403181201916,1081344,1081344,276824064,0,12074465489073.176,47.165880816692095,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_single,1,134217728,1,0,0,38,0.40202778264095906,134217728,134217728,134217728,0,333851872421.13184,333.85187242113182,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,4,2214592512,4096,0,0,130,0.11341809492844801,0,0,0,4429185024,19525918799792.203,0,39051.837599584404
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,2,1107296256,4096,0,0,149,0.09869615823630519,0,0,0,2214592512,11219243745524.871,0,22438.487491049742
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_unrolled,8,134217728,1,0,0,220,0.066559856588190247,134217728,134217728,0,0,2016496652485.4915,2016.4966524854915,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,1,553648128,4096,0,0,143,0.1032405066323447,0,0,0,1107296256,5362702548251.0078,0,10725.405096502016
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,vector_packet,4,134217728,1,0,0,131,0.1142377998992687,134217728,33554432,134217728,0,1174897696894.9768,1174.8976968949769,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_unrolled,2,134217728,1,0,0,73,0.20623342958215166,134217728,134217728,134217728,0,650804907196.36353,650.8049071963635,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,2,1107296256,4096,0,0,114,0.13011312484741211,0,0,0,2214592512,8510257956670.876,0,17020.515913341751
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_unrolled,4,134217728,1,0,0,134,0.11141492359673799,134217728,134217728,0,0,1204665619893.0396,1204.6656198930395,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,8,276824064,256,0,0,856,0.015336598191305856,1081344,1081344,276824064,0,18049900020001.074,70.507421953129196,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp16,register_resident,4,138412032,256,0,0,1267,0.0094686152903038206,540672,540672,138412032,0,14617980323029.762,57.101485636835008,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,vector_packet,2,134217728,1,0,0,73,0.20588186342422277,134217728,67108864,134217728,0,651916228888.22559,651.91622888822553,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,1,34603008,256,0,0,1434,0.0081665160100662885,135168,135168,34603008,0,4237181186854.6284,16.551489011150892,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_unrolled,2,134217728,1,0,0,73,0.20551539120608814,134217728,134217728,0,0,653078716938.56848,653.0787169385685,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,4,2214592512,4096,0,0,90,0.16408319473266603,0,0,0,4429185024,13496766171624.973,0,26993.532343249946
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,vector_packet,4,134217728,1,0,0,138,0.10791327296823695,134217728,33554432,0,0,1243755511330.895,1243.7555113308949,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,1,553648128,4096,0,0,149,0.098585128784179688,0,0,0,1107296256,5615939592796.332,0,11231.879185592665
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,1,34603008,256,0,0,1144,0.0081347135397104118,135168,135168,34603008,0,4253746346577.7837,16.616196666319468,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,4,138412032,256,0,0,946,0.013699145448132246,540672,540672,138412032,0,10103698257972.086,39.467571320203461,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_unrolled,8,134217728,1,0,0,223,0.06563429554481677,134217728,134217728,134217728,0,2044932864531.9688,2044.9328645319688,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,4,2214592512,4096,0,0,96,0.15455533067385355,0,0,0,4429185024,14328800581283.654,0,28657.601162567309
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_unrolled,4,134217728,1,0,0,127,0.11835162095197542,134217728,134217728,134217728,0,1134059059946.9922,1134.0590599469922,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_single,1,134217728,1,0,0,38,0.40195452539544357,134217728,134217728,134217728,0,333912717783.07849,333.91271778307851,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,2,69206016,256,0,0,1209,0.01022094256430248,270336,270336,69206016,0,6771001359669.8955,26.449224061210529,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,vector_packet,2,134217728,1,0,0,71,0.212600331910899,134217728,67108864,134217728,0,631314762275.39832,631.31476227539827,0
