distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,native_arithmetic,native_time_ms,mixed_fp64_time_ms,mixed_over_native_slowdown
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,1048576,bf16,0.006875474016823872,0.007098323526112917,1.0324122393225175
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,134217728,bf16,0.47962599992752075,0.4884087654852098,1.0183116961111705
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,16777216,bf16,0.0668110303138489,0.06800295130997759,1.0178401828340256
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,4096,bf16,0.005277445216378766,0.0054109416583168835,1.0252956566036546
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,65536,bf16,0.005319965260946722,0.005415344893084606,1.017928619353599
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,1048576,bf16,0.006175540165347947,0.006393657229790974,1.035319511913617
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,134217728,bf16,0.25950675175107757,0.2689057077680315,1.0362185413424987
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,16777216,bf16,0.039148033142089846,0.04048546615054128,1.0341634790079275
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,4096,bf16,0.00531886273119823,0.005414210634278546,1.0179263703349675
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,65536,bf16,0.0053202270558386135,0.005415913154338968,1.0179853411322635
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,1048576,bf16,0.005975608989668431,0.006203665324178697,1.0381645343436234
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,134217728,bf16,0.15904976694207443,0.1704552715474909,1.071710288073357
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,16777216,bf16,0.026750269220836127,0.028189214562539668,1.0537918078440396
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,4096,bf16,0.005368418150782061,0.005414677037339266,1.008616856075279
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,65536,bf16,0.005404373551157198,0.005417964177693198,1.0025147459566504
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,1048576,bf16,0.006689385020922963,0.0069115735197847064,1.033215086015648
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,134217728,bf16,0.15346738481030023,0.16108695320461108,1.0496494314002245
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,16777216,bf16,0.02577296312708054,0.027102111450420536,1.051571420670036
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,4096,bf16,0.005507229932872804,0.005602126128509328,1.0172312027631325
