distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,x1_time_ms,speedup_over_x1
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,1048576,0.006094358096770994,0.006875474016823872,1.128170335193585
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,134217728,0.25740258168366,0.47962599992752075,1.8633301841430894
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,16777216,0.03883908724595128,0.0668110303138489,1.720200835070178
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,4096,0.00523539384206136,0.005277445216378766,1.0080321319820418
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,65536,0.005210725715361446,0.005319965260946722,1.0209643630374237
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,1048576,0.0058879148308039345,0.006875474016823872,1.1677264726815173
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,134217728,0.15700067083040872,0.47962599992752075,3.054929621578561
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,16777216,0.02645674571258712,0.0668110303138489,2.5252928322950443
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,4096,0.005266242406585,0.005277445216378766,1.0021272871487568
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,65536,0.005265944806484564,0.005319965260946722,1.0102584543604856
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,1048576,0.006010935778828042,0.006875474016823872,1.1438275619315283
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,134217728,0.12983522917094983,0.47962599992752075,3.694112938299764
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,16777216,0.02300414646106363,0.0668110303138489,2.9043038143985016
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,4096,0.005343074246678298,0.005277445216378766,0.9877169907679398
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,65536,0.005351724295780577,0.005319965260946722,0.9940656444393269
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,1048576,0.006875474016823872,0.006875474016823872,1.0
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,134217728,0.47962599992752075,0.47962599992752075,1.0
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,16777216,0.0668110303138489,0.0668110303138489,1.0
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,4096,0.005277445216378766,0.005277445216378766,1.0
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,65536,0.005319965260946722,0.005319965260946722,1.0
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,1048576,0.006175540165347947,0.006875474016823872,1.1133396970524745
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,134217728,0.25950675175107757,0.47962599992752075,1.8482216616374767
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,16777216,0.039148033142089846,0.0668110303138489,1.706625466248962
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,4096,0.00531886273119823,0.005277445216378766,0.992213088227202
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,65536,0.0053202270558386135,0.005319965260946722,0.9999507925340133
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,1048576,0.005975608989668431,0.006875474016823872,1.1505896769201713
