profile_sequence,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,useful_flops,logical_storage_bytes,modeled_load_instructions,timing_status
0,normal_0_1,gemv,fp16_e5m10,16,fp16,scalar_single,1,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,profiler_contaminated
1,normal_0_1,gemv,fp16_e5m10,16,fp16,scalar_unrolled,2,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,profiler_contaminated
2,normal_0_1,gemv,fp16_e5m10,16,fp16,vector_packet,2,1024,65536,1.34218e+08,1.34349e+08,6.71089e+07,profiler_contaminated
3,normal_0_1,gemv,fp16_e5m10,16,fp16,scalar_unrolled,4,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,profiler_contaminated
4,normal_0_1,gemv,fp16_e5m10,16,fp16,vector_packet,4,1024,65536,1.34218e+08,1.34349e+08,3.35544e+07,profiler_contaminated
5,normal_0_1,gemv,fp16_e5m10,16,fp16,scalar_unrolled,8,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,profiler_contaminated
6,normal_0_1,gemv,fp16_e5m10,16,fp16,vector_packet,8,1024,65536,1.34218e+08,1.34349e+08,1.67772e+07,profiler_contaminated
7,normal_0_1,gemv,fp16_e5m10,16,fp16,packed_arithmetic,2,1024,65536,1.34218e+08,1.34349e+08,6.71089e+07,profiler_contaminated
8,normal_0_1,gemv,fp16_e5m10,16,fp16,packed_arithmetic,4,1024,65536,1.34218e+08,1.34349e+08,3.35544e+07,profiler_contaminated
9,normal_0_1,gemv,fp16_e5m10,16,fp16,packed_arithmetic,8,1024,65536,1.34218e+08,1.34349e+08,1.67772e+07,profiler_contaminated
