format,arithmetic,kernel,report_base,report_bytes,report_status
fp16,fp16,dot,profile/fp16/fp16/dot/fp16_fp16_dot_20260810T181143Z,2893125,tracked
fp16,fp16,gemv,profile/fp16/fp16/gemv/fp16_fp16_gemv_20260810T181143Z,1952583,tracked
fp16,fp64,dot,profile/fp16/fp64/dot/fp16_fp64_dot_20260810T181143Z,2340231,tracked
fp16,fp64,gemv,profile/fp16/fp64/gemv/fp16_fp64_gemv_20260810T181143Z,1684452,tracked
bf16,bf16,dot,profile/bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z,2899238,tracked
bf16,bf16,gemv,profile/bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z,1957637,tracked
bf16,fp64,dot,profile/bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z,2346344,tracked
bf16,fp64,gemv,profile/bf16/fp64/gemv/bf16_fp64_gemv_20260810T181143Z,1689959,tracked
fp32,fp32,dot,profile/fp32/fp32/dot/fp32_fp32_dot_20260810T181143Z,2222727,tracked
fp32,fp32,gemv,profile/fp32/fp32/gemv/fp32_fp32_gemv_20260810T181143Z,1561908,tracked
fp32,fp64,dot,profile/fp32/fp64/dot/fp32_fp64_dot_20260810T181143Z,2223109,tracked
fp32,fp64,gemv,profile/fp32/fp64/gemv/fp32_fp64_gemv_20260810T181143Z,1566072,tracked
fp8_e4m3,fp16,dot,profile/fp8_e4m3/fp16/dot/fp8_e4m3_fp16_dot_20260810T181143Z,2734739,tracked
fp8_e4m3,fp16,gemv,profile/fp8_e4m3/fp16/gemv/fp8_e4m3_fp16_gemv_20260810T181143Z,2081290,tracked
fp8_e4m3,fp32,dot,profile/fp8_e4m3/fp32/dot/fp8_e4m3_fp32_dot_20260810T181143Z,2735141,tracked
fp8_e4m3,fp32,gemv,profile/fp8_e4m3/fp32/gemv/fp8_e4m3_fp32_gemv_20260810T181143Z,2076321,tracked
fp8_e4m3,fp64,dot,profile/fp8_e4m3/fp64/dot/fp8_e4m3_fp64_dot_20260810T181143Z,2738497,tracked
fp8_e4m3,fp64,gemv,profile/fp8_e4m3/fp64/gemv/fp8_e4m3_fp64_gemv_20260810T181143Z,2077736,tracked
fp8_e5m2,fp16,dot,profile/fp8_e5m2/fp16/dot/fp8_e5m2_fp16_dot_20260810T181143Z,2734869,tracked
fp8_e5m2,fp16,gemv,profile/fp8_e5m2/fp16/gemv/fp8_e5m2_fp16_gemv_20260810T181143Z,2080365,tracked
fp8_e5m2,fp32,dot,profile/fp8_e5m2/fp32/dot/fp8_e5m2_fp32_dot_20260810T181143Z,2734022,tracked
fp8_e5m2,fp32,gemv,profile/fp8_e5m2/fp32/gemv/fp8_e5m2_fp32_gemv_20260810T181143Z,2076556,tracked
fp8_e5m2,fp64,dot,profile/fp8_e5m2/fp64/dot/fp8_e5m2_fp64_dot_20260810T181143Z,2736423,tracked
fp8_e5m2,fp64,gemv,profile/fp8_e5m2/fp64/gemv/fp8_e5m2_fp64_gemv_20260810T181143Z,2076823,tracked
fp4_e2m1,fp16,dot,profile/fp4_e2m1/fp16/dot/fp4_e2m1_fp16_dot_20260810T181143Z,3955138,tracked
fp4_e2m1,fp16,gemv,profile/fp4_e2m1/fp16/gemv/fp4_e2m1_fp16_gemv_20260810T181143Z,3306702,tracked
fp4_e2m1,fp32,dot,profile/fp4_e2m1/fp32/dot/fp4_e2m1_fp32_dot_20260810T181143Z,3949394,tracked
fp4_e2m1,fp32,gemv,profile/fp4_e2m1/fp32/gemv/fp4_e2m1_fp32_gemv_20260810T181143Z,3300130,tracked
fp4_e2m1,fp64,dot,profile/fp4_e2m1/fp64/dot/fp4_e2m1_fp64_dot_20260810T181143Z,3952595,tracked
fp4_e2m1,fp64,gemv,profile/fp4_e2m1/fp64/gemv/fp4_e2m1_fp64_gemv_20260810T181143Z,3301866,tracked
fp64,fp64,dot,profile/fp64/fp64/dot/fp64_fp64_dot_20260810T181143Z,1829677,tracked
fp64,fp64,gemv,profile/fp64/fp64/gemv/fp64_fp64_gemv_20260810T181143Z,1170693,tracked
