distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,useful_flops,logical_storage_bytes,modeled_load_instructions,report,kernel_role,kernel_name,block_size,grid_size,duration_ns,dram_read_bytes,dram_write_bytes,instructions,fp32_add_instructions,fp32_mul_instructions,fp32_fma_instructions,fp64_add_instructions,fp64_mul_instructions,fp64_fma_instructions,dram_percent_peak,sm_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,achieved_occupancy_percent,eligible_warps_per_scheduler,long_scoreboard_stall_percent,math_pipe_throttle_percent,mio_throttle_percent,registers_per_thread,shared_memory_bytes,duration_ms
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 1, 0, 1>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",499040.0,536880128.0,2375168.0,59142656.0,0.0,0.0,0.0,0.0,0.0,0.0,23.48,18.8,0.0,4.95,49.78,0.19,nan,nan,nan,18.0,1536.0,0.49904
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3680.0,5120.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,38.68,11.47,0.09,nan,nan,nan,16.0,3072.0,0.0036799999999999997
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 1, 1, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",268064.0,536942336.0,2434816.0,38196480.0,0.0,0.0,0.0,0.0,0.0,0.0,43.72,22.08,50.0,0.5,49.32,0.25,nan,nan,nan,22.0,1536.0,0.26806399999999997
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",4000.0,4864.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,33.9,13.97,0.09,nan,nan,nan,16.0,3072.0,0.004
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 1, 2, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",266112.0,536936448.0,2455808.0,38196480.0,0.0,0.0,0.0,0.0,0.0,0.0,44.05,26.65,0.0,0.65,49.79,0.27,nan,nan,nan,22.0,1536.0,0.266112
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3712.0,4864.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,33.38,12.53,0.09,nan,nan,nan,16.0,3072.0,0.003712
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 1, 1, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",164448.0,536892160.0,2430976.0,26660560.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24,29.32,75.0,0.91,49.74,0.29,nan,nan,nan,26.0,1536.0,0.16444799999999998
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3744.0,5120.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,40.91,13.04,0.09,nan,nan,nan,16.0,3072.0,0.003744
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 1, 2, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",162080.0,536890880.0,2450176.0,23527504.0,0.0,0.0,0.0,0.0,0.0,0.0,72.33,26.36,0.0,0.84,49.9,0.28,nan,nan,nan,26.0,1536.0,0.16208
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",4096.0,4864.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,33.14,8.13,0.09,nan,nan,nan,16.0,3072.0,0.004096
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 1, 1, 8>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",197376.0,536889344.0,2409472.0,21447248.0,0.0,0.0,0.0,0.0,0.0,0.0,59.34,24.36,87.5,0.49,49.92,0.17,nan,nan,nan,29.0,1536.0,0.197376
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3680.0,5120.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,34.2,11.81,0.08,nan,nan,nan,16.0,3072.0,0.0036799999999999997
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,134217728,2.68435e+08,5.36871e+08,3.35544e+07,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 1, 2, 8>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",131808.0,536892928.0,2459136.0,17773008.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88,27.44,0.0,0.59,49.76,0.28,nan,nan,nan,24.0,1536.0,0.13180799999999998
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,134217728,2.68435e+08,5.36871e+08,3.35544e+07,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3648.0,4864.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.04,0.0,33.81,10.66,0.08,nan,nan,nan,16.0,3072.0,0.0036479999999999998
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void packed_arithmetic_dot_map<storage::bf16_e8m7, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, storage::codec<T1>::storage_type *)","(256, 1, 1)","(528, 1, 1)",265248.0,536913920.0,2426112.0,29736064.0,0.0,0.0,0.0,0.0,0.0,0.0,44.18,17.85,0.0,0.9,49.71,0.19,nan,nan,nan,16.0,1536.0,0.265248
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3712.0,4864.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,35.26,11.09,0.09,nan,nan,nan,16.0,3072.0,0.003712
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void packed_arithmetic_dot_map<storage::bf16_e8m7, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, storage::codec<T1>::storage_type *)","(256, 1, 1)","(528, 1, 1)",161568.0,536891392.0,2577408.0,18214400.0,0.0,0.0,0.0,0.0,0.0,0.0,72.54,16.05,50.0,0.93,49.94,0.19,nan,nan,nan,20.0,1536.0,0.161568
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3872.0,4864.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,41.74,11.87,0.08,nan,nan,nan,16.0,3072.0,0.003872
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,134217728,2.68435e+08,5.36871e+08,3.35544e+07,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,map,"void packed_arithmetic_dot_map<storage::bf16_e8m7, 8>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, storage::codec<T1>::storage_type *)","(256, 1, 1)","(528, 1, 1)",132448.0,536890368.0,2452480.0,12458320.0,0.0,0.0,0.0,0.0,0.0,0.0,88.47,18.78,75.0,0.75,49.95,0.16,nan,nan,nan,26.0,1536.0,0.13244799999999998
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,134217728,2.68435e+08,5.36871e+08,3.35544e+07,bf16/bf16/dot/bf16_bf16_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3776.0,4608.0,0.0,752.0,0.0,0.0,0.0,783.0,0.0,0.0,0.03,0.03,0.0,41.74,12.06,0.07,nan,nan,nan,16.0,3072.0,0.003776
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_single,1,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void gemv<bf16_e8m7, 1, 0, 1>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",125920.0,134370816.0,2447104.0,34375680.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,39.28,43.55,17.93,96.55,0.59,nan,nan,nan,18.0,1536.0,0.12592
