distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,useful_flops,logical_storage_bytes,modeled_load_instructions,kernel_count,kernel_names,duration_ns,dram_read_bytes,dram_write_bytes,instructions,fp32_add_instructions,fp32_mul_instructions,fp32_fma_instructions,fp64_add_instructions,fp64_mul_instructions,fp64_fma_instructions,dram_percent_peak,sm_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,achieved_occupancy_percent,eligible_warps_per_scheduler,long_scoreboard_stall_percent,math_pipe_throttle_percent,mio_throttle_percent,registers_per_thread,shared_memory_bytes,duration_ms,dram_total_bytes,measured_dram_gb_per_s,instructions_per_logical_value
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,2,"void dot_map<storage::bf16_e8m7, 1, 0, 1>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",502720.0,536885248.0,2375168.0,59143408.0,0.0,0.0,0.0,783.0,0.0,0.0,23.3083418204965,18.662600254614897,0.0,5.196909611712285,49.499563971992366,0.18926798217695737,nan,nan,nan,18.0,3072.0,0.50272,539260416.0,1072.6854232972628,0.4406527280807495
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,2,"void dot_map<storage::bf16_e8m7, 1, 1, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",272064.0,536947200.0,2434816.0,38197232.0,0.0,0.0,0.0,783.0,0.0,0.0,43.077651140908024,21.75581157374735,49.26487885203481,0.9910609268407433,48.80026934838862,0.24764761232651142,nan,nan,nan,22.0,3072.0,0.272064,539382016.0,1982.5556339684779,0.28459155559539795
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,2,"void dot_map<storage::bf16_e8m7, 1, 2, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",269824.0,536941312.0,2455808.0,38197232.0,0.0,0.0,0.0,783.0,0.0,0.0,43.444411764705876,26.28378557874763,0.0,1.1002703984819735,49.27740986717267,0.26752371916508544,nan,nan,nan,22.0,3072.0,0.269824,539397120.0,1999.070208728653,0.28459155559539795
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,2,"void dot_map<storage::bf16_e8m7, 1, 1, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",168192.0,536897280.0,2430976.0,26661312.0,0.0,0.0,0.0,783.0,0.0,0.0,69.65484589041095,28.66799657534247,73.33047945205479,1.8004109589041095,48.92304794520548,0.28554794520547944,nan,nan,nan,26.0,3072.0,0.16819199999999998,539328256.0,3206.6225266362253,0.19864225387573242
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,2,"void dot_map<storage::bf16_e8m7, 1, 2, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",166176.0,536895744.0,2450176.0,23528256.0,0.0,0.0,0.0,783.0,0.0,0.0,70.54790872328135,25.711003273637587,0.0,1.636148661659927,48.87042942422492,0.27531677257847104,nan,nan,nan,26.0,3072.0,0.166176,539345920.0,3245.630656653187,0.17529916763305664
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,2,"void dot_map<storage::bf16_e8m7, 1, 1, 8>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",201056.0,536894464.0,2409472.0,21448000.0,0.0,0.0,0.0,783.0,0.0,0.0,58.25442782110457,23.914679293331215,85.89845615151998,1.1070062072258475,49.222459016393444,0.16835269775584916,nan,nan,nan,29.0,3072.0,0.20105599999999998,539303936.0,2682.3568359064143,0.15980005264282227
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,134217728,2.68435e+08,5.36871e+08,3.35544e+07,2,"void dot_map<storage::bf16_e8m7, 1, 2, 8>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",135456.0,536897792.0,2459136.0,17773760.0,0.0,0.0,0.0,783.0,0.0,0.0,86.48715804394045,26.702083628632174,0.0,1.4846562721474132,48.70698795180723,0.27461374911410347,nan,nan,nan,24.0,3072.0,0.135456,539356928.0,3981.7869123553037,0.13242483139038086
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,2,"void packed_arithmetic_dot_map<storage::bf16_e8m7, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, storage::codec<T1>::storage_type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",268960.0,536918784.0,2426112.0,29736816.0,0.0,0.0,0.0,783.0,0.0,0.0,43.57067221891731,17.604060678167762,0.0,1.3742129684711482,49.17699345627603,0.18861986912552053,nan,nan,nan,16.0,3072.0,0.26896,539344896.0,2005.2977989292087,0.22155654430389404
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,2,"void packed_arithmetic_dot_map<storage::bf16_e8m7, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, storage::codec<T1>::storage_type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",165440.0,536896256.0,2577408.0,18215152.0,0.0,0.0,0.0,783.0,0.0,0.0,70.84295744680851,15.675063829787234,48.829787234042556,1.8851276595744682,49.049,0.1874255319148936,nan,nan,nan,20.0,3072.0,0.16544,539473664.0,3260.8417794970983,0.13571345806121826
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,134217728,2.68435e+08,5.36871e+08,3.35544e+07,2,"void packed_arithmetic_dot_map<storage::bf16_e8m7, 8>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, storage::codec<T1>::storage_type *) | void dot_finalize<1>(const arithmetic<T1>::type *, unsigned long, double *)",136224.0,536894976.0,2452480.0,12459072.0,0.0,0.0,0.0,783.0,0.0,0.0,86.01852713178295,18.26026779422128,72.92107117688514,1.8862038994597135,48.89972515856237,0.15750528541226216,nan,nan,nan,26.0,3072.0,0.13622399999999998,539347456.0,3959.2689687573406,0.09282732009887695
