distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,hbm_floor_ms,stream_load_scaled_component_ms,stream_decode_scaled_component_ms,register_decode_scaled_component_ms,arithmetic_chain_scaled_component_ms,note
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,1048576,0.006875474016823872,0.0009837333112955094,0.006328445834082526,0.006348635296563845,0.0005216672796412818,0.00018687019037673164,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,134217728,0.47962599992752075,0.1259178638458252,0.8100410667625634,0.8126253179601721,0.06677341179408407,0.02391938436822165,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,16777216,0.0668110303138489,0.01573973298072815,0.10125513334532042,0.10157816474502152,0.008346676474260508,0.002989923046027706,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,4096,0.005277445216378766,3.842708247248084e-06,2.472049153938487e-05,2.479935662720252e-05,2.037762811098757e-06,7.29961681159108e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,65536,0.005319965260946722,6.148333195596934e-05,0.0003955278646301579,0.0003967897060352403,3.260420497758011e-05,1.1679386898545727e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,1048576,0.006175540165347947,0.0009837333112955094,0.00332433090243541,0.003329838035811841,0.00026089240893703076,9.323245920930326e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,134217728,0.25950675175107757,0.1259178638458252,0.4255143555117325,0.4262192685839156,0.03339422834393994,0.011933754778790818,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,16777216,0.039148033142089846,0.01573973298072815,0.05318929443896656,0.05327740857298945,0.004174278542992492,0.0014917193473488522,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,4096,0.00531886273119823,3.842708247248084e-06,1.2985667587638321e-05,1.3007179827390003e-05,1.0191109724102764e-06,3.641892937863409e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,65536,0.0053202270558386135,6.148333195596934e-05,0.00020777068140221314,0.00020811487723824005,1.6305775558564422e-05,5.827028700581454e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,1048576,0.005975608989668431,0.0009837333112955094,0.001864838744363477,0.0018486239910125732,0.00014554180585400175,5.361526718228569e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,134217728,0.15904976694207443,0.1259178638458252,0.23869935927852506,0.23662387084960937,0.018629351149312225,0.006862754199332568,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,16777216,0.026750269220836127,0.01573973298072815,0.029837419909815633,0.02957798385620117,0.002328668893664028,0.000857844274916571,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,4096,0.005368418150782061,3.842708247248084e-06,7.284526345169832e-06,7.221187464892864e-06,5.685226791171944e-07,2.0943463743080347e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,65536,0.005404373551157198,6.148333195596934e-05,0.00011655242152271732,0.00011553899943828582,9.09636286587511e-06,3.3509541988928556e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,1048576,0.006689385020922963,0.0009837333112955094,0.00135135878534878,0.001330338117015155,0.0001383739219165202,3.9716718916914115e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,134217728,0.15346738481030023,0.1259178638458252,0.17297392452464383,0.17028327897793985,0.017711862005314584,0.005083740021365007,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,16777216,0.02577296312708054,0.01573973298072815,0.02162174056558048,0.02128540987224248,0.002213982750664323,0.0006354675026706258,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,4096,0.005507229932872804,3.842708247248084e-06,5.2787452552686716e-06,5.1966332695904495e-06,5.40523132486407e-07,1.5514343326919576e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,65536,0.0055593258233239806,6.148333195596934e-05,8.445992408429874e-05,8.314613231344719e-05,8.648370119782512e-06,2.4822949323071322e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,1048576,0.006165623474121093,0.0009837333112955094,0.003299197260762604,0.003302535120870026,0.00026089240893703076,9.323245920930326e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,134217728,0.25745409626071736,0.1259178638458252,0.4222972493776133,0.4227244954713633,0.03339422834393994,0.011933754778790818,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,16777216,0.03890999427974691,0.01573973298072815,0.052787156172201664,0.052840561933920414,0.004174278542992492,0.0014917193473488522,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,4096,0.005318894174312113,3.842708247248084e-06,1.2887489299853922e-05,1.2900527815898539e-05,1.0191109724102764e-06,3.641892937863409e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,65536,0.005319710697036192,6.148333195596934e-05,0.00020619982879766275,0.00020640844505437662,1.6305775558564422e-05,5.827028700581454e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,1048576,0.005975325819604975,0.0009837333112955094,0.0018338582177800456,0.0018324404954910278,0.00014554180585400175,5.361526718228569e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,134217728,0.1569121712132504,0.1259178638458252,0.23473385187584583,0.23455238342285156,0.018629351149312225,0.006862754199332568,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,16777216,0.026536998358074736,0.01573973298072815,0.02934173148448073,0.029319047927856445,0.002328668893664028,0.000857844274916571,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,4096,0.0053454525323786695,3.842708247248084e-06,7.163508663203303e-06,7.1579706855118275e-06,5.685226791171944e-07,2.0943463743080347e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,65536,0.005353485380670689,6.148333195596934e-05,0.00011461613861125285,0.00011452753096818924,9.09636286587511e-06,3.3509541988928556e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,1048576,0.005989382390946788,0.0009837333112955094,0.0012387635753206584,0.001235789916616805,0.0001383739219165202,3.9716718916914115e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,134217728,0.12954364202718818,0.1259178638458252,0.15856173764104428,0.15818110932695104,0.017711862005314584,0.005083740021365007,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,16777216,0.02303300153245639,0.01573973298072815,0.019820217205130535,0.01977263866586888,0.002213982750664323,0.0006354675026706258,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,4096,0.0053688183878407335,3.842708247248084e-06,4.838920216096322e-06,4.827304361784394e-06,5.40523132486407e-07,1.5514343326919576e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,65536,0.005377422383079659,6.148333195596934e-05,7.742272345754115e-05,7.723686978855031e-05,8.648370119782512e-06,2.4822949323071322e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,1048576,0.007098323526112917,0.0009837333112955094,0.006328445834082526,0.006466189349019849,0.0005064657141058875,0.0001957127669404014,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
