gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,4096,0,0,2047,0.0052610219369356257,8192,16384,8192,1019.6833909722045,0,0,1.557111925819411,3.1142238516388221
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,4096,0,0,2093,0.0053191401431051328,8192,16384,8192,1019.6833909722045,0,0,1.5400985459311078,3.0801970918622157
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,4096,0,0,1978,0.0055078177649765091,8192,16384,8192,1018,1.6833909722045064,0.0016508957457858544,1.4873404222071132,2.9746808444142263
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,4096,0,0,2047,0.0053200663504626147,8192,16384,8192,1019.6833909722045,0,0,1.5398304194622781,3.0796608389245561
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,4096,0,0,2065,0.005319174611828229,8192,16384,4096,1019.5,0.1833909722045064,0.00017985089668828925,1.5400885659559813,3.0801771319119626
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,4096,0,0,2021,0.0055064385860996165,8192,16384,8192,1019.6833909722045,0,0,1.4877129512857514,2.9754259025715029
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,4096,0,0,2047,0.0053675585859976113,8192,16384,8192,1020,0.3166090277954936,0.00031049738634423245,1.5262059777736807,3.0524119555473614
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,4096,0,0,2065,0.0052383302776345909,8192,16384,4096,1019.5,0.1833909722045064,0.00017985089668828925,1.5638571006063333,3.1277142012126666
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,4096,0,0,1995,0.005370546403086574,8192,16384,1024,1018,1.6833909722045064,0.0016508957457858544,1.525356897631845,3.05071379526369
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,8,1,4096,0,0,2075,0.005354934140860316,8192,16384,1024,1018,1.6833909722045064,0.0016508957457858544,1.5298040619195898,3.0596081238391797
