gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,4,1,4096,0,0,2075,0.0053206050826842526,8192,65536,4096,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.5396745055671608,12.317396044537286
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_single,1,1,4096,0,0,1769,0.0052695444170669896,8192,65536,8192,1019.6924867658463,0,0,1.5545935951251815,12.436748761001452
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,8,1,4096,0,0,1718,0.0065220770652691063,8192,65536,8192,1019.6924867658463,0,0,1.256041582768693,10.048332662149544
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,8,1,4096,0,0,1995,0.0058841982580964125,8192,65536,4096,1019.6924867658463,0,0,1.3922032604404768,11.137626083523815
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,2,1,4096,0,0,2122,0.0053192987181351617,8192,65536,4096,1019.6924867658463,0,0,1.5400526336433966,12.320421069147173
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,2,1,4096,0,0,2012,0.0053199840113372495,8192,65536,8192,1019.6924867658463,0,0,1.5398542519192326,12.318834015353861
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,4,1,4096,0,0,2039,0.0054958861735944012,8192,65536,8192,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.4905694443526469,11.924555554821175
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,8,1,4096,0,1,1718,0.0065145331572598157,8192,65536,8192,1019.6924867658463,0,0,1.2574960940786388,10.059968752629111
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,4,1,4096,0,1,2075,0.0053211294886577557,8192,65536,4096,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.5395227681381638,12.31618214510531
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,8,1,4096,0,1,1995,0.0058829635008235924,8192,65536,4096,1019.6924867658463,0,0,1.3924954657381694,11.139963725905355
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_single,1,1,4096,0,1,1769,0.0052564296431296155,8192,65536,8192,1019.6924867658463,0,0,1.5584723008149273,12.467778406519418
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,4,1,4096,0,1,2039,0.0054958861735944012,8192,65536,8192,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.4905694443526469,11.924555554821175
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,2,1,4096,0,1,2012,0.0053202385456851175,8192,65536,8192,1019.6924867658463,0,0,1.5397805812004375,12.3182446496035
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,2,1,4096,0,1,2122,0.0053202640774337668,8192,65536,4096,1019.6924867658463,0,0,1.5397731918509234,12.318185534807387
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,2,1,4096,0,2,2012,0.0053197612345337155,8192,65536,8192,1019.6924867658463,0,0,1.5399187367321834,12.319349893857467
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,4,1,4096,0,2,2075,0.0053213147082960752,8192,65536,4096,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.5394691817848036,12.315753454278429
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,2,1,4096,0,2,2122,0.005319887012046649,8192,65536,4096,1019.6924867658463,0,0,1.5398823286001335,12.319058628801068
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,4,1,4096,0,2,2039,0.0054986012689385595,8192,65536,8192,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.4898334320541431,11.918667456433145
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,8,1,4096,0,2,1995,0.0058839898360402961,8192,65536,4096,1019.6924867658463,0,0,1.3922525749148658,11.138020599318926
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,8,1,4096,0,2,1718,0.0065212388532680738,8192,65536,8192,1019.6924867658463,0,0,1.2562030289527941,10.049624231622353
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_single,1,1,4096,0,2,1769,0.0052691282290668389,8192,65536,8192,1019.6924867658463,0,0,1.554716386443076,12.437731091544608
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_single,1,1,4096,0,3,1769,0.0052525766695064634,8192,65536,8192,1019.6924867658463,0,0,1.5596155021511999,12.476924017209599
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,8,1,4096,0,3,1995,0.0058842785675125315,8192,65536,4096,1019.6924867658463,0,0,1.3921842594653051,11.137474075722441
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,8,1,4096,0,3,1718,0.006514663607471897,8192,65536,8192,1019.6924867658463,0,0,1.2574709138633509,10.059767310906807
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,4,1,4096,0,3,2039,0.0054967023392060391,8192,65536,8192,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.4903481204665847,11.922784963732678
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,4,1,4096,0,3,2075,0.0053211759084678557,8192,65536,4096,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.5395093379573594,12.316074703658876
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,2,1,4096,0,3,2122,0.0053204447452354607,8192,65536,4096,1019.6924867658463,0,0,1.5397209053502643,12.317767242802114
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,2,1,4096,0,3,2012,0.0053200953997390174,8192,65536,8192,1019.6924867658463,0,0,1.5398220115379635,12.318576092303708
