gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,4096,0,0,1970,0.0056500468762392926,8192,8192,8192,1019.6424903869629,0,0,1.4498994750734966,1.4498994750734966
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,4,1,4096,0,0,1995,0.005536753910227228,8192,8192,8192,1019.6424713134766,1.9073486328125e-05,1.8706052864554958e-08,1.4795672939099076,1.4795672939099076
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,8,1,4096,0,0,2012,0.0057734073274889235,8192,8192,8192,1019.5,0.14249038696289062,0.00013974543852994428,1.4189194587042959,1.4189194587042959
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,2,1,4096,0,0,2047,0.0055364847299699729,8192,8192,8192,1019.6425018310547,1.1444091796875e-05,1.1223631718732976e-08,1.4796392295015739,1.4796392295015739
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,2,1,4096,0,0,1987,0.005583041747371096,8192,8192,4096,1019.5625,0.079990386962890625,7.8449444503370588e-05,1.4673005094144949,1.4673005094144949
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,8,1,4096,0,0,2030,0.0055383170179545589,8192,8192,8192,1019.6424560546875,3.4332275390625e-05,3.3670895156198924e-08,1.4791497080146405,1.4791497080146405
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,4,1,4096,0,0,1970,0.0057724589623775581,8192,8192,8192,1019.875,0.23250961303710938,0.00022803052562949788,1.4191525749064626,1.4191525749064626
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,4096,0,0,1995,0.0055376201046439342,8192,8192,8192,1019.6424903869629,0,0,1.4793358600258733,1.4793358600258733
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,4096,0,0,1970,0.0056497869152708101,8192,8192,1024,1019.6424903869629,0,0,1.4499661886110857,1.4499661886110857
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,4096,0,0,2030,0.0055382855420042145,8192,8192,4096,1019.6424903869629,0,0,1.4791581145228296,1.4791581145228296
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,4096,0,0,1987,0.0055371593097135775,8192,8192,8192,1019.6424903869629,0,0,1.4794589683611161,1.4794589683611161
