distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,1048576,15,0.006094358096770994,0.0060936529619728345,0.006098398785639808,1.4097571437044626e-06,0.00609263830579525,0.006099293015452882,2097152.0,4194304.0,1048576.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,134217728,15,0.25740258168366,0.2573700355271161,0.25742318266529146,2.4407596911413254e-05,0.2572832592463089,0.2575614896871276,268435456.0,536870912.0,134217728.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,16777216,15,0.03883908724595128,0.03883361310478231,0.03884727822058397,6.620068132720536e-06,0.03882516663649987,0.0388838188717789,33554432.0,67108864.0,16777216.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,4096,15,0.00523539384206136,0.00523383328408906,0.005236666536692417,1.3636820244073214e-06,0.005231787761052449,0.00525081835009835,8192.0,16384.0,4096.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,2,1,65536,15,0.005210725715361446,0.005208080935190959,0.005211489114416651,1.4187916215647328e-06,0.005204310589526073,0.005213501711925828,131072.0,262144.0,65536.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,1048576,15,0.0058879148308039345,0.005887549669262708,0.005889886247307711,1.1729738272955176e-06,0.0058860966200785505,0.005890770282633939,2097152.0,4194304.0,524288.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,134217728,15,0.15700067083040872,0.15697383383909863,0.15702133377393088,2.2331873575864858e-05,0.15692899624506632,0.15712199608484903,268435456.0,536870912.0,67108864.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,16777216,15,0.02645674571258712,0.026447269118900052,0.02646809565737653,9.944713529764365e-06,0.026434983806156807,0.02647856689676288,33554432.0,67108864.0,8388608.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,4096,15,0.005266242406585,0.0052643863089156875,0.0052675530314445496,1.8789009614429003e-06,0.005263166445674318,0.0052806667306206445,8192.0,16384.0,2048.0
normal_0_1,dot,bf16_e8m7,16,bf16,packed_arithmetic,4,1,65536,15,0.005265944806484564,0.005265038238599283,0.005266541257031605,6.816577680463995e-07,0.005262830240097231,0.005267757942255126,131072.0,262144.0,32768.0
