distribution,component,n,m,format,strategy,lanes,median_time_ms,speedup_vs_fp64,cv_percent
normal_0_1,dot,4096,1,e2m5,branchless_fp32_x2,2,0.004559130741501502,0.9860755264958981,0.28743452341715864
normal_0_1,dot,4096,1,e3m4,branchless_fp32_x2,2,0.004566686811337137,0.9844439594869857,0.21327257939200317
normal_0_1,dot,65536,1,e2m5,branchless_fp32_x2,2,0.004781264741711602,1.0111580423644884,0.15417296369243558
normal_0_1,dot,65536,1,e3m4,branchless_fp32_x2,2,0.004777259774427879,1.0120057364547326,0.17161412794114395
normal_0_1,dot,1048576,1,e2m5,lut_high_word_global_x8,8,0.006539144640407032,1.4619009049996938,0.4675152964267525
normal_0_1,dot,1048576,1,e3m4,lut_prefix_global_x8,8,0.006346057458310234,1.5063811713864266,0.3273308592228172
normal_0_1,dot,16777216,1,e2m5,lut_prefix_shared_x4,4,0.024386619757927185,2.993658193982737,0.16677549559862426
normal_0_1,dot,16777216,1,e3m4,lut_prefix_shared_x4,4,0.021474342108515565,3.3996479935424935,0.1501561151926574
normal_0_1,dot,134217728,1,e2m5,lut_prefix_shared_x4,4,0.13763287745484518,3.658893229299104,0.10226178303543669
normal_0_1,dot,134217728,1,e3m4,lut_prefix_shared_x4,4,0.1139879081085438,4.417872139288263,0.26812802574230493
uniform_0_1,dot,4096,1,e2m5,branchless_fp32_x2,2,0.004574502297718175,0.9875231752927724,0.2666393200709767
uniform_0_1,dot,4096,1,e3m4,branchless_fp32_x2,2,0.004581266943077758,0.9860650100847139,0.23702536222897883
uniform_0_1,dot,65536,1,e2m5,branchless_fp32_x2,2,0.004786099332680469,1.0099613722847494,0.17203865136156712
uniform_0_1,dot,65536,1,e3m4,branchless_fp32_x2,2,0.004785440292152384,1.0101004619892489,0.15485946101851353
uniform_0_1,dot,1048576,1,e2m5,lut_high_word_shared_x8,8,0.006142376438064699,1.5566935721661932,0.08624342272946715
uniform_0_1,dot,1048576,1,e3m4,lut_prefix_shared_x8,8,0.006150303308988222,1.5546872143665695,0.04059426036301883
uniform_0_1,dot,16777216,1,e2m5,lut_prefix_shared_x8,8,0.0186302182484574,3.9195778058086623,0.14309791828558985
uniform_0_1,dot,16777216,1,e3m4,lut_prefix_shared_x8,8,0.018479937479467804,3.951452219205674,0.14995293612436802
uniform_0_1,dot,134217728,1,e2m5,lut_prefix_shared_x8,8,0.0910282949121987,5.531443629861281,0.12707582064883036
uniform_0_1,dot,134217728,1,e3m4,lut_prefix_shared_x8,8,0.09081639710420407,5.544349898085824,0.12551131209309715
normal_0_1,gemv,256,1024,e2m5,lut_high_word_shared_x4,4,0.0036059903226356178,0.96954282183987,0.0716172187725819
normal_0_1,gemv,256,1024,e3m4,lut_prefix_shared_x4,4,0.003604912142032187,0.9698327990219807,0.013035055215384788
normal_0_1,gemv,1024,1024,e2m5,lut_high_word_shared_x4,4,0.004309178192087894,1.021548254713341,0.16922138268378367
normal_0_1,gemv,1024,1024,e3m4,lut_prefix_global_x4,4,0.004098539957260296,1.0740491753845811,0.05790825087959706
normal_0_1,gemv,4096,1024,e2m5,lut_high_word_shared_x4,4,0.0071697252436452455,1.0933463332776479,0.13419460283255566
normal_0_1,gemv,4096,1024,e3m4,lut_prefix_shared_x4,4,0.006569822123974045,1.1931818940945635,0.2984462953982828
normal_0_1,gemv,16384,1024,e2m5,lut_high_word_shared_x4,4,0.018463736052041525,2.364805204741265,0.18898181184254664
normal_0_1,gemv,16384,1024,e3m4,lut_prefix_shared_x4,4,0.015944947835435506,2.7383682634446296,0.1311091931571275
normal_0_1,gemv,65536,1024,e2m5,lut_high_word_shared_x8,8,0.06976834817784996,2.154755639554186,0.1439895599467457
normal_0_1,gemv,65536,1024,e3m4,lut_prefix_shared_x4,4,0.0592018119719347,2.53934358917713,0.2237795331644897
uniform_0_1,gemv,256,1024,e2m5,lut_fp32_global_x4,4,0.0036041894852897704,0.9700422906148771,0.009052116223671509
uniform_0_1,gemv,256,1024,e3m4,lut_prefix_global_x4,4,0.0036042971075609174,0.9700133257012452,0.006056596314138799
uniform_0_1,gemv,1024,1024,e2m5,lut_high_word_shared_x4,4,0.004053601734422427,1.0863619956961759,0.2840466178743809
uniform_0_1,gemv,1024,1024,e3m4,lut_high_word_shared_x4,4,0.004084401796600185,1.0781698494085978,0.007836060831146702
uniform_0_1,gemv,4096,1024,e2m5,lut_prefix_shared_x8,8,0.005881777047336037,1.3394976893788408,0.39709774840495865
uniform_0_1,gemv,4096,1024,e3m4,lut_prefix_shared_x8,8,0.005817857171807971,1.3542145383915882,0.386411056133187
uniform_0_1,gemv,16384,1024,e2m5,lut_prefix_shared_x8,8,0.013103134407548006,3.3312425602071127,0.2559262839945146
uniform_0_1,gemv,16384,1024,e3m4,lut_prefix_shared_x8,8,0.013035419487184095,3.3485473216610173,0.2792121393028041
uniform_0_1,gemv,65536,1024,e2m5,lut_prefix_shared_x8,8,0.04817463222302889,3.1207926187289696,0.1794649086038199
uniform_0_1,gemv,65536,1024,e3m4,lut_prefix_shared_x8,8,0.0482355988265684,3.116848143467054,0.17002344747424414
