gpu,compute_capability,distribution,format,storage_bits,strategy,decode_kind,table_location,lanes,lookup_entry_bytes,shared_table_bytes,pipelined,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_subnormal_shared_x8,lut_subnormal,shared,8,4,128,0,dot,4096,1,2,256,10,0,0,0,1810,10.880864143371582,0.006011527151034023,8232,8232,8192,1.3693691791085132,1.3693691791085132,1.3627152958281026
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,generic_fp64_x8,generic_fp64,none,8,0,0,0,dot,4096,1,2,256,10,0,0,1,1824,12.264575958251953,0.0067239999771118164,8232,8232,8192,1.2242712712702775,1.2242712712702775,1.2183224312738232
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,generic_fp64_x8,generic_fp64,none,8,0,0,0,dot,4096,1,2,256,10,0,0,2,1875,11.83465576171875,0.0063118164062500003,8232,8232,8192,1.3042204446644903,1.3042204446644903,1.2978831247195703
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_prefix_global_x1,lut_prefix,global,1,4,0,0,dot,4096,1,16,256,10,0,0,3,2310,11.137887954711914,0.0048215965171913046,8456,8456,8192,1.7537759474170647,1.7537759474170647,1.6990222991060304
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,lut_fp64_global_x8,lut_fp64,global,8,8,0,0,dot,4096,1,2,256,10,0,0,4,2151,10.890399932861328,0.0050629474350819747,8232,8232,8192,1.6259303707084043,1.6259303707084043,1.6180298344075861
NVIDIA H200 NVL,sm_90,uniform_0_1,e3m4,8,direct_fp64_words_branchy_x4,direct_fp64_words_branchy,none,4,0,0,0,dot,4096,1,4,256,10,0,0,5,2021,11.188096046447754,0.0055359208542542079,8264,8264,8192,1.4927959083174636,1.4927959083174636,1.47978994203009
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_prefix_shared_x8,lut_prefix,shared,8,4,1024,0,dot,4096,1,2,256,10,0,0,6,2333,11.201215744018555,0.0048012069198536452,8232,8232,8192,1.7145688859939692,1.7145688859939692,1.7062376474808789
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_high_word_shared_x8,lut_high_word,shared,8,4,1024,0,dot,4096,1,2,256,10,0,0,7,2243,10.765279769897461,0.0047995005661602592,8232,8232,8192,1.7151784621177448,1.7151784621177448,1.706844261621546
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_high_word_swizzled_shared_x8,lut_high_word_swizzled,shared,8,4,4112,0,dot,4096,1,2,256,10,0,0,8,2171,10.725472450256348,0.0049403373792060558,8232,8232,8192,1.6662829616958135,1.6662829616958135,1.6581863486652215
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,8,lut_fp64_global_x8,lut_fp64,global,8,8,0,0,dot,4096,1,2,256,10,0,0,9,2131,10.786432266235352,0.0050616763332873545,8232,8232,8192,1.6263386787225977,1.6263386787225977,1.6184361584178233
