gpu,compute_capability,distribution,format,storage_bits,strategy,decode_kind,table_location,lanes,lookup_entry_bytes,shared_table_bytes,pipelined,component,n,m,blocks,threads,warmup,main_array_unique_bytes,main_array_requested_bytes,useful_flops,sample_count,median_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,cv_percent,median_main_array_unique_gb_per_s,median_main_array_requested_gb_per_s,median_useful_gflop_per_s,speedup_vs_fp64,rank_within_format
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x1,branchless_fp32,none,1,0,0,0,dot,4096,1,16,256,10,8456,8456,8192,15,0.0045854855282252225,0.004573904404810716,0.00458835049571276,0.0045588488005605665,0.004590338543025341,0.15973763251188608,1.8440795304991031,1.8440795304991031,1.7865065650246752,0.9804081200600222,2
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x2,branchless_fp32,none,2,0,0,0,dot,4096,1,8,256,10,8328,8328,8192,15,0.004559130741501502,0.004545034860309802,0.004580184721177624,0.004544882701491662,0.004588047393513859,0.28743452341715864,1.8266640007031822,1.8266640007031822,1.7968337528530822,0.9860755264958981,1
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x4,branchless_fp32,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.004822779389828847,0.004805865494194748,0.004825363359338705,0.0048039456773231685,0.004825451512705774,0.15187568050782124,1.7135347342299387,1.7135347342299387,1.6986055835928917,0.9321693743178395,12
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,branchless_fp32_x8,branchless_fp32,none,8,0,0,0,dot,4096,1,2,256,10,8232,8232,8192,15,0.0051771082145554296,0.005174511586799586,0.005181406310546185,0.00517362474159291,0.005181828497941487,0.05116678212280525,1.590076865083822,1.590076865083822,1.5823505440678656,0.8683703449833683,31
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,decomposed_bits_x4,decomposed_bits,none,4,8,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.005061193760902933,0.00506040607226764,0.005062611154436464,0.0050602107898514515,0.00506314527327071,0.01668091884110922,1.6328163651505165,1.6328163651505165,1.6185904723273272,0.8882582763414477,27
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_bits_x4,direct_fp64_bits,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.005057951443133033,0.005028290116748696,0.005062498383869659,0.005024777481939639,0.00506293975886048,0.24906843409999355,1.6338630556091407,1.6338630556091407,1.6196280435079962,0.8888276799084892,25
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_words_branchy_x4,direct_fp64_words_branchy,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.005496171804574819,0.005472373005538481,0.005512213080452209,0.005470853186770028,0.005512577007674624,0.27856574784356514,1.5035920080084357,1.5035920080084357,1.4904919808331445,0.817959737457208,35
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_words_branchy_x8,direct_fp64_words_branchy,none,8,0,0,0,dot,4096,1,2,256,10,8232,8232,8192,15,0.006248935884369186,0.006248204047360838,0.006249711234652456,0.0062477555993485125,0.00625006542065121,0.008431236373686936,1.317344289063865,1.317344289063865,1.3109431992239045,0.7194260478067863,40
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_words_masked_x4,direct_fp64_words_masked,none,4,0,0,0,dot,4096,1,4,256,10,8264,8264,8192,15,0.005063039573872551,0.005062014451933375,0.005063867724871647,0.005061993249272254,0.005064056054391019,0.01246278515450608,1.6322210955343452,1.6322210955343452,1.6180003889904835,0.8879344474195284,29
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,8,direct_fp64_words_masked_x8,direct_fp64_words_masked,none,8,0,0,0,dot,4096,1,2,256,10,8232,8232,8192,15,0.005597285405842368,0.005596220421933843,0.005598703353942749,0.005595896296396465,0.005598770644136532,0.01617753348477309,1.4707129265567829,1.4707129265567829,1.4635666052421241,0.8031834934836867,38
