distribution,benchmark_format,component,n,m,strategy,decode_kind,table_location,unpack,lanes,median_time_ms,speedup_vs_fp64,cv_percent
normal_0_1,e0m1,dot,4096,1,word_masked_x2,direct_words_masked,none,shift_mask,2,0.004590868354835447,1.006779876197797,0.007958824483941696
normal_0_1,e0m1,dot,65536,1,word_masked_x4,direct_words_masked,none,shift_mask,4,0.0048275281606570955,1.0258452684871706,0.3755937021893438
normal_0_1,e0m1,dot,1048576,1,full_high_global_x8,full_high_lut,global,shift_mask,8,0.006255427493324763,1.5277826136175585,0.2764004941891035
normal_0_1,e0m1,dot,16777216,1,pair_shared_x8,pair_high_lut,shared,shift_mask,8,0.016981086975488908,4.328703563759913,0.10605165330250563
normal_0_1,e0m1,dot,134217728,1,pair_shared_x8,pair_high_lut,shared,shift_mask,8,0.08203816547074132,6.141427944452071,0.2170184140481147
uniform_0_1,e0m1,dot,4096,1,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0.004591262788089062,1.0030580391908694,0.01348271387163594
uniform_0_1,e0m1,dot,65536,1,word_masked_x4,direct_words_masked,none,shift_mask,4,0.004875984140873168,1.0156495368638196,0.059708833140651375
uniform_0_1,e0m1,dot,1048576,1,full_high_global_x8,full_high_lut,global,shift_mask,8,0.006224277347552299,1.53681657908561,0.20666522250955527
uniform_0_1,e0m1,dot,16777216,1,pair_shared_x4,pair_high_lut,shared,shift_mask,4,0.016964391347262273,4.30497032682494,0.08095694156444858
uniform_0_1,e0m1,dot,134217728,1,pair_shared_x8,pair_high_lut,shared,shift_mask,8,0.08150400055779351,6.177856405279339,0.1511978422210558
normal_0_1,e0m1,gemv,256,1024,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0.003459758155948513,1.010686969225957,0.3558925508057219
normal_0_1,e0m1,gemv,1024,1024,pair_l2_x4,pair_high_lut,global,shift_mask,4,0.003988880715829803,1.1037782284302686,0.30500907900305857
normal_0_1,e0m1,gemv,4096,1024,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.006230465898276151,1.2593848498438531,0.10096093312919759
normal_0_1,e0m1,gemv,16384,1024,pair_shared_x8,pair_high_lut,shared,shift_mask,8,0.01383128812757589,3.1579941901141995,0.08603366692232974
normal_0_1,e0m1,gemv,65536,1024,pair_shared_x8,pair_high_lut,shared,shift_mask,8,0.04403498157951402,3.4172940901915734,0.09039504690243917
uniform_0_1,e0m1,gemv,256,1024,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0.0034522465094868663,1.0125828353889974,0.3870780011594478
uniform_0_1,e0m1,gemv,1024,1024,pair_l2_x4,pair_high_lut,global,shift_mask,4,0.00398414121250731,1.1047936104254987,0.40081976166316935
uniform_0_1,e0m1,gemv,4096,1024,pair_l2_x8,pair_high_lut,global,shift_mask,8,0.006227336075628689,1.2649173341974247,0.06103414986550876
uniform_0_1,e0m1,gemv,16384,1024,pair_shared_x8,pair_high_lut,shared,shift_mask,8,0.013824375453534156,3.153928567421333,0.07700953552160493
uniform_0_1,e0m1,gemv,65536,1024,pair_shared_x8,pair_high_lut,shared,shift_mask,8,0.044015499949455264,3.4137361928334573,0.15892425608612962
normal_0_1,e0m15,dot,4096,1,fixed_integer_x2,fixed_integer,none,shift_mask,2,0.0045913223491095565,1.007847899415185,0.018302156108807845
normal_0_1,e0m15,dot,65536,1,fixed_integer_x4,fixed_integer,none,shift_mask,4,0.004885400982674335,1.0102952790999045,0.05425398922662591
normal_0_1,e0m15,dot,1048576,1,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.007037442075253406,1.359192746156153,0.20387115325310376
normal_0_1,e0m15,dot,16777216,1,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.02958944065850756,2.4702088740827537,0.12862241900573218
normal_0_1,e0m15,dot,134217728,1,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.15793135858351184,3.188031399352331,0.10504920403814422
uniform_0_1,e0m15,dot,4096,1,fixed_integer_x2,fixed_integer,none,shift_mask,2,0.004591288560030385,1.01900382009399,0.009487560244095116
uniform_0_1,e0m15,dot,65536,1,fixed_integer_x4,fixed_integer,none,shift_mask,4,0.004884237796422475,1.012346392930848,0.05487487185886615
uniform_0_1,e0m15,dot,1048576,1,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.0070270947961999265,1.3598111098905679,0.22215556617860008
uniform_0_1,e0m15,dot,16777216,1,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.029596246319052614,2.4701532467001797,0.12905197036200977
uniform_0_1,e0m15,dot,134217728,1,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.15784705582485403,3.1894704369772455,0.10987813347062614
normal_0_1,e0m15,gemv,256,1024,fixed_integer_x2,fixed_integer,none,shift_mask,2,0.0035060485293056235,0.9969538715429336,0.5606314369725895
normal_0_1,e0m15,gemv,1024,1024,fixed_integer_x4,fixed_integer,none,shift_mask,4,0.004341123035625486,1.0133711284592608,0.022606687102834113
normal_0_1,e0m15,gemv,4096,1024,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.00792502837927163,0.9930792355707088,0.02157654034854275
normal_0_1,e0m15,gemv,16384,1024,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.022771221044174908,1.918202293300441,0.14861405970784303
normal_0_1,e0m15,gemv,65536,1024,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.08208909359845248,1.8313799823373602,0.21309059104277422
uniform_0_1,e0m15,gemv,256,1024,fixed_integer_x2,fixed_integer,none,shift_mask,2,0.0035080969287118904,0.9967822527311782,0.42933656985245977
uniform_0_1,e0m15,gemv,1024,1024,fixed_integer_x4,fixed_integer,none,shift_mask,4,0.004341500234977384,1.0145657931626517,0.045958738276026034
uniform_0_1,e0m15,gemv,4096,1024,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.007924699420836685,0.9939221662677312,0.018133884487686915
uniform_0_1,e0m15,gemv,16384,1024,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.022733170119895812,1.920146673508939,0.14590470264133304
uniform_0_1,e0m15,gemv,65536,1024,fixed_integer_x8,fixed_integer,none,shift_mask,8,0.08212400024587457,1.8314197826026284,0.12406658540131149
normal_0_1,e0m3,dot,4096,1,fixed_integer_x2,fixed_integer,none,shift_mask,2,0.00458927748382606,1.0055763003849867,0.024194873875457306
normal_0_1,e0m3,dot,65536,1,fixed_integer_x4,fixed_integer,none,shift_mask,4,0.004884455974185429,1.0136977469557005,0.040923522256460544
normal_0_1,e0m3,dot,1048576,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.006256530298053889,1.52806167944093,0.1762147081318021
normal_0_1,e0m3,dot,16777216,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.01823346185748729,4.0089153638189465,0.1578749689625158
normal_0_1,e0m3,dot,134217728,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.0985540262858073,5.112009012458899,0.1166497128263321
uniform_0_1,e0m3,dot,4096,1,fixed_integer_x2,fixed_integer,none,shift_mask,2,0.004588825522172221,1.000926836526793,0.01621257786704237
uniform_0_1,e0m3,dot,65536,1,fixed_integer_x4,fixed_integer,none,shift_mask,4,0.0048864195459832165,1.0091846507516273,0.043881980216675026
uniform_0_1,e0m3,dot,1048576,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.0062537017469558335,1.528397565159082,0.10151889027886352
uniform_0_1,e0m3,dot,16777216,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.01821277827432711,4.013801228751889,0.17207935558171195
uniform_0_1,e0m3,dot,134217728,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.09846826553344727,5.113265549303935,0.07352549207654313
normal_0_1,e0m3,gemv,256,1024,fixed_integer_x2,fixed_integer,none,shift_mask,2,0.003549933345032871,0.9851609876632974,0.28692763912865193
