format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
e0m1,dot,normal_0_1,pair_shared_x8,8,5,2.060243584138874,12.0,2,0.15175766105737473
e0m1,dot,normal_0_1,pair_shared_x4,4,5,2.017938746270913,10.2,0,0.05602512365518624
e0m1,dot,normal_0_1,pair_l2_x8,8,5,1.9925073228624166,11.6,0,0.13036608204015895
e0m1,dot,normal_0_1,full_high_shared_x8,8,5,1.9919952707962765,11.2,0,0.05572247125069576
e0m1,dot,normal_0_1,pair_l2_x4,4,5,1.9714096320518077,5.8,0,0.1682431682401781
e0m1,dot,normal_0_1,full_high_global_x8,8,5,1.9361849175719632,12.2,1,0.20541923199357515
e0m1,dot,normal_0_1,full_high_shared_x4,4,5,1.8864000567206642,10.8,0,0.0651002744685226
e0m1,dot,normal_0_1,full_high_global_x4,4,5,1.8691516842311016,7.4,0,0.15162028625391694
e0m1,dot,normal_0_1,word_branchy_x8,8,5,1.8538215108961806,9.0,0,0.05222865838640816
e0m1,dot,normal_0_1,word_masked_x8,8,5,1.8533206105919326,10.2,0,0.05115619105343135
e0m1,dot,normal_0_1,word_masked_x4,4,5,1.77401062336355,8.6,1,0.07805565699628002
e0m1,dot,normal_0_1,word_branchy_x4,4,5,1.7718874903655861,8.2,0,0.1072428744286537
e0m1,dot,normal_0_1,fixed_integer_x8,8,5,1.754019953634282,14.4,0,0.1358484686542957
e0m1,dot,normal_0_1,fixed_integer_x4,4,5,1.7158427713534585,11.6,0,0.1636807291515058
e0m1,dot,normal_0_1,byte_quad_shared_x4,4,5,1.6425912051566587,22.4,0,0.0837128213653325
e0m1,dot,normal_0_1,byte_quad_shared_x8,8,5,1.6359150889809637,24.2,0,0.11982883023194761
e0m1,dot,normal_0_1,byte_quad_l2_x4,4,5,1.6301826396071422,20.0,0,0.14139263792534054
e0m1,dot,normal_0_1,pair_shared_x2,2,5,1.6056162748680165,21.0,0,0.10794430360023999
e0m1,dot,normal_0_1,pair_l2_x2,2,5,1.594354775319462,18.6,0,0.08706719825621198
e0m1,dot,normal_0_1,full_high_shared_x2,2,5,1.572523335826057,20.8,0,0.20839130725896154
e0m1,dot,normal_0_1,full_high_global_x2,2,5,1.5617973136353949,18.0,0,0.09352504502137925
e0m1,dot,normal_0_1,byte_quad_l2_x8,8,5,1.5328467254726512,27.4,0,0.1547307737680565
e0m1,dot,normal_0_1,full_high_warp_x8,8,5,1.5270978602817444,27.0,0,0.15421739133869866
e0m1,dot,normal_0_1,full_high_warp_x4,4,5,1.4959581911345774,25.2,0,0.06864503013228787
e0m1,dot,normal_0_1,word_branchy_x2,2,5,1.46897608333285,17.2,0,0.1164277486678653
e0m1,dot,normal_0_1,word_masked_x2,2,5,1.4688390930479465,17.0,1,0.12571906314352146
e0m1,dot,normal_0_1,fixed_integer_x2,2,5,1.4461518849424402,18.8,0,0.13650997803571657
e0m1,dot,normal_0_1,full_high_global_x1,1,5,1.305638058945293,25.2,0,0.09773956280443948
e0m1,dot,normal_0_1,full_high_shared_x1,1,5,1.3046262490015605,29.8,0,0.06252430316893216
e0m1,dot,normal_0_1,full_high_warp_x2,2,5,1.2816838678471743,29.0,0,0.13208488748697142
e0m1,dot,normal_0_1,fp32_bits_x4,4,5,1.2807354627989949,31.4,0,0.18558329041740138
e0m1,dot,normal_0_1,word_branchy_x1,1,5,1.2505073295608762,25.0,0,0.03910229832913484
e0m1,dot,normal_0_1,word_masked_x1,1,5,1.2499699843316499,25.2,0,0.029782055535680425
e0m1,dot,normal_0_1,fixed_integer_x1,1,5,1.2401550642104942,26.6,0,0.051047166940186954
e0m1,dot,normal_0_1,fp32_bits_x8,8,5,1.2268665325316526,32.8,0,0.13726377638026746
e0m1,dot,normal_0_1,fp32_bits_x2,2,5,1.1288833379191014,35.6,0,0.16657919269985055
e0m1,dot,normal_0_1,generic_x4,4,5,1.0901570490717132,35.8,0,0.09093837614780763
e0m1,dot,normal_0_1,full_high_warp_x1,1,5,1.050264596149375,36.2,0,0.09337762570108846
e0m1,dot,normal_0_1,generic_x8,8,5,1.0464282577090096,36.8,0,0.07832038840077121
e0m1,dot,normal_0_1,generic_x2,2,5,0.9957535038935618,38.4,0,0.20431543581623743
e0m1,dot,normal_0_1,fp32_bits_x1,1,5,0.9896270241801186,36.8,0,0.019428956138052178
e0m1,dot,normal_0_1,generic_x1,1,5,0.9353461304977384,37.6,0,0.05237311220818857
e0m1,dot,uniform_0_1,pair_shared_x8,8,5,2.062085440526091,12.2,1,0.1511978422210558
e0m1,dot,uniform_0_1,pair_shared_x4,4,5,2.0148202385943934,10.8,1,0.04068498197365173
e0m1,dot,uniform_0_1,pair_l2_x8,8,5,1.9962202515791332,11.2,0,0.16836107711778375
e0m1,dot,uniform_0_1,full_high_shared_x8,8,5,1.9937156688580773,11.8,0,0.1217698777892828
e0m1,dot,uniform_0_1,pair_l2_x4,4,5,1.9688005181679644,7.2,0,0.027612566111287633
e0m1,dot,uniform_0_1,full_high_global_x8,8,5,1.935330186743954,12.4,1,0.0990432668094662
e0m1,dot,uniform_0_1,full_high_shared_x4,4,5,1.8873688385320573,11.0,0,0.06578702411354441
e0m1,dot,uniform_0_1,full_high_global_x4,4,5,1.8661302384254481,8.6,0,0.052343717330872314
e0m1,dot,uniform_0_1,word_masked_x8,8,5,1.8537920224386866,10.0,0,0.08648643650502205
e0m1,dot,uniform_0_1,word_branchy_x8,8,5,1.8524976049645596,10.2,0,0.07617433544804343
e0m1,dot,uniform_0_1,byte_quad_l2_x4,4,5,1.8063293372094746,14.2,0,0.054909011762252054
e0m1,dot,uniform_0_1,byte_quad_shared_x8,8,5,1.7797610408219764,20.8,0,0.09897082031466807
e0m1,dot,uniform_0_1,byte_quad_shared_x4,4,5,1.7740230451591095,18.8,0,0.06043681844893318
e0m1,dot,uniform_0_1,word_branchy_x4,4,5,1.7683320969303058,9.8,0,0.049637759044166105
e0m1,dot,uniform_0_1,word_masked_x4,4,5,1.7681341888616684,10.0,1,0.059708833140651375
e0m1,dot,uniform_0_1,fixed_integer_x8,8,5,1.7542184346999947,16.2,0,0.15182511809457067
e0m1,dot,uniform_0_1,byte_quad_l2_x8,8,5,1.7445379109407022,19.2,0,0.20100432889611172
e0m1,dot,uniform_0_1,fixed_integer_x4,4,5,1.7123520297492056,12.2,0,0.05372684982673614
e0m1,dot,uniform_0_1,pair_shared_x2,2,5,1.6038193649282018,22.2,0,0.07335494135303271
e0m1,dot,uniform_0_1,pair_l2_x2,2,5,1.5928062972216188,20.0,0,0.021766626071771555
e0m1,dot,uniform_0_1,full_high_shared_x2,2,5,1.569220999897958,22.2,0,0.08765585925336193
e0m1,dot,uniform_0_1,full_high_global_x2,2,5,1.5601161157199261,18.6,0,0.0951913439557945
e0m1,dot,uniform_0_1,full_high_warp_x8,8,5,1.5240129964623201,27.4,0,0.11713244480045648
e0m1,dot,uniform_0_1,full_high_warp_x4,4,5,1.49267259618102,26.2,0,0.10658343901002769
e0m1,dot,uniform_0_1,word_masked_x2,2,5,1.4671284994147626,16.8,0,0.029242434698650645
e0m1,dot,uniform_0_1,word_branchy_x2,2,5,1.467086215700522,17.0,1,0.03205794610691225
e0m1,dot,uniform_0_1,fixed_integer_x2,2,5,1.4446399630727724,18.4,0,0.03131473964152092
e0m1,dot,uniform_0_1,full_high_shared_x1,1,5,1.303240349367396,30.4,0,0.05125879467239969
e0m1,dot,uniform_0_1,full_high_global_x1,1,5,1.3031103276165068,25.4,0,0.13821736903940893
e0m1,dot,uniform_0_1,full_high_warp_x2,2,5,1.2778295102941963,30.8,0,0.06810434120856843
e0m1,dot,uniform_0_1,fp32_bits_x4,4,5,1.2762318590993167,32.0,0,0.18138005734044277
e0m1,dot,uniform_0_1,word_masked_x1,1,5,1.248495008133077,25.0,0,0.05955425516156123
e0m1,dot,uniform_0_1,word_branchy_x1,1,5,1.2480997894337902,25.8,0,0.14070086670028403
e0m1,dot,uniform_0_1,fixed_integer_x1,1,5,1.2387779460542,26.0,0,0.12626802407428622
e0m1,dot,uniform_0_1,fp32_bits_x8,8,5,1.2257537814727604,33.2,0,0.18128300619666476
e0m1,dot,uniform_0_1,fp32_bits_x2,2,5,1.1271908745840662,36.2,0,0.055716929181945055
e0m1,dot,uniform_0_1,generic_x4,4,5,1.0865566633682304,36.0,0,0.07789790231819174
e0m1,dot,uniform_0_1,full_high_warp_x1,1,5,1.0491268385195516,35.8,0,0.13267854985029937
e0m1,dot,uniform_0_1,generic_x8,8,5,1.045518461287608,36.8,0,0.11597483116917691
e0m1,dot,uniform_0_1,generic_x2,2,5,0.9922190615260358,38.8,0,0.13524450554917852
e0m1,dot,uniform_0_1,fp32_bits_x1,1,5,0.9883328695302163,37.4,0,0.06253237653013127
e0m1,dot,uniform_0_1,generic_x1,1,5,0.9338000972179593,38.0,0,0.09572093488815066
e0m1,gemv,normal_0_1,full_high_shared_x8,8,5,1.6359957994412104,7.4,1,0.10096093312919759
e0m1,gemv,normal_0_1,pair_shared_x4,4,5,1.5884749695621456,6.6,0,0.15775106355527693
e0m1,gemv,normal_0_1,pair_l2_x4,4,5,1.587745911103362,4.2,1,0.24998055094565322
e0m1,gemv,normal_0_1,pair_shared_x8,8,5,1.5719947181441927,11.4,2,0.09039504690243917
e0m1,gemv,normal_0_1,full_high_global_x8,8,5,1.56600537981055,6.6,0,0.15767635040184558
e0m1,gemv,normal_0_1,pair_l2_x8,8,5,1.5395581511708694,10.8,0,0.09443171171359965
e0m1,gemv,normal_0_1,full_high_global_x4,4,5,1.469030738798361,6.6,0,0.1856040395489638
e0m1,gemv,normal_0_1,full_high_shared_x4,4,5,1.4496711926898271,13.8,0,0.12260862973499423
e0m1,gemv,normal_0_1,word_branchy_x8,8,5,1.409392798274385,12.6,0,0.13917639457788678
e0m1,gemv,normal_0_1,word_masked_x8,8,5,1.408952951556637,12.8,0,0.12982969327891153
e0m1,gemv,normal_0_1,word_masked_x4,4,5,1.3554338694002648,9.2,0,0.1783969217069144
e0m1,gemv,normal_0_1,word_branchy_x4,4,5,1.3552361011240326,9.4,1,0.17112524092824688
e0m1,gemv,normal_0_1,fixed_integer_x8,8,5,1.3230905452381203,16.0,0,0.16733973115326356
e0m1,gemv,normal_0_1,byte_quad_shared_x4,4,5,1.3165080350598728,14.8,0,0.21679129509103995
e0m1,gemv,normal_0_1,fixed_integer_x4,4,5,1.2776410053359286,12.0,0,0.1297611626834074
e0m1,gemv,normal_0_1,byte_quad_l2_x4,4,5,1.2739473169590056,15.8,0,0.13857425177756622
e0m1,gemv,normal_0_1,full_high_warp_x4,4,5,1.1525834803858697,18.8,0,0.19140179721721595
e0m1,gemv,normal_0_1,full_high_warp_x8,8,5,1.1204495422617147,23.4,0,0.12053705767287486
e0m1,gemv,normal_0_1,byte_quad_shared_x8,8,5,1.1010879483608962,24.6,0,0.17289478463276106
e0m1,gemv,normal_0_1,pair_l2_x2,2,5,1.0858793695269082,18.6,0,0.2998542612895655
e0m1,gemv,normal_0_1,pair_shared_x2,2,5,1.0740130456419836,20.8,0,0.026544462674672843
e0m1,gemv,normal_0_1,full_high_shared_x2,2,5,1.0543115162703083,21.0,0,0.1338239956396341
e0m1,gemv,normal_0_1,full_high_global_x2,2,5,1.0504667421179135,20.8,0,0.2023982583776921
e0m1,gemv,normal_0_1,byte_quad_l2_x8,8,5,0.9921100887165176,27.2,0,0.1255188059896486
e0m1,gemv,normal_0_1,word_masked_x2,2,5,0.9901935150746375,21.6,0,0.15444016588996415
e0m1,gemv,normal_0_1,word_branchy_x2,2,5,0.9900644678874687,21.8,0,0.16923039903296855
e0m1,gemv,normal_0_1,fixed_integer_x2,2,5,0.9675998570361494,23.4,0,0.16184853960610365
e0m1,gemv,normal_0_1,full_high_global_x1,1,5,0.9407233565566129,25.0,0,0.22540141164498287
e0m1,gemv,normal_0_1,full_high_shared_x1,1,5,0.9246821559763855,27.0,0,0.15362765326606964
e0m1,gemv,normal_0_1,fp32_bits_x4,4,5,0.8933263661625013,29.8,0,0.14620330277925386
e0m1,gemv,normal_0_1,full_high_warp_x2,2,5,0.8467923046459745,31.4,0,0.17431721072063563
e0m1,gemv,normal_0_1,word_branchy_x1,1,5,0.8305724513064056,27.4,0,0.29126285900118865
e0m1,gemv,normal_0_1,word_masked_x1,1,5,0.8303979451845954,27.2,0,0.1956520113963604
e0m1,gemv,normal_0_1,fp32_bits_x8,8,5,0.8158848511210222,32.6,0,0.15479470446440866
e0m1,gemv,normal_0_1,fixed_integer_x1,1,5,0.804128401530458,29.2,0,0.13277140380417493
e0m1,gemv,normal_0_1,fp32_bits_x2,2,5,0.7425654219240478,33.4,0,0.1818908771473837
e0m1,gemv,normal_0_1,full_high_warp_x1,1,5,0.7035030406981593,36.0,0,0.21970263052568836
e0m1,gemv,normal_0_1,generic_x4,4,5,0.6833395534998413,38.0,0,0.11279288017790438
e0m1,gemv,normal_0_1,generic_x8,8,5,0.6452020061032954,38.6,0,0.10528132979054292
e0m1,gemv,normal_0_1,fp32_bits_x1,1,5,0.6417220388010022,36.2,0,0.2000428974877717
e0m1,gemv,normal_0_1,generic_x2,2,5,0.613795663646067,39.4,0,0.1678961974697987
e0m1,gemv,normal_0_1,generic_x1,1,5,0.5778249310012041,39.8,0,0.097091284733466
e0m1,gemv,uniform_0_1,full_high_shared_x8,8,5,1.6360598998755218,7.8,0,0.09867341645099026
e0m1,gemv,uniform_0_1,pair_l2_x4,4,5,1.5898724659425154,4.2,1,0.18153962232569956
e0m1,gemv,uniform_0_1,pair_shared_x4,4,5,1.5883273013430466,6.8,0,0.0868550089928132
e0m1,gemv,uniform_0_1,pair_shared_x8,8,5,1.5725367145878142,11.8,2,0.15569372001414392
e0m1,gemv,uniform_0_1,full_high_global_x8,8,5,1.5677960001941156,6.6,0,0.19400442262748518
e0m1,gemv,uniform_0_1,pair_l2_x8,8,5,1.5429986989739513,10.6,1,0.1171190687200115
e0m1,gemv,uniform_0_1,byte_quad_l2_x4,4,5,1.4854063927243324,7.4,0,0.1722107428429895
e0m1,gemv,uniform_0_1,byte_quad_shared_x4,4,5,1.4738637604461002,12.8,0,0.14659845693226783
e0m1,gemv,uniform_0_1,full_high_global_x4,4,5,1.4692224312708646,7.6,0,0.1562841752739519
e0m1,gemv,uniform_0_1,full_high_shared_x4,4,5,1.4504202241339192,14.4,0,0.09418409636398074
e0m1,gemv,uniform_0_1,word_masked_x8,8,5,1.4103122617233799,13.4,0,0.1472177199412482
e0m1,gemv,uniform_0_1,word_branchy_x8,8,5,1.4089817538464258,14.4,0,0.1295732035955489
e0m1,gemv,uniform_0_1,word_branchy_x4,4,5,1.356272681771976,10.4,1,0.13305367391661144
e0m1,gemv,uniform_0_1,word_masked_x4,4,5,1.3553125190914745,11.0,0,0.16823156857088592
e0m1,gemv,uniform_0_1,fixed_integer_x8,8,5,1.322893805363703,17.0,0,0.12829520211336304
e0m1,gemv,uniform_0_1,fixed_integer_x4,4,5,1.2775541316021242,13.0,0,0.13462571758052538
e0m1,gemv,uniform_0_1,byte_quad_shared_x8,8,5,1.2060835885636478,22.4,0,0.13068615832798625
e0m1,gemv,uniform_0_1,byte_quad_l2_x8,8,5,1.165896884377329,23.0,0,0.14483876218200234
e0m1,gemv,uniform_0_1,full_high_warp_x4,4,5,1.1528804935688224,19.8,0,0.1689045388027576
e0m1,gemv,uniform_0_1,full_high_warp_x8,8,5,1.1210406411247182,24.6,0,0.11397488827179159
e0m1,gemv,uniform_0_1,pair_l2_x2,2,5,1.0875995561662366,19.2,0,0.28944368422606365
e0m1,gemv,uniform_0_1,pair_shared_x2,2,5,1.0741216535754128,21.0,0,0.04520505002227438
e0m1,gemv,uniform_0_1,full_high_shared_x2,2,5,1.0540277744060862,21.2,0,0.11896653276887999
e0m1,gemv,uniform_0_1,full_high_global_x2,2,5,1.0506130361048798,21.2,0,0.19237926520759807
e0m1,gemv,uniform_0_1,word_branchy_x2,2,5,0.9908060563012911,21.4,0,0.13164414780306558
e0m1,gemv,uniform_0_1,word_masked_x2,2,5,0.9906034759080126,22.2,0,0.14194914561924243
e0m1,gemv,uniform_0_1,fixed_integer_x2,2,5,0.967493325694424,23.6,0,0.21428026992484644
e0m1,gemv,uniform_0_1,full_high_global_x1,1,5,0.9405743814033424,25.4,0,0.16651237119524223
e0m1,gemv,uniform_0_1,full_high_shared_x1,1,5,0.9243099388127277,27.4,0,0.17680558456798576
e0m1,gemv,uniform_0_1,fp32_bits_x4,4,5,0.892274396621153,30.0,0,0.16487165424894754
e0m1,gemv,uniform_0_1,full_high_warp_x2,2,5,0.8468035115596564,31.6,0,0.19481659184381578
e0m1,gemv,uniform_0_1,word_masked_x1,1,5,0.8313733562425061,27.2,0,0.20289772015643767
e0m1,gemv,uniform_0_1,word_branchy_x1,1,5,0.8308895382503159,28.8,0,0.1777066192322982
e0m1,gemv,uniform_0_1,fp32_bits_x8,8,5,0.8154329682591732,32.6,0,0.1580237247902978
e0m1,gemv,uniform_0_1,fixed_integer_x1,1,5,0.804225619978612,29.2,0,0.16742538780774316
e0m1,gemv,uniform_0_1,fp32_bits_x2,2,5,0.7436582351962033,33.6,0,0.21199841517742843
