gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,0,2171,10.209728240966797,0.0047027767116383217,8456,8456,8192,1.7980866450821043,1.7980866450821043,1.74194959750622
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,1,2122,9.9910717010498047,0.0047083278515786071,8328,8328,8192,1.768780820394185,1.768780820394185,1.7398958310121477
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,2,1970,9.9879684448242188,0.005070034743565593,8264,8264,8192,1.6299691063237556,1.6299691063237556,1.6157680202086406
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_shared_x4,full_high_lut,shared,shift_mask,4,4,1024,dot,4096,1,4,256,10,0,0,3,2103,10.157567977905273,0.0048300370793653222,8264,8264,8192,1.7109599500395363,1.7109599500395363,1.6960532321785915
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,fixed_integer_x8,fixed_integer,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,4,2030,9.8048324584960938,0.0048299667283231993,8232,8232,8192,1.704359566646098,1.704359566646098,1.6960779360987408
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,5,2056,9.6793603897094727,0.0047078601117263976,8456,8456,8192,1.7961451273663991,1.7961451273663991,1.740068694818536
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,6,2075,10.023360252380371,0.0048305350613881311,8264,8264,8192,1.7107835664120421,1.7107835664120421,1.6958783852913177
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,7,1846,9.7854719161987305,0.0053009056967490411,8232,8232,8192,1.5529421708159328,1.5529421708159328,1.5453962904912681
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_global_x2,full_high_lut,global,shift_mask,2,4,0,dot,4096,1,8,256,10,0,0,8,2171,10.478048324584961,0.0048263695645255466,8328,8328,8192,1.7255205778711806,1.7255205778711806,1.6973420477810652
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,generic_x1,generic,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,9,2084,10.264287948608398,0.0049252821250520143,8456,8456,8192,1.7168559658723508,1.7168559658723508,1.6632549754524948
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_global_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,0,0,10,2039,9.8442564010620117,0.0048279825409818598,8264,8264,8192,1.7116880456488481,1.7116880456488481,1.6967749842637176
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_global_x1,full_high_lut,global,shift_mask,1,4,0,dot,4096,1,16,256,10,0,0,11,2212,10.897312164306641,0.0049264521538456788,8456,8456,8192,1.7164482138325632,1.7164482138325632,1.6628599536088409
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_global_x8,full_high_lut,global,shift_mask,8,4,0,dot,4096,1,2,256,10,0,0,12,2103,10.648863792419434,0.0050636537291580755,8232,8232,8192,1.6257035809138394,1.6257035809138394,1.6178041466042483
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_swizzled_x4,full_high_lut_swizzled,shared,shift_mask,4,4,4112,dot,4096,1,4,256,10,0,0,13,2112,10.205056190490723,0.0048319394841338653,8264,8264,8192,1.7102863202520713,1.7102863202520713,1.6953854713824987
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0,dot,4096,1,16,256,10,0,0,14,1718,7.8878397941589355,0.0045912920804184725,65800,65800,8192,14.331477685907245,14.331477685907245,1.7842471915342273
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,pair_l2_x8,pair_high_lut,global,shift_mask,8,8,0,dot,4096,1,2,256,10,0,0,15,1875,10.830975532531738,0.0057765202840169274,8232,8232,8192,1.4250793895378757,1.4250793895378757,1.4181548055265156
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,fixed_integer_x2,fixed_integer,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,16,2181,10.015392303466797,0.0045921101804066011,8328,8328,8192,1.8135453359837743,1.8135453359837743,1.7839293218514745
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_swizzled_x8,full_high_lut_swizzled,shared,shift_mask,8,4,4112,dot,4096,1,2,256,10,0,0,17,2141,10.841888427734375,0.005063936678063697,8232,8232,8192,1.6256127442627657,1.6256127442627657,1.6177137513363187
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,fp32_bits_x2,fp32_bits,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,18,2131,10.537823677062988,0.00494501345709197,8328,8328,8192,1.6841207960832272,1.6841207960832272,1.6566183431212533
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,19,2141,10.340736389160156,0.0048298628627557946,8264,8264,8192,1.7110216655892327,1.7110216655892327,1.696114410032308
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,fixed_integer_x1,fixed_integer,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,20,2265,10.651519775390625,0.0047026577374793049,8456,8456,8192,1.7981321354959041,1.7981321354959041,1.7419936676895043
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,full_high_shared_x2,full_high_lut,shared,shift_mask,2,4,1024,dot,4096,1,8,256,10,0,0,21,2171,10.480863571166992,0.0048276663155997204,8328,8328,8192,1.7250570887821288,1.7250570887821288,1.696886127678098
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m7,e0m7,8,generic_x4,generic,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,22,1914,9.9415359497070312,0.0051941149162523671,8264,8264,8192,1.5910314140609352,1.5910314140609352,1.5771695721184875
