gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,main_array_unique_bytes,main_array_requested_bytes,useful_flops,sample_count,median_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,cv_percent,median_main_array_unique_gb_per_s,median_main_array_requested_gb_per_s,median_useful_gflop_per_s,speedup_vs_fp64,rank_within_format
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0,dot,4096,1,16,256,10,65800,65800,8192,15,0.004621993873921616,0.00460811867276331,0.004626553472595347,0.004608041302287748,0.004627701949580175,0.14263765711676712,14.236280227730111,14.236280227730111,1.7723952526681621,1.0,0
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.004590868354835447,0.004590272070365817,0.004591301197616907,0.004590122949660519,0.004591347572212409,0.007958824483941696,0.4757269934999655,0.4757269934999655,1.7844118730548157,1.006779876197797,1
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.004591014045212403,0.0045901402888858895,0.004591571293427789,0.004589773570089081,0.004591745017469571,0.010163851184766357,0.47571189686895354,0.47571189686895354,1.7843552468637671,1.0067479272344024,2
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,fixed_integer_x2,fixed_integer,none,shift_mask,2,0,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.004591224840460956,0.0045904557284908235,0.0045919504995464615,0.004590388484845282,0.004592555406213165,0.011859052522853008,0.47569005568037653,0.47569005568037653,1.784273322405515,1.0067017047802806,3
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.0045914319686559376,0.004590552441485516,0.004591898732371145,0.0045905038907930445,0.004591986008020707,0.009349699494425425,0.4617295899127943,0.4617295899127943,1.7841928304554768,1.0066562905590921,4
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.004591500034203401,0.0045907891682676364,0.0045924541112538925,0.004590770280038989,0.004593040492083575,0.012819147990828684,0.46172274511761124,0.46172274511761124,1.784166381133713,1.0066413676339014,5
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,fixed_integer_x4,fixed_integer,none,shift_mask,4,0,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.004593185121775364,0.004592525559513344,0.004593648267374287,0.004592284714332237,0.004593741070104622,0.00874192837700786,0.461553354326937,0.461553354326937,1.7835118295501267,1.006272064239187,6
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_global_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.004593616430544894,0.004592934569600078,0.00459424793619049,0.004592896317383227,0.004594295255599483,0.009593867396670801,0.4615100176634744,0.4615100176634744,1.7833443701411236,1.0061775822613375,7
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,pair_l2_x4,pair_high_lut,global,shift_mask,4,8,0,dot,4096,1,4,256,10,2120,2120,8192,15,0.004602173188343922,0.004599413361735579,0.004609996717935508,0.004599280187350987,0.0046103769733059794,0.09445726580896002,0.46065193838628127,0.46065193838628127,1.7800286222926494,1.004306810014863,8
NVIDIA H200 NVL,sm_90,normal_0_1,e0m1,e0m1,2,full_high_global_x2,full_high_lut,global,shift_mask,2,4,0,dot,4096,1,8,256,10,2184,2184,8192,15,0.004663017015815188,0.004653306585123108,0.004669391010401599,0.004651767808829558,0.004669706569189911,0.12533425582797278,0.46836629430960663,0.46836629430960663,1.7568025105239455,0.9912024464516349,9
