distribution,benchmark_format,component,n,m,strategy,decode_kind,table_location,unpack,lanes,median_time_ms,speedup_vs_fp64,cv_percent
normal_0_1,bf16_e8m7,dot,4096,1,native_bfloat162_x2,native_packed,none,shift_mask,2,0.004592905052855702,1.0005251238154267,0.009137022520278187
normal_0_1,bf16_e8m7,dot,65536,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.004866241890000094,1.015479350256162,0.28162091316477
normal_0_1,bf16_e8m7,dot,1048576,1,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0.006407025939259449,1.4931007451689615,0.9072809328795076
normal_0_1,bf16_e8m7,dot,16777216,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.025865804307842417,2.8420288501725532,0.07541839133198448
normal_0_1,bf16_e8m7,dot,134217728,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.1354319283721644,3.720907034831276,0.04538255701089509
uniform_0_1,bf16_e8m7,dot,4096,1,native_bfloat162_x2,native_packed,none,shift_mask,2,0.004593391482247956,1.0068645730584933,0.013318494358260862
uniform_0_1,bf16_e8m7,dot,65536,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.004882557279006066,1.013485517671299,0.09474553628900244
uniform_0_1,bf16_e8m7,dot,1048576,1,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0.006428800082073531,1.4884213922191132,0.6823741663631063
uniform_0_1,bf16_e8m7,dot,16777216,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.025290597568858753,2.8876305581954522,0.15284141774050172
uniform_0_1,bf16_e8m7,dot,134217728,1,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.13495928102785404,3.731488049659757,0.05854036354666438
normal_0_1,bf16_e8m7,gemv,256,1024,native_bfloat162_x2,native_packed,none,shift_mask,2,0.0034233109545690004,1.0214737328900274,0.4112494609530305
normal_0_1,bf16_e8m7,gemv,1024,1024,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.003665749150344054,1.201775633033502,0.2252627931010149
normal_0_1,bf16_e8m7,gemv,4096,1024,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0.005788662781959104,1.3623842829645718,0.04766819240776923
normal_0_1,bf16_e8m7,gemv,16384,1024,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.014462846855929846,3.017152500769722,1.3325429152479218
normal_0_1,bf16_e8m7,gemv,65536,1024,native_bfloat162_x8,native_packed,none,shift_mask,8,0.05416600143208223,2.7744534359396456,0.16014940846357853
uniform_0_1,bf16_e8m7,gemv,256,1024,native_bfloat162_x2,native_packed,none,shift_mask,2,0.003449954141989845,1.0133341590422935,0.6135364333920345
uniform_0_1,bf16_e8m7,gemv,1024,1024,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.003664137401345863,1.2010435511991784,0.1965061457215667
uniform_0_1,bf16_e8m7,gemv,4096,1024,native_bfloat162_x8,native_packed,none,shift_mask,8,0.005787537819885191,1.3618303928191025,0.054895746694400074
uniform_0_1,bf16_e8m7,gemv,16384,1024,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0.014441236582669345,3.0198841738729683,1.1629907784900286
uniform_0_1,bf16_e8m7,gemv,65536,1024,native_bfloat162_x8,native_packed,none,shift_mask,8,0.05413290912063543,2.7776712587929775,0.20636455402484627
normal_0_1,e11m20,dot,4096,1,generic_x2,generic,none,shift_mask,2,0.004591189123488762,1.0066879956275951,0.011993372135938977
normal_0_1,e11m20,dot,65536,1,generic_x4,generic,none,shift_mask,4,0.004855204040166846,1.0199865362929936,0.10186943014215183
normal_0_1,e11m20,dot,1048576,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.006730760396937453,1.4236926661090865,0.14359197874962257
normal_0_1,e11m20,dot,16777216,1,generic_x4,generic,none,shift_mask,4,0.04050344934805037,1.813890342934762,0.06846571914274995
normal_0_1,e11m20,dot,134217728,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.2536719957987467,1.9863718918358046,0.05921437533133073
uniform_0_1,e11m20,dot,4096,1,generic_x2,generic,none,shift_mask,2,0.004590960911342076,1.0074076315390306,0.011145824709915611
uniform_0_1,e11m20,dot,65536,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.004829063234736004,1.0254830642907895,0.4076959878124165
uniform_0_1,e11m20,dot,1048576,1,generic_x8,generic,none,shift_mask,8,0.006725988974118366,1.4228959281256224,0.13170150433325267
uniform_0_1,e11m20,dot,16777216,1,generic_x4,generic,none,shift_mask,4,0.04053502347734239,1.8133911566722238,0.059844837428249614
uniform_0_1,e11m20,dot,134217728,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.2537077267964681,1.9856717648451847,0.08400999009232779
normal_0_1,e11m20,gemv,256,1024,prefix_word_x2,prefix_word,none,shift_mask,2,0.0033759666251870954,1.0358246852181032,0.11110299269446874
