benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes
bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x1,fp32_bits,none,shift_mask,1,0,0
bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0,0
bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0,0
bf16_e8m7,bf16_e8m7,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0
bf16_e8m7,bf16_e8m7,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0
bf16_e8m7,bf16_e8m7,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0
bf16_e8m7,bf16_e8m7,16,generic_x1,generic,none,shift_mask,1,0,0
bf16_e8m7,bf16_e8m7,16,native_bfloat162_x2,native_packed,none,shift_mask,2,0,0
bf16_e8m7,bf16_e8m7,16,native_bfloat162_x4,native_packed,none,shift_mask,4,0,0
bf16_e8m7,bf16_e8m7,16,native_bfloat162_x8,native_packed,none,shift_mask,8,0,0
bf16_e8m7,bf16_e8m7,16,native_direct_x1,native_direct,none,shift_mask,1,0,0
bf16_e8m7,bf16_e8m7,16,native_fp32_x1,native_fp32,none,shift_mask,1,0,0
bf16_e8m7,bf16_e8m7,16,subnormal_global_x8,subnormal_high_lut,global,shift_mask,8,4,0
bf16_e8m7,bf16_e8m7,16,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,512
bf16_e8m7,bf16_e8m7,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
bf16_e8m7,bf16_e8m7,16,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
bf16_e8m7,bf16_e8m7,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
bf16_e8m7,bf16_e8m7,16,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
bf16_e8m7,bf16_e8m7,16,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
bf16_e8m7,bf16_e8m7,16,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
bf16_e8m7,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e11m20,e11m20,32,generic_x1,generic,none,shift_mask,1,0,0
e11m20,e11m20,32,generic_x2,generic,none,shift_mask,2,0,0
e11m20,e11m20,32,generic_x4,generic,none,shift_mask,4,0,0
e11m20,e11m20,32,generic_x8,generic,none,shift_mask,8,0,0
e11m20,e11m20,32,prefix_word_x1,prefix_word,none,shift_mask,1,0,0
e11m20,e11m20,32,prefix_word_x2,prefix_word,none,shift_mask,2,0,0
e11m20,e11m20,32,prefix_word_x4,prefix_word,none,shift_mask,4,0,0
e11m20,e11m20,32,prefix_word_x8,prefix_word,none,shift_mask,8,0,0
e11m20,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e11m4,e11m4,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0
e11m4,e11m4,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0
e11m4,e11m4,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0
e11m4,e11m4,16,generic_x1,generic,none,shift_mask,1,0,0
e11m4,e11m4,16,generic_x2,generic,none,shift_mask,2,0,0
e11m4,e11m4,16,generic_x4,generic,none,shift_mask,4,0,0
e11m4,e11m4,16,generic_x8,generic,none,shift_mask,8,0,0
e11m4,e11m4,16,prefix_word_x1,prefix_word,none,shift_mask,1,0,0
e11m4,e11m4,16,prefix_word_x2,prefix_word,none,shift_mask,2,0,0
e11m4,e11m4,16,prefix_word_x4,prefix_word,none,shift_mask,4,0,0
e11m4,e11m4,16,prefix_word_x8,prefix_word,none,shift_mask,8,0,0
e11m4,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e1m14,e1m14,16,e1_integer_x1,e1_integer,none,shift_mask,1,0,0
