format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
bf16_e8m7,dot,normal_0_1,fp32_bit_lift_x4,4,5,1.7222641417179754,1.8,3,0.062736843580293
bf16_e8m7,dot,normal_0_1,native_bfloat162_x4,4,5,1.7204400963481918,2.4,0,0.06690324443242236
bf16_e8m7,dot,normal_0_1,fp32_bit_lift_x8,8,5,1.7170134954420684,4.4,1,0.09715323285428096
bf16_e8m7,dot,normal_0_1,native_bfloat162_x8,8,5,1.7093186279396078,4.6,0,0.08478230877969355
bf16_e8m7,dot,normal_0_1,native_bfloat162_x2,2,5,1.5227609594789995,4.6,1,0.05164171347533326
bf16_e8m7,dot,normal_0_1,subnormal_global_x8,8,5,1.277775276238509,9.8,0,0.03598334504961703
bf16_e8m7,dot,normal_0_1,native_direct_x1,1,5,1.272202061724239,8.2,0,0.028101283552215715
bf16_e8m7,dot,normal_0_1,fp32_bit_lift_x1,1,5,1.272031070301995,9.6,0,0.04351767585857642
bf16_e8m7,dot,normal_0_1,generic_x1,1,5,1.272009127643598,9.2,0,0.04320522114465597
bf16_e8m7,dot,normal_0_1,native_fp32_x1,1,5,1.2718936506769105,9.4,0,0.04592577446979858
bf16_e8m7,dot,normal_0_1,word_branchy_x8,8,5,1.2628091594460427,11.4,0,0.08849472344736914
bf16_e8m7,dot,normal_0_1,word_branchy_x4,4,5,1.2605297342175141,12.0,0,0.027695301569646176
bf16_e8m7,dot,normal_0_1,subnormal_shared_x8,8,5,1.249269250970065,11.0,0,0.07232924633570549
bf16_e8m7,dot,normal_0_1,full_high_l2_x4,4,5,1.1567041092674142,14.8,0,0.09570080170474171
bf16_e8m7,dot,normal_0_1,full_high_l2_x8,8,5,1.1561583461944798,15.6,0,0.11453620605838269
bf16_e8m7,dot,normal_0_1,full_high_l2_x1,1,5,1.0434067191359968,16.4,0,0.10555276982604066
bf16_e8m7,dot,normal_0_1,word_branchy_x1,1,5,0.9882153456533693,14.6,0,0.037965387719326824
bf16_e8m7,dot,normal_0_1,word_masked_x4,4,5,0.8919309806077949,16.6,0,0.10913281959704657
bf16_e8m7,dot,normal_0_1,word_masked_x8,8,5,0.8521315440937893,18.0,0,0.22349245080405986
bf16_e8m7,dot,normal_0_1,word_masked_x1,1,5,0.8476514524193259,15.6,0,0.051311906808519915
bf16_e8m7,dot,uniform_0_1,fp32_bit_lift_x4,4,5,1.7302677271584521,2.0,3,0.05854036354666438
bf16_e8m7,dot,uniform_0_1,native_bfloat162_x4,4,5,1.7291562775272986,2.2,0,0.05814523491554721
bf16_e8m7,dot,uniform_0_1,fp32_bit_lift_x8,8,5,1.726457600904225,4.4,1,0.09865160694529987
bf16_e8m7,dot,uniform_0_1,native_bfloat162_x8,8,5,1.7211050685450273,4.6,0,0.11250447680675979
bf16_e8m7,dot,uniform_0_1,native_bfloat162_x2,2,5,1.5286146118045214,4.8,1,0.04923989736901104
bf16_e8m7,dot,uniform_0_1,full_high_l2_x8,8,5,1.3896671557072067,11.2,0,0.17982366038757613
bf16_e8m7,dot,uniform_0_1,full_high_l2_x4,4,5,1.3607495650460082,11.2,0,0.18533992158441573
bf16_e8m7,dot,uniform_0_1,subnormal_global_x8,8,5,1.282512565727172,10.6,0,0.118979862734694
bf16_e8m7,dot,uniform_0_1,fp32_bit_lift_x1,1,5,1.2761272940505854,9.0,0,0.06870104857526955
bf16_e8m7,dot,uniform_0_1,native_fp32_x1,1,5,1.2759682409694957,9.8,0,0.050310844626820964
bf16_e8m7,dot,uniform_0_1,generic_x1,1,5,1.275910089251171,10.0,0,0.054558643948543914
bf16_e8m7,dot,uniform_0_1,native_direct_x1,1,5,1.2755596377762575,10.8,0,0.05569878703633398
bf16_e8m7,dot,uniform_0_1,word_branchy_x8,8,5,1.2661788217899717,12.4,0,0.12372573587826857
bf16_e8m7,dot,uniform_0_1,word_branchy_x4,4,5,1.263003968395695,13.2,0,0.06540916106106022
bf16_e8m7,dot,uniform_0_1,subnormal_shared_x8,8,5,1.2546317390036072,12.6,0,0.08570331293881606
bf16_e8m7,dot,uniform_0_1,full_high_l2_x1,1,5,1.1583307764868505,15.6,0,0.06556388018051196
