gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,main_array_unique_bytes,main_array_requested_bytes,useful_flops,sample_count,median_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,cv_percent,median_main_array_unique_gb_per_s,median_main_array_requested_gb_per_s,median_useful_gflop_per_s,speedup_vs_fp64,rank_within_format
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0,dot,4096,1,16,256,10,65800,65800,8192,15,0.00459531689668095,0.00459186032686816,0.004597461111993063,0.004591750503383574,0.0045980703495891295,0.04283134739331879,14.318925436355702,14.318925436355702,1.7826844555414272,1.0,0
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x2,native_packed,none,shift_mask,2,0,0,dot,4096,1,8,256,10,16520,16520,8192,15,0.004592905052855702,0.004592128044838901,0.004593341095329264,0.00459206965407462,0.004593448290314437,0.009137022520278187,3.5968520598370444,3.5968520598370444,1.7836205856044227,1.0005251238154267,1
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x4,native_packed,none,shift_mask,4,0,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.004593405866036306,0.004592562266519074,0.004594033170877735,0.004592365455962652,0.004594052822602445,0.010500119276572926,3.582526883086001,3.582526883086001,1.7834261197277903,1.0004160378378002,2
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.004593448290314437,0.0045925805628870345,0.00459391193041291,0.004592570976343645,0.004594116443338552,0.010110259814179673,3.5824937954996616,3.5824937954996616,1.7834096483187425,1.0004067981717466,3
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_direct_x1,native_direct,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004706202750598198,0.004704412856659332,0.00470786899715275,0.004704373842710025,0.004708169549058526,0.023663115544642628,3.537459153854751,3.537459153854751,1.740681486567643,0.976438360225098,4
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x1,fp32_bits,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004706488761834813,0.004704646821181259,0.004707932472229004,0.004704252906759091,0.004708414966067028,0.022656377672375414,3.5372441840294155,3.5372441840294155,1.7405757061249982,0.9763790224986062,5
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,generic_x1,generic,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004706656011787735,0.004704642895831178,0.004707890820029556,0.00470340678233974,0.004707970103417537,0.025792587954875955,3.537118488860326,3.537118488860326,1.7405138551624093,0.9763443270916894,6
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_fp32_x1,native_fp32,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.0047073931215924295,0.004705242319454,0.004708388217699242,0.004705192562533145,0.004708954795018275,0.024893779312674762,3.536564627168481,3.536564627168481,1.7402413158195695,0.9761914456650339,7
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004783094221600666,0.004780761397315411,0.004787155904782653,0.004779612863908853,0.004787445493537403,0.051311906808519915,3.480592108099584,3.480592108099584,1.7126988556914817,0.9607414539166499,8
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.004826305620699649,0.004825839049367788,0.00482699464620312,0.004825602935361946,0.004827486819248836,0.009382543799093233,3.403016984576928,3.403016984576928,1.6973645359019844,0.9521396400948986,9
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x8,native_packed,none,shift_mask,8,0,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.0048263207230551655,0.0048258852633193084,0.004826897036907209,0.004825856498483912,0.0048271263011893314,0.0080286047277288,3.403006335974136,3.403006335974136,1.6973592245677132,0.95213666069254,10
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.004942242891052411,0.004940909420875254,0.004944292389520323,0.004940587051487742,0.004944503897487527,0.024198808057855927,3.368511092431344,3.368511092431344,1.6575470248196522,0.9298039367916242,11
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0,dot,4096,1,16,256,10,16648,16648,8192,15,0.0049851460151549365,0.0049776521820672805,0.00499718396798744,0.004977569773360805,0.004997483160791173,0.15051848796314765,3.3395210389805574,3.3395210389805574,1.643281856759294,0.92180186552432,12
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.005066017192474878,0.005065379127596032,0.005066825584193242,0.005065144976936975,0.005067049725821537,0.01079636595176519,3.248311123863523,3.248311123863523,1.6170493878639998,0.9070867156761506,13
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.005066217619310314,0.0050657037119797,0.005066743177266543,0.00506519554169958,0.005066898563072561,0.007791354029735645,3.2481826160164484,3.2481826160164484,1.6169854150709009,0.9070508300246546,14
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0,dot,4096,1,4,256,10,16456,16456,8192,15,0.00506682076893922,0.005066094734785139,0.005067220260178633,0.005065952890820357,0.005067341582037872,0.008238249433862333,3.247795955380754,3.247795955380754,1.6167929306319357,0.9069428555379939,15
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,subnormal_global_x8,subnormal_high_lut,global,shift_mask,8,4,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.005496621131896973,0.005486463552171534,0.005502547097928597,0.00548531837535627,0.005503151452902592,0.11071608510863858,2.9880174758073257,2.9880174758073257,1.490370138931662,0.8360257668141359,16
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.00549816279477675,0.005487494155853454,0.005500930251468484,0.005486648077993222,0.005501375520679633,0.08901872931388338,2.987179647645717,2.987179647645717,1.4899522450994709,0.8357913485294575,17
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,512,dot,4096,1,2,256,10,16424,16424,8192,15,0.0056801955391264595,0.005656768106660833,0.0056942500348727875,0.005643090705988239,0.005694695082887111,0.2705166801301426,2.891449755007166,2.891449755007166,1.4422038719568135,0.8090068141188763,18
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.005744129994193914,0.005739008279016175,0.005773214253072206,0.005736950327297152,0.005773612085332725,0.23656408391087083,2.8592667673957846,2.8592667673957846,1.4261515683454862,0.8000022460017151,19
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0,dot,4096,1,2,256,10,16424,16424,8192,15,0.005776242853054745,0.0057754711386407715,0.005777116492013961,0.005775369214095529,0.0057771164920139605,0.008652900757706772,2.8433707546271583,2.8433707546271583,1.4182229190152023,0.7955546561292405,20
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0,dot,65536,1,256,256,10,1052680,1052680,131072,15,0.004941568152646614,0.004939151147575153,0.004944179548840716,0.004938997889370311,0.004944854433380921,0.03610045890759285,213.02549463700177,213.02549463700177,26.52437363022105,1.0,0
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x4,fp32_bits,none,shift_mask,4,0,0,dot,65536,1,64,256,10,263176,263176,131072,15,0.004866241890000094,0.0048614795774454865,0.004893485186305432,0.004860992116239198,0.0048954152770411775,0.28162091316477,54.081980704825774,54.081980704825774,26.934953699968553,1.015479350256162,1
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x4,native_packed,none,shift_mask,4,0,0,dot,65536,1,64,256,10,263176,263176,131072,15,0.004879551382220028,0.004859981140219498,0.004895965186424324,0.004858401541684032,0.004898213564163953,0.2909418231343734,53.93446638536347,53.93446638536347,26.861485766416244,1.0127095229804446,2
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x2,native_packed,none,shift_mask,2,0,0,dot,65536,1,128,256,10,264200,264200,131072,15,0.004904539071920582,0.004900611716057189,0.004927940448457726,0.004900299189313519,0.004929711019532839,0.2299587754889815,53.86846676634614,53.86846676634614,26.724631627549286,1.0075499614098358,3
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_bfloat162_x8,native_packed,none,shift_mask,8,0,0,dot,65536,1,32,256,10,262664,262664,131072,15,0.004932869400931547,0.004931300830925685,0.004944157494627064,0.004930654879471001,0.004944326608923546,0.10774042947384277,53.24771013609183,53.24771013609183,26.57114740869639,1.0017634263160147,4
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,fp32_bit_lift_x8,fp32_bits,none,shift_mask,8,0,0,dot,65536,1,32,256,10,262664,262664,131072,15,0.00493400173668658,0.004931974203509803,0.004943864961828326,0.00493185742198124,0.004943972156813499,0.10787094465874833,53.235489977024514,53.235489977024514,26.565049425382075,1.001533525191889,5
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,generic_x1,generic,none,shift_mask,1,0,0,dot,65536,1,256,256,10,266248,266248,131072,15,0.0049479102826020084,0.0049473379905592245,0.004948497004379979,0.004947235145901169,0.004948599849038034,0.007855862421945036,53.810191534027865,53.810191534027865,26.490375231919487,0.9987182205025634,6
NVIDIA H200 NVL,sm_90,normal_0_1,bf16_e8m7,bf16_e8m7,16,native_fp32_x1,native_fp32,none,shift_mask,1,0,0,dot,65536,1,256,256,10,266248,266248,131072,15,0.0049481990401574,0.004947332941958046,0.004949190713455012,0.004946913690884763,0.0049492214869712925,0.01220871991284961,53.80705138157311,53.80705138157311,26.48882935716156,0.9986599392108172,7
