format,arithmetic_type,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
bf16_e8m7,fp32,dot,dense,cooperative_shuffle,2,1,dense/cooperative_shuffle/x2/direct_branchy,direct_branchy,0.11605767316596452,1
bf16_e8m7,fp32,dot,dense,cooperative_shuffle,2,2,dense/cooperative_shuffle/x2/native_scalar,native_scalar,0.11618641365406124,1
bf16_e8m7,fp32,dot,dense,cooperative_shuffle,2,3,dense/cooperative_shuffle/x2/subnormal_lut_shared,subnormal_lut_shared,0.12426440119743347,0
bf16_e8m7,fp32,dot,dense,cooperative_shuffle,2,4,dense/cooperative_shuffle/x2/subnormal_lut_global,subnormal_lut_global,0.12569680213928222,0
bf16_e8m7,fp32,dot,dense,cooperative_shuffle,2,5,dense/cooperative_shuffle/x2/prefix_lut_global,prefix_lut_global,0.1275626634940123,0
bf16_e8m7,fp32,dot,dense,cooperative_shuffle,2,6,dense/cooperative_shuffle/x2/prefix_lut_shared,prefix_lut_shared,0.12904820075401893,0
bf16_e8m7,fp32,dot,dense,scalar,1,1,dense/scalar/x1/native_scalar,native_scalar,0.067651218857777556,1
bf16_e8m7,fp32,dot,dense,scalar,1,2,dense/scalar/x1/generic,generic,0.067799953610566829,1
bf16_e8m7,fp32,dot,dense,scalar,1,3,dense/scalar/x1/direct_branchy,direct_branchy,0.068012886577182352,1
bf16_e8m7,fp32,dot,dense,scalar,1,4,dense/scalar/x1/subnormal_lut_shared,subnormal_lut_shared,0.072482820819405949,0
bf16_e8m7,fp32,dot,dense,scalar,1,5,dense/scalar/x1/subnormal_lut_global,subnormal_lut_global,0.075894863010842209,0
bf16_e8m7,fp32,dot,dense,scalar,1,6,dense/scalar/x1/prefix_lut_global,prefix_lut_global,0.076948709614001798,0
bf16_e8m7,fp32,dot,dense,scalar,1,7,dense/scalar/x1/prefix_lut_shared,prefix_lut_shared,0.077631765178271694,0
bf16_e8m7,fp32,dot,dense,thread_packet,2,1,dense/thread_packet/x2/native_packed,native_packed,0.040266471320088107,1
bf16_e8m7,fp32,dot,dense,thread_packet,2,2,dense/thread_packet/x2/native_scalar,native_scalar,0.040313723264999796,1
