format,arithmetic_type,multiply_method,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,1,fused/dense/cooperative_shuffle/x16/fused_sum_lut_shared,fused_sum_lut_shared,0.10129633545875549,1
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,2,fused/dense/cooperative_shuffle/x16/fused_sum_lut_global,fused_sum_lut_global,0.10567919221612015,1
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,3,fused/dense/cooperative_shuffle/x16/ex2_approx,ex2_approx,0.10582851845285167,0
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,4,fused/dense/cooperative_shuffle/x16/fraction_lut_shared,fraction_lut_shared,0.12502520084381102,0
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,5,fused/dense/cooperative_shuffle/x16/fraction_lut_global,fraction_lut_global,0.13198690054935547,0
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,6,fused/dense/cooperative_shuffle/x16/fraction_lut_warp,fraction_lut_warp,0.13821999894248116,0
lns10_r4,fp32,fused,dot,dense,scalar,1,1,fused/dense/scalar/x1/fused_sum_lut_shared,fused_sum_lut_shared,0.076767582801126305,1
lns10_r4,fp32,fused,dot,dense,scalar,1,2,fused/dense/scalar/x1/fused_sum_lut_global,fused_sum_lut_global,0.081276535987854004,1
lns10_r4,fp32,fused,dot,dense,scalar,1,3,fused/dense/scalar/x1/ex2_approx,ex2_approx,0.082153930637122549,0
lns10_r4,fp32,fused,dot,dense,scalar,1,4,fused/dense/scalar/x1/reference_exp2,reference_exp2,0.082906624505841742,1
lns10_r4,fp32,fused,dot,dense,scalar,1,5,fused/dense/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.10682504073433255,0
lns10_r4,fp32,fused,dot,dense,scalar,1,6,fused/dense/scalar/x1/fraction_lut_global,fraction_lut_global,0.1141771161279013,0
lns10_r4,fp32,fused,dot,dense,scalar,1,7,fused/dense/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.12097677951905786,0
lns10_r4,fp32,fused,dot,dense,thread_packet,2,1,fused/dense/thread_packet/x2/fused_sum_lut_shared,fused_sum_lut_shared,0.076702248305082321,1
lns10_r4,fp32,fused,dot,dense,thread_packet,2,2,fused/dense/thread_packet/x2/fused_sum_lut_global,fused_sum_lut_global,0.08132746616999309,1
lns10_r4,fp32,fused,dot,dense,thread_packet,2,3,fused/dense/thread_packet/x2/ex2_approx,ex2_approx,0.082187389923354323,0
lns10_r4,fp32,fused,dot,dense,thread_packet,2,4,fused/dense/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.10589080006849094,0
lns10_r4,fp32,fused,dot,dense,thread_packet,2,5,fused/dense/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.1117323637008667,0
lns10_r4,fp32,fused,dot,dense,thread_packet,2,6,fused/dense/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.1184601897285098,0
lns10_r4,fp32,fused,dot,dense,thread_packet,4,1,fused/dense/thread_packet/x4/fused_sum_lut_shared,fused_sum_lut_shared,0.072458986026137623,1
